split,sample_index,pred_mask_iou,oracle_mask_iou,oracle_gap,target_area,pred_area,area_diff,type_sequence_true,type_sequence_pred,rotation_error_mean
test,10,0.003188097768331562,0.7455230914231856,0.7423349936548541,919.0,969.0,50.0,rectangular_notch|rotated_rect|rotated_rect,rectangular_notch|rotated_rect|rotated_rect,2.2386271158854165
val,5,0.05204626334519573,0.6219592373438527,0.569912973998657,1250.0,1115.0,-135.0,rectangular_notch|rectangular_notch|rotated_rect,rectangular_notch|rectangular_notch|rotated_rect,3.05853271484375
test,18,0.15472936030617823,0.5757575757575758,0.42102821545139757,1168.0,944.0,-224.0,rotated_rect|rotated_rect|rotated_rect,rotated_rect|rotated_rect|rotated_rect,12.179702758789062
val,3,0.18287037037037038,0.733754512635379,0.5508841422650087,978.0,1066.0,88.0,rectangular_notch|rectangular_notch|rectangular_notch,rectangular_notch|rectangular_notch|rectangular_notch,1.2599334716796875
val,6,0.18668122270742357,0.7203672787979967,0.5336860560905731,1018.0,1156.0,138.0,rectangular_notch|rectangular_notch|rotated_rect,rectangular_notch|rectangular_notch|rotated_rect,5.2186024983723955
val,8,0.19204956117707794,0.6177451634422949,0.42569560226521697,1212.0,1097.0,-115.0,rectangular_notch|rectangular_notch|rotated_rect,rectangular_notch|rectangular_notch|rotated_rect,1.7257639567057292
test,7,0.2201058201058201,0.6381322957198443,0.4180264756140242,1280.0,1026.0,-254.0,rectangular_notch|rectangular_notch|rotated_rect,rectangular_notch|rectangular_notch|rotated_rect,2.119873046875
val,19,0.23651452282157676,0.6501628664495114,0.4136483436279346,1265.0,1119.0,-146.0,rotated_rect|rotated_rect|rotated_rect,rectangular_notch|rectangular_notch|rotated_rect,9.274948120117188
test,15,0.24931205283434232,0.6184387617765814,0.3691267089422391,1202.0,1068.0,-134.0,rotated_rect|rotated_rect|rotated_rect,rotated_rect|rotated_rect|rotated_rect,4.4600982666015625
val,11,0.2523364485981308,0.8650646950092421,0.6127282464111112,1003.0,1141.0,138.0,rectangular_notch|rotated_rect|rotated_rect,rectangular_notch|rectangular_notch|rectangular_notch,6.1194101969401045
val,12,0.27176470588235296,0.6473247927656368,0.37556008688328385,1092.0,1070.0,-22.0,rectangular_notch|rotated_rect|rotated_rect,rectangular_notch|rectangular_notch|rotated_rect,11.792129516601562
val,0,0.3170731707317073,0.76544315129812,0.4483699805664127,1004.0,1210.0,206.0,rectangular_notch|rectangular_notch|rectangular_notch,rectangular_notch|rectangular_notch|rotated_rect,6.016713460286458
test,8,0.3333333333333333,0.7594417077175698,0.4261083743842365,1059.0,1137.0,78.0,rectangular_notch|rectangular_notch|rotated_rect,rotated_rect|rotated_rect|rotated_rect,6.1468048095703125
val,16,0.3362175525339926,0.556390977443609,0.2201734249096164,1140.0,1022.0,-118.0,rotated_rect|rotated_rect|rotated_rect,rectangular_notch|rectangular_notch|rotated_rect,5.556315104166667
test,9,0.3468852459016393,0.6740237691001698,0.3271385231985305,975.0,1079.0,104.0,rectangular_notch|rectangular_notch|rotated_rect,rectangular_notch|rotated_rect|rotated_rect,0.09967549641927083
test,13,0.36171617161716174,0.8879781420765027,0.526261970459341,1030.0,1033.0,3.0,rectangular_notch|rotated_rect|rotated_rect,rectangular_notch|rotated_rect|rotated_rect,1.1167755126953125
val,9,0.38311688311688313,0.7098445595854922,0.32672767646860906,979.0,938.0,-41.0,rectangular_notch|rectangular_notch|rotated_rect,rectangular_notch|rotated_rect|rotated_rect,3.0722452799479165
val,15,0.3989033584647019,0.7213647441104792,0.32246138564577737,1061.0,980.0,-81.0,rotated_rect|rotated_rect|rotated_rect,rectangular_notch|rotated_rect|rotated_rect,24.532989501953125
val,14,0.41295546558704455,0.7988980716253443,0.3859426060382998,973.0,1121.0,148.0,rectangular_notch|rotated_rect|rotated_rect,rectangular_notch|rectangular_notch|rotated_rect,5.182668050130208
test,16,0.4129993229519296,0.6954662104362703,0.28246688748434073,993.0,1094.0,101.0,rotated_rect|rotated_rect|rotated_rect,rectangular_notch|rotated_rect|rotated_rect,14.121617635091146
