sample_index,signal_normalization,defect_iou,defect_area_pred,defect_area_label,mu_mse,mu_mae
0,train_zscore,0.0,0,3,14971.8623046875,15.11159896850586
1,train_zscore,1.0,7,7,700.833740234375,4.529020309448242
2,train_zscore,1.0,6,6,20.213903427124023,0.7239118218421936
3,train_zscore,1.0,4,4,5.344201564788818,0.3253880441188812
4,train_zscore,1.0,6,6,58.845489501953125,0.9474830031394958
5,train_zscore,1.0,6,6,331.7149963378906,3.389812707901001
6,train_zscore,1.0,6,6,37.52742004394531,0.8975031971931458
7,train_zscore,0.0,0,6,30250.966796875,31.635845184326172
8,train_zscore,1.0,5,5,11.038447380065918,0.5031240582466125
9,train_zscore,1.0,12,12,639.9142456054688,4.423898696899414
10,train_zscore,1.0,10,10,164.9072265625,2.2763547897338867
11,train_zscore,1.0,4,4,0.32048115134239197,0.09682811796665192
12,train_zscore,1.0,3,3,3.3291127681732178,0.24368225038051605
13,train_zscore,1.0,9,9,90.81787109375,1.6833367347717285
14,train_zscore,1.0,8,8,38.9496955871582,1.1195909976959229
15,train_zscore,1.0,6,6,54.33845520019531,0.9110199213027954
16,train_zscore,1.0,6,6,28.831315994262695,0.6703081727027893
17,train_zscore,1.0,3,3,108.72618865966797,1.3234883546829224
18,train_zscore,1.0,6,6,60.27613830566406,0.7798965573310852
19,train_zscore,1.0,4,4,9.397406578063965,0.4907630681991577
20,train_zscore,1.0,6,6,74.83915710449219,1.2939373254776
21,train_zscore,1.0,8,8,849.948974609375,5.520987033843994
22,train_zscore,1.0,11,11,29.215261459350586,1.0166206359863281
23,train_zscore,0.0,0,12,60052.9296875,61.3467903137207
24,train_zscore,1.0,8,8,18.572298049926758,0.6671255230903625
25,train_zscore,0.0,0,3,15116.48828125,16.28022575378418
26,train_zscore,1.0,9,9,64.47241973876953,1.2774040699005127
27,train_zscore,1.0,7,7,175.44558715820312,2.2064943313598633
28,train_zscore,1.0,13,13,132.45355224609375,2.1033034324645996
29,train_zscore,0.8333333333333334,5,6,5201.8935546875,6.971819877624512
30,train_zscore,1.0,5,5,314.4120178222656,3.0191521644592285
31,train_zscore,1.0,9,9,150.56285095214844,1.8218371868133545
32,train_zscore,1.0,11,11,108.26102447509766,1.200423002243042
33,train_zscore,0.0,0,7,34931.24609375,35.06865310668945
34,train_zscore,1.0,3,3,14.34948444366455,0.4417053163051605
35,train_zscore,1.0,4,4,112.61339569091797,1.7656604051589966
36,train_zscore,0.0,0,4,19960.0390625,19.99295425415039
37,train_zscore,1.0,6,6,132.43675231933594,1.4399347305297852
38,train_zscore,1.0,5,5,230.3877716064453,2.5245935916900635
39,train_zscore,1.0,7,7,740.033203125,5.40022087097168
40,train_zscore,1.0,9,9,171.25071716308594,1.7855921983718872
41,train_zscore,1.0,16,16,356.2089538574219,3.761035203933716
42,train_zscore,1.0,6,6,1480.731689453125,9.043556213378906
43,train_zscore,1.0,9,9,407.4173583984375,3.030924081802368
44,train_zscore,1.0,6,6,54.54121017456055,1.14024019241333
45,train_zscore,1.0,5,5,139.3417510986328,1.7753279209136963
46,train_zscore,1.0,5,5,208.49334716796875,2.225639581680298
47,train_zscore,1.0,7,7,665.8326416015625,4.727032661437988
48,train_zscore,1.0,7,7,71.40336608886719,1.1397814750671387
49,train_zscore,1.0,6,6,45.73955535888672,0.6497704386711121
50,train_zscore,1.0,3,3,171.86419677734375,2.050539493560791
51,train_zscore,1.0,8,8,1007.3067016601562,5.760351657867432
52,train_zscore,0.7272727272727273,8,11,15133.197265625,16.973350524902344
53,train_zscore,1.0,6,6,35.09260559082031,0.7494812607765198
54,train_zscore,1.0,5,5,4.565124988555908,0.2902810275554657
55,train_zscore,1.0,10,10,276.7085876464844,3.189396619796753
56,train_zscore,1.0,11,11,1131.721923828125,7.97945499420166
57,train_zscore,1.0,14,14,258.93524169921875,3.1421942710876465
58,train_zscore,1.0,11,11,674.4639282226562,4.574692249298096
59,train_zscore,1.0,6,6,60.23446273803711,1.3883236646652222
60,train_zscore,1.0,12,12,153.9392547607422,1.761526346206665
61,train_zscore,1.0,5,5,548.340576171875,4.100728988647461
62,train_zscore,1.0,4,4,282.66436767578125,2.2009425163269043
63,train_zscore,1.0,4,4,152.13075256347656,2.131411075592041
64,train_zscore,1.0,9,9,130.4950714111328,1.672532320022583
65,train_zscore,0.0,0,5,24950.697265625,25.055519104003906
66,train_zscore,1.0,8,8,314.8560791015625,3.6550629138946533
67,train_zscore,1.0,4,4,88.95482635498047,1.5578346252441406
68,train_zscore,0.9333333333333333,14,15,5831.9873046875,10.870314598083496
69,train_zscore,1.0,16,16,331.6900634765625,3.785865545272827
70,train_zscore,0.875,7,8,5016.2109375,5.604918003082275
71,train_zscore,1.0,9,9,407.3729248046875,4.09053897857666
72,train_zscore,1.0,4,4,77.82286071777344,1.2907507419586182
73,train_zscore,1.0,4,4,71.51984405517578,1.110461711883545
74,train_zscore,1.0,3,3,24.776987075805664,0.788791835308075
75,train_zscore,1.0,8,8,77.48921203613281,1.1106081008911133
76,train_zscore,1.0,9,9,213.92628479003906,2.4897501468658447
77,train_zscore,1.0,10,10,30.226118087768555,0.6894786953926086
78,train_zscore,0.5,3,6,15080.1962890625,16.39951515197754
79,train_zscore,1.0,13,13,761.1597900390625,6.2877888679504395
80,train_zscore,1.0,6,6,10.921159744262695,0.41413018107414246
81,train_zscore,0.7647058823529411,13,17,20208.580078125,22.57353973388672
82,train_zscore,1.0,9,9,138.98333740234375,2.019554853439331
83,train_zscore,1.0,9,9,53.28858947753906,0.8939858078956604
84,train_zscore,1.0,10,10,362.9165954589844,3.3372464179992676
85,train_zscore,1.0,6,6,12.34135627746582,0.37426596879959106
86,train_zscore,1.0,17,17,1028.2855224609375,6.431093692779541
87,train_zscore,0.9333333333333333,14,15,5292.7236328125,8.184864044189453
88,train_zscore,1.0,8,8,324.68121337890625,3.5134477615356445
89,train_zscore,1.0,5,5,14.067054748535156,0.4491909146308899
90,train_zscore,1.0,4,4,49.2957878112793,0.7083412408828735
91,train_zscore,1.0,3,3,30.035139083862305,0.7835688591003418
92,train_zscore,0.875,7,8,5098.85888671875,6.1604461669921875
93,train_zscore,1.0,10,10,455.8950500488281,5.55893087387085
94,train_zscore,1.0,9,9,125.06832885742188,1.6535366773605347
95,train_zscore,1.0,8,8,105.55598449707031,1.787758231163025
96,train_zscore,1.0,6,6,181.95948791503906,2.0531179904937744
97,train_zscore,0.0,0,5,24953.904296875,25.1628475189209
98,train_zscore,1.0,6,6,65.8586196899414,1.436315655708313
99,train_zscore,1.0,10,10,13.715432167053223,0.7378638386726379
100,train_zscore,1.0,13,13,782.4667358398438,6.372986316680908
101,train_zscore,0.8333333333333334,16,17,15848.7802734375,22.043508529663086
102,train_zscore,1.0,14,14,370.5552062988281,3.231342077255249
103,train_zscore,1.0,4,4,6.989815711975098,0.29747092723846436
104,train_zscore,1.0,8,8,793.20361328125,5.993342876434326
105,train_zscore,1.0,13,13,269.649169921875,3.149106502532959
106,train_zscore,0.0,0,4,19960.33203125,20.071321487426758
107,train_zscore,1.0,4,4,617.3187255859375,4.9810004234313965
108,train_zscore,1.0,8,8,165.4339599609375,1.780173659324646
109,train_zscore,1.0,8,8,148.96176147460938,1.9292718172073364
110,train_zscore,1.0,5,5,378.2406921386719,3.1505298614501953
111,train_zscore,1.0,13,13,729.2603149414062,4.695871353149414
112,train_zscore,1.0,7,7,195.18421936035156,2.76218318939209
113,train_zscore,1.0,9,9,359.78155517578125,3.1221818923950195
114,train_zscore,1.0,9,9,249.97279357910156,2.10847806930542
115,train_zscore,1.0,4,4,7.048928260803223,0.3134114742279053
116,train_zscore,1.0,8,8,119.68223571777344,1.512902855873108
117,train_zscore,1.0,2,2,13.05381965637207,0.5126820206642151
118,train_zscore,0.875,8,7,5474.318359375,8.249992370605469
