step,total_loss,presence_loss,type_loss,type_extra_loss,rotation_extra_loss,weighted_type_extra_loss,weighted_rotation_extra_loss,continuous_loss,center_loss,axis_loss,depth_loss,rotation_loss,other_loss,center_grid_loss,weighted_center_grid_loss,center_axis_relative_loss,weighted_center_axis_relative_loss,center_bin_loss,weighted_center_bin_loss,center_offset_loss,weighted_center_offset_loss,aux_center_bin_loss,weighted_aux_center_bin_loss,aux_center_offset_loss,weighted_aux_center_offset_loss,parametric_total_loss,raster_total_loss,raster_bce_loss,raster_dice_loss,raster_soft_iou,raster_soft_dice,raster_loss_active,val_mask_iou_at_step,val_loss_at_step,is_best_step
1,148.69638061523438,0.6957816481590271,0.6932668089866638,0.6932668089866638,0.9659507274627686,0.0,0.0,0.4231034815311432,nan,0.46415480971336365,0.4509991407394409,0.3541565537452698,nan,1409.568603515625,140.9568634033203,-0.0,-0.0,2.900845527648926,2.900845527648926,0.05282289534807205,0.05282289534807205,2.9257125854492188,2.9257125854492188,0.047985706478357315,0.047985706478357315,148.69638061523438,-0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
100,3.348374843597412,0.00731407105922699,0.6018949747085571,0.6018949747085571,0.7816327810287476,0.0,0.0,0.36262550950050354,nan,0.40639954805374146,0.3780437111854553,0.3034333288669586,nan,11.442756652832031,1.1442756652832031,-0.0,-0.0,0.7675220370292664,0.7675220370292664,0.0873357281088829,0.0873357281088829,0.3473626375198364,0.3473626375198364,0.030044332146644592,0.030044332146644592,3.348374843597412,-0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
200,1.880494236946106,0.00021686236141249537,0.5799070596694946,0.5799070596694946,0.6110675930976868,0.0,0.0,0.33033621311187744,nan,0.3939492702484131,0.3307842016220093,0.2662751376628876,nan,4.303257942199707,0.43032580614089966,-0.0,-0.0,0.2755015790462494,0.2755015790462494,0.03291209042072296,0.03291209042072296,0.20608195662498474,0.20608195662498474,0.025212526321411133,0.025212526321411133,1.880494236946106,-0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
300,1.3061360120773315,4.20967407990247e-05,0.5222403407096863,0.5222403407096863,0.5712949633598328,0.0,0.0,0.29053860902786255,nan,0.36241087317466736,0.2598969340324402,0.2493080347776413,nan,1.2458720207214355,0.12458720058202744,-0.0,-0.0,0.1963367462158203,0.1963367462158203,0.02937411703169346,0.02937411703169346,0.12680867314338684,0.12680867314338684,0.016208279877901077,0.016208279877901077,1.3061360120773315,-0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
400,0.965615451335907,1.6728781702113338e-05,0.40005457401275635,0.40005457401275635,0.5010395050048828,0.0,0.0,0.2471158504486084,nan,0.3241923749446869,0.19719980657100677,0.2199554145336151,nan,0.5366847515106201,0.05366847664117813,-0.0,-0.0,0.16570746898651123,0.16570746898651123,0.026235759258270264,0.026235759258270264,0.06131535768508911,0.06131535768508911,0.011501245200634003,0.011501245200634003,0.965615451335907,-0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
500,0.6570003628730774,6.640476840402698e-06,0.2104550153017044,0.2104550153017044,0.38832879066467285,0.0,0.0,0.20766039192676544,nan,0.28342577815055847,0.1681719869375229,0.17138347029685974,nan,0.32199111580848694,0.032199110835790634,-0.0,-0.0,0.14106541872024536,0.14106541872024536,0.022275228053331375,0.022275228053331375,0.03406475856900215,0.03406475856900215,0.009273754432797432,0.009273754432797432,0.6570003628730774,-0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
600,0.4130994975566864,2.364453166592284e-06,0.05306800827383995,0.05306800827383995,0.19209077954292297,0.0,0.0,0.1629750281572342,nan,0.24637703597545624,0.1490575671195984,0.09349046647548676,nan,0.33515235781669617,0.033515237271785736,-0.0,-0.0,0.11772297322750092,0.11772297322750092,0.018442409113049507,0.018442409113049507,0.019674435257911682,0.019674435257911682,0.007699021603912115,0.007699021603912115,0.4130994975566864,-0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
700,0.2945112884044647,8.93375158739218e-07,0.01643582060933113,0.01643582060933113,0.1572117805480957,0.0,0.0,0.13564255833625793,nan,0.21188601851463318,0.11814266443252563,0.07689899951219559,nan,0.19146904349327087,0.019146904349327087,-0.0,-0.0,0.09462840855121613,0.09462840855121613,0.014295115135610104,0.014295115135610104,0.00865737721323967,0.00865737721323967,0.00570420827716589,0.00570420827716589,0.2945112884044647,-0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
800,0.2355499416589737,4.2826013668673113e-07,0.007605442777276039,0.007605442777276039,0.14420679211616516,0.0,0.0,0.11588414758443832,nan,0.1821105182170868,0.0953456461429596,0.07019627094268799,nan,0.18073996901512146,0.018073996528983116,-0.0,-0.0,0.0751599594950676,0.0751599594950676,0.011286343447864056,0.011286343447864056,0.0035587691236287355,0.0035587691236287355,0.003980856388807297,0.003980856388807297,0.2355499416589737,-0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
900,0.1999906301498413,2.2111542818947783e-07,0.0044534639455378056,0.0044534639455378056,0.13216564059257507,0.0,0.0,0.09891936182975769,nan,0.15550871193408966,0.07703965157270432,0.06420972943305969,nan,0.21585601568222046,0.021585602313280106,-0.0,-0.0,0.06063634157180786,0.06063634157180786,0.009273293428122997,0.009273293428122997,0.00171088392380625,0.00171088392380625,0.0034114676527678967,0.0034114676527678967,0.1999906301498413,-0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
