split,abs_y_bin_error,count,mean_polygon_iou,zero_iou_count
test,0,1,0.7236842105263158,0
test,1,3,0.0,3
test,2,6,0.0,6
test,3,1,0.0,1
test,5,1,0.0,1
train,0,39,0.995773975933205,0
val,0,3,0.12414842480201957,1
val,1,3,0.0,3
val,2,3,0.0,3
val,3,2,0.0,2
val,4,2,0.0,2
