sample_index,signal_normalization,conditioning_mode,encoder_type,defect_iou,defect_area_pred,defect_area_label,mu_mse,mu_mae
0,per_sample_zscore,concat,mlp,0.0,0,3,15215.1845703125,17.438249588012695
1,per_sample_zscore,concat,mlp,1.0,7,7,309.8393249511719,2.679579973220825
2,per_sample_zscore,concat,mlp,1.0,6,6,110.28266906738281,1.6238360404968262
3,per_sample_zscore,concat,mlp,1.0,4,4,26.63568687438965,0.7117063999176025
4,per_sample_zscore,concat,mlp,1.0,6,6,14.400973320007324,0.7525851726531982
5,per_sample_zscore,concat,mlp,1.0,6,6,45.95280456542969,1.3067195415496826
6,per_sample_zscore,concat,mlp,1.0,6,6,28.789451599121094,0.7390588521957397
7,per_sample_zscore,concat,mlp,0.0,0,6,29934.08203125,30.04351806640625
8,per_sample_zscore,concat,mlp,0.0,0,5,24950.2578125,25.040569305419922
9,per_sample_zscore,concat,mlp,1.0,12,12,3040.56103515625,15.24835205078125
10,per_sample_zscore,concat,mlp,1.0,10,10,166.39883422851562,2.0544586181640625
11,per_sample_zscore,concat,mlp,1.0,4,4,21.341869354248047,0.6601003408432007
12,per_sample_zscore,concat,mlp,1.0,3,3,12.615204811096191,0.5029813051223755
13,per_sample_zscore,concat,mlp,1.0,9,9,81.39379119873047,1.2296113967895508
14,per_sample_zscore,concat,mlp,0.0,0,8,39966.57421875,40.607421875
15,per_sample_zscore,concat,mlp,1.0,6,6,217.1197509765625,2.3151214122772217
16,per_sample_zscore,concat,mlp,1.0,6,6,21.85314178466797,0.6526975035667419
17,per_sample_zscore,concat,mlp,1.0,3,3,76.61792755126953,1.0093858242034912
18,per_sample_zscore,concat,mlp,1.0,6,6,3.181927442550659,0.28258398175239563
19,per_sample_zscore,concat,mlp,1.0,4,4,49.237483978271484,0.9374657273292542
20,per_sample_zscore,concat,mlp,1.0,6,6,242.32394409179688,2.235886335372925
21,per_sample_zscore,concat,mlp,1.0,8,8,1586.7021484375,6.780943393707275
22,per_sample_zscore,concat,mlp,1.0,11,11,393.3022155761719,3.0727460384368896
23,per_sample_zscore,concat,mlp,0.0,0,12,59948.38671875,60.642024993896484
24,per_sample_zscore,concat,mlp,1.0,8,8,70.96578216552734,2.094702959060669
25,per_sample_zscore,concat,mlp,1.0,3,3,18.877653121948242,0.6332606673240662
26,per_sample_zscore,concat,mlp,1.0,9,9,264.66326904296875,3.5328686237335205
27,per_sample_zscore,concat,mlp,1.0,7,7,389.3446044921875,2.818282127380371
28,per_sample_zscore,concat,mlp,1.0,13,13,52.49542999267578,1.2647782564163208
29,per_sample_zscore,concat,mlp,1.0,6,6,713.5772094726562,5.037633419036865
30,per_sample_zscore,concat,mlp,1.0,5,5,214.27276611328125,3.0167527198791504
31,per_sample_zscore,concat,mlp,1.0,9,9,272.63494873046875,2.473736047744751
32,per_sample_zscore,concat,mlp,1.0,11,11,312.5940246582031,3.2988269329071045
33,per_sample_zscore,concat,mlp,0.0,0,7,35074.2265625,36.20020294189453
34,per_sample_zscore,concat,mlp,1.0,3,3,191.42327880859375,2.039044141769409
35,per_sample_zscore,concat,mlp,1.0,4,4,191.81210327148438,1.9290440082550049
36,per_sample_zscore,concat,mlp,1.0,4,4,215.9398651123047,1.912797451019287
37,per_sample_zscore,concat,mlp,1.0,6,6,17.103906631469727,0.5498536229133606
38,per_sample_zscore,concat,mlp,1.0,5,5,234.4994659423828,2.6663200855255127
39,per_sample_zscore,concat,mlp,1.0,7,7,599.456298828125,4.083148002624512
40,per_sample_zscore,concat,mlp,1.0,9,9,163.41285705566406,1.994489312171936
41,per_sample_zscore,concat,mlp,1.0,16,16,984.519287109375,6.980804920196533
42,per_sample_zscore,concat,mlp,1.0,6,6,2402.78369140625,11.994787216186523
43,per_sample_zscore,concat,mlp,1.0,9,9,429.6499938964844,3.442167043685913
44,per_sample_zscore,concat,mlp,1.0,6,6,320.0040283203125,3.1126718521118164
45,per_sample_zscore,concat,mlp,1.0,5,5,24.46118927001953,0.7847172021865845
46,per_sample_zscore,concat,mlp,1.0,5,5,423.47265625,4.4648284912109375
