dataset_version,split,npz_path,num_samples,num_channels,signal_len,signal_min,signal_max,signal_mean,signal_std,mean_abs_signal,mean_peak_abs_signal,mean_abs_offset,mean_centered_std,mean_abs_peak_to_centered_peak
v1,train,experiments\dual_network\S74_comsol_geometry_data_ingest\converted\train_comsol_multiheight.npz,50,3,200,-4.152543260715902e-05,-4.142739635426551e-05,-4.143948375046117e-05,9.644325416262313e-09,4.143948375046117e-05,4.144736005400773e-05,4.143948375046117e-05,3.5514386241948636e-09,33150258.906124946
v1,val,experiments\dual_network\S74_comsol_geometry_data_ingest\converted\val_comsol_multiheight.npz,10,3,200,-4.143750629737042e-05,-4.143750629737042e-05,-4.143750629737042e-05,0.0,4.143750629737042e-05,4.143750629737042e-05,4.143750629737042e-05,0.0,41437506.29737042
v1,test,experiments\dual_network\S74_comsol_geometry_data_ingest\converted\test_comsol_multiheight.npz,10,3,200,-4.143750629737042e-05,-4.143750629737042e-05,-4.143750629737042e-05,0.0,4.143750629737042e-05,4.143750629737042e-05,4.143750629737042e-05,0.0,41437506.29737042
v2,train,experiments\dual_network\S84_comsol_geometry_v2_data_ingest\converted\train_comsol_multiheight_v2.npz,100,3,200,-0.0005890508182346821,0.00073022156720981,-1.769729701982437e-05,0.00018963592641140238,0.00015287925835103964,0.0004868778891977854,1.98408989312721e-05,0.00018628785833218686,1.011681695108446
v2,val,experiments\dual_network\S84_comsol_geometry_v2_data_ingest\converted\val_comsol_multiheight_v2.npz,20,3,200,-0.0006248910794965923,0.0005682032788172364,-1.5368378629554426e-05,0.0001815270047601689,0.0001437489793433806,0.0005026542683481238,1.960743697290305e-05,0.0001786973606188423,1.0024786380293969
v2,test,experiments\dual_network\S84_comsol_geometry_v2_data_ingest\converted\test_comsol_multiheight_v2.npz,20,3,200,-0.0006174909649416804,0.0005219984450377524,-2.523886353150543e-05,0.0001925988874538006,0.00015670508699505673,0.0004867325769737363,2.597012832859343e-05,0.00018825663102581857,1.0032173865619909
