dataset_version,split,channel_index,channel_name,lift_off,field_component,min,max,mean,std,mean_abs,mean_peak_abs,mean_abs_offset,mean_centered_std
v1,train,0,Bz_liftoff_0p5,0.5,Bz,-4.152543260715902e-05,-4.142739635426551e-05,-4.1439495109079875e-05,9.698020453577857e-09,4.1439495109079875e-05,4.144736005400773e-05,4.143949510907987e-05,3.5710355433296655e-09
v1,train,1,Bz_liftoff_1p0,1.0,Bz,-4.152518158662133e-05,-4.142744364799e-05,-4.1439485995215365e-05,9.657404486438404e-09,4.1439485995215365e-05,4.144732483837288e-05,4.1439485995215365e-05,3.5562676445942984e-09
v1,train,2,Bz_liftoff_2p0,2.0,Bz,-4.1524672269588336e-05,-4.1427530959481373e-05,-4.143947014708829e-05,9.577142421552505e-09,4.143947014708829e-05,4.1447253970545716e-05,4.143947014708828e-05,3.5268693660373496e-09
v1,val,0,Bz_liftoff_0p5,0.5,Bz,-4.143750629737042e-05,-4.143750629737042e-05,-4.143750629737042e-05,0.0,4.143750629737042e-05,4.143750629737042e-05,4.143750629737042e-05,0.0
v1,val,1,Bz_liftoff_1p0,1.0,Bz,-4.143750629737042e-05,-4.143750629737042e-05,-4.143750629737042e-05,0.0,4.143750629737042e-05,4.143750629737042e-05,4.143750629737042e-05,0.0
v1,val,2,Bz_liftoff_2p0,2.0,Bz,-4.143750629737042e-05,-4.143750629737042e-05,-4.143750629737042e-05,0.0,4.143750629737042e-05,4.143750629737042e-05,4.143750629737042e-05,0.0
v1,test,0,Bz_liftoff_0p5,0.5,Bz,-4.143750629737042e-05,-4.143750629737042e-05,-4.143750629737042e-05,0.0,4.143750629737042e-05,4.143750629737042e-05,4.143750629737042e-05,0.0
v1,test,1,Bz_liftoff_1p0,1.0,Bz,-4.143750629737042e-05,-4.143750629737042e-05,-4.143750629737042e-05,0.0,4.143750629737042e-05,4.143750629737042e-05,4.143750629737042e-05,0.0
v1,test,2,Bz_liftoff_2p0,2.0,Bz,-4.143750629737042e-05,-4.143750629737042e-05,-4.143750629737042e-05,0.0,4.143750629737042e-05,4.143750629737042e-05,4.143750629737042e-05,0.0
v2,train,0,Bz_liftoff_0p5,0.5,Bz,-0.0005890508182346821,0.00073022156720981,-1.8566381101344386e-05,0.00020503729566952178,0.00016576037952406865,0.0004862327023874968,2.100193337246905e-05,0.00020136229533696836
v2,train,1,Bz_liftoff_1p0,1.0,Bz,-0.0005681469920091331,0.0007135554333217442,-1.7819024261847915e-05,0.00019224981055098437,0.00015560499895891217,0.0004571514422423206,2.01717540177855e-05,0.00018879514753471726
v2,train,2,Bz_liftoff_2p0,2.0,Bz,-0.0005263393395580351,0.0005224115448072553,-1.6706485696280814e-05,0.00016995093307667106,0.00013727239657013808,0.0004103272492648102,1.8349009403561744e-05,0.00016704118327591017
v2,val,0,Bz_liftoff_0p5,0.5,Bz,-0.0006248910794965923,0.0005682032788172364,-1.647279562983428e-05,0.00019741755300611838,0.00015711873473869887,0.0005021757955546491,2.148549045660886e-05,0.00019440653638313693
v2,val,1,Bz_liftoff_1p0,1.0,Bz,-0.0005984784220345318,0.0005036870134063065,-1.5450840073396588e-05,0.00018463002985023578,0.0001467489842546308,0.00046386178146349264,1.992511755597581e-05,0.00018173774120442727
v2,val,2,Bz_liftoff_2p0,2.0,Bz,-0.0005241331527940929,0.00048416273784823716,-1.4181500185432405e-05,0.00016059759337216505,0.00012737921903681215,0.00039892058848636227,1.741170290612448e-05,0.00015798614515433255
v2,test,0,Bz_liftoff_0p5,0.5,Bz,-0.0006174909649416804,0.0005219984450377524,-2.66516405816013e-05,0.00020787545926957682,0.000169438128532331,0.00048415604542242365,2.7337146696506667e-05,0.00020325422937030445
v2,test,1,Bz_liftoff_1p0,1.0,Bz,-0.000563691311981529,0.00047185583389364183,-2.5476155062100324e-05,0.00019514224833353764,0.00015930237708074114,0.00045893358037574217,2.6297430246180475e-05,0.0001906664538859571
v2,test,2,Bz_liftoff_2p0,2.0,Bz,-0.0005006826249882579,0.0004560603410936892,-2.3588794950814674e-05,0.00017316326319844792,0.0001413747553720981,0.0004103086932445876,2.427580804309315e-05,0.000169230926483591
