dataset_version,split,num_samples,monotonic_decay_fraction,higher_liftoff_larger_fraction,mean_channel0_peak_abs,mean_channel1_peak_abs,mean_channel2_peak_abs,corr_0_1,corr_0_2,corr_1_2
v1,train,50,1.0,0.0,4.144736005400773e-05,4.144732483837288e-05,4.1447253970545716e-05,0.9999284704704531,0.9998736944478198,0.999947719456212
v1,val,10,1.0,0.0,4.143750629737042e-05,4.143750629737042e-05,4.143750629737042e-05,,,
v1,test,10,1.0,0.0,4.143750629737042e-05,4.143750629737042e-05,4.143750629737042e-05,,,
v2,train,100,0.92,0.08,0.0004862327023874968,0.0004571514422423206,0.0004103272492648102,0.9826040984601305,0.9561714905536841,0.9703372247383583
v2,val,20,0.95,0.05,0.0005021757955546491,0.00046386178146349264,0.00039892058848636227,0.9824635327458324,0.9506713896488191,0.9641574347639972
v2,test,20,0.9,0.1,0.00048415604542242365,0.00045893358037574217,0.0004103086932445876,0.9806083242500853,0.9557550266342929,0.9698678082496764
