dataset_version,split,sample_index,threshold_area_pixels,provided_mask_area_pixels,label_area_pixels,label_area_ratio,mask_iou,mismatch_count,has_mu_maps,has_masks
v1,train,0,1625.0,1625.0,1625.0,0.08125,1.0,0,True,True
v1,train,1,2817.0,2817.0,2817.0,0.14085,1.0,0,True,True
v1,train,2,2205.0,2205.0,2205.0,0.11025,1.0,0,True,True
v1,train,3,1907.0,1907.0,1907.0,0.09535,1.0,0,True,True
v1,train,4,3563.0,3563.0,3563.0,0.17815,1.0,0,True,True
v1,train,5,1818.0,1818.0,1818.0,0.0909,1.0,0,True,True
v1,train,6,1316.0,1316.0,1316.0,0.0658,1.0,0,True,True
v1,train,7,2001.0,2001.0,2001.0,0.10005,1.0,0,True,True
v1,train,8,2732.0,2732.0,2732.0,0.1366,1.0,0,True,True
v1,train,9,1586.0,1586.0,1586.0,0.0793,1.0,0,True,True
v1,train,10,1157.0,1157.0,1157.0,0.05785,1.0,0,True,True
v1,train,11,2104.0,2104.0,2104.0,0.1052,1.0,0,True,True
v1,train,12,1427.0,1427.0,1427.0,0.07135,1.0,0,True,True
v1,train,13,2768.0,2768.0,2768.0,0.1384,1.0,0,True,True
v1,train,14,3612.0,3612.0,3612.0,0.1806,1.0,0,True,True
v1,train,15,2600.0,2600.0,2600.0,0.13,1.0,0,True,True
v1,train,16,2670.0,2670.0,2670.0,0.1335,1.0,0,True,True
v1,train,17,2213.0,2213.0,2213.0,0.11065,1.0,0,True,True
v1,train,18,1956.0,1956.0,1956.0,0.0978,1.0,0,True,True
v1,train,19,1777.0,1777.0,1777.0,0.08885,1.0,0,True,True
v1,train,20,1499.0,1499.0,1499.0,0.07495,1.0,0,True,True
v1,train,21,1450.0,1450.0,1450.0,0.0725,1.0,0,True,True
v1,train,22,2304.0,2304.0,2304.0,0.1152,1.0,0,True,True
v1,train,23,2990.0,2990.0,2990.0,0.1495,1.0,0,True,True
v1,train,24,2219.0,2219.0,2219.0,0.11095,1.0,0,True,True
v1,train,25,1643.0,1643.0,1643.0,0.08215,1.0,0,True,True
v1,train,26,1529.0,1529.0,1529.0,0.07645,1.0,0,True,True
v1,train,27,2186.0,2186.0,2186.0,0.1093,1.0,0,True,True
v1,train,28,1299.0,1299.0,1299.0,0.06495,1.0,0,True,True
v1,train,29,4305.0,4305.0,4305.0,0.21525,1.0,0,True,True
v1,train,30,1999.0,1999.0,1999.0,0.09995,1.0,0,True,True
v1,train,31,3313.0,3313.0,3313.0,0.16565,1.0,0,True,True
v1,train,32,1391.0,1391.0,1391.0,0.06955,1.0,0,True,True
v1,train,33,3232.0,3232.0,3232.0,0.1616,1.0,0,True,True
v1,train,34,2961.0,2961.0,2961.0,0.14805,1.0,0,True,True
v1,train,35,2423.0,2423.0,2423.0,0.12115,1.0,0,True,True
v1,train,36,3291.0,3291.0,3291.0,0.16455,1.0,0,True,True
v1,train,37,2268.0,2268.0,2268.0,0.1134,1.0,0,True,True
v1,train,38,2434.0,2434.0,2434.0,0.1217,1.0,0,True,True
v1,train,39,3373.0,3373.0,3373.0,0.16865,1.0,0,True,True
v1,train,40,3080.0,3080.0,3080.0,0.154,1.0,0,True,True
v1,train,41,2163.0,2163.0,2163.0,0.10815,1.0,0,True,True
v1,train,42,2308.0,2308.0,2308.0,0.1154,1.0,0,True,True
v1,train,43,2843.0,2843.0,2843.0,0.14215,1.0,0,True,True
v1,train,44,2904.0,2904.0,2904.0,0.1452,1.0,0,True,True
v1,train,45,2613.0,2613.0,2613.0,0.13065,1.0,0,True,True
v1,train,46,1813.0,1813.0,1813.0,0.09065,1.0,0,True,True
v1,train,47,3897.0,3897.0,3897.0,0.19485,1.0,0,True,True
v1,train,48,1074.0,1074.0,1074.0,0.0537,1.0,0,True,True
v1,train,49,2551.0,2551.0,2551.0,0.12755,1.0,0,True,True
v1,val,0,2023.0,2023.0,2023.0,0.10115,1.0,0,True,True
v1,val,1,1751.0,1751.0,1751.0,0.08755,1.0,0,True,True
v1,val,2,2384.0,2384.0,2384.0,0.1192,1.0,0,True,True
v1,val,3,2520.0,2520.0,2520.0,0.126,1.0,0,True,True
v1,val,4,1269.0,1269.0,1269.0,0.06345,1.0,0,True,True
v1,val,5,1230.0,1230.0,1230.0,0.0615,1.0,0,True,True
v1,val,6,1961.0,1961.0,1961.0,0.09805,1.0,0,True,True
v1,val,7,1866.0,1866.0,1866.0,0.0933,1.0,0,True,True
v1,val,8,1787.0,1787.0,1787.0,0.08935,1.0,0,True,True
v1,val,9,3098.0,3098.0,3098.0,0.1549,1.0,0,True,True
v1,test,0,2316.0,2316.0,2316.0,0.1158,1.0,0,True,True
v1,test,1,2007.0,2007.0,2007.0,0.10035,1.0,0,True,True
v1,test,2,2323.0,2323.0,2323.0,0.11615,1.0,0,True,True
v1,test,3,2820.0,2820.0,2820.0,0.141,1.0,0,True,True
v1,test,4,2046.0,2046.0,2046.0,0.1023,1.0,0,True,True
v1,test,5,2547.0,2547.0,2547.0,0.12735,1.0,0,True,True
v1,test,6,1421.0,1421.0,1421.0,0.07105,1.0,0,True,True
v1,test,7,2208.0,2208.0,2208.0,0.1104,1.0,0,True,True
