step,loss,presence_loss,type_loss,center_bin_loss,center_x_bin_loss,center_y_bin_loss,center_y_bin_extra_loss,center_offset_loss,local_vertex_loss,center_aux_loss,box_aux_loss,area_aux_loss,edge_aux_loss,weighted_presence_loss,weighted_type_loss,weighted_center_bin_loss,weighted_center_y_bin_extra_loss,weighted_center_offset_loss,weighted_local_vertex_loss
1,15.074974060058594,0.6585171818733215,0.7046038508415222,2.8861427307128906,3.217832565307617,2.554453134536743,2.553032398223877,0.2619263231754303,6.929930686950684,-0.0,-0.0,-0.0,-0.0,0.6585171818733215,0.7046038508415222,2.8861427307128906,1.2765161991119385,2.619263172149658,6.929930686950684
100,2.8853957653045654,0.10464141517877579,0.029930973425507545,0.42593836784362793,0.366712361574173,0.4851643443107605,1.0091310739517212,0.02710951864719391,1.5492242574691772,-0.0,-0.0,-0.0,-0.0,0.10464141517877579,0.029930973425507545,0.42593836784362793,0.5045655369758606,0.2710951864719391,1.5492242574691772
200,1.018449068069458,0.030800284817814827,0.006827590521425009,0.12355612218379974,0.058476876467466354,0.18863536417484283,0.7953888773918152,0.035687800496816635,0.10269264131784439,-0.0,-0.0,-0.0,-0.0,0.030800284817814827,0.006827590521425009,0.12355612218379974,0.3976944386959076,0.35687801241874695,0.10269264131784439
300,0.6463090181350708,0.012585418298840523,0.0025258136447519064,0.07676474750041962,0.02573198266327381,0.12779751420021057,0.727004885673523,0.015151731669902802,0.039413291960954666,-0.0,-0.0,-0.0,-0.0,0.012585418298840523,0.0025258136447519064,0.07676474750041962,0.3635024428367615,0.15151731669902802,0.039413291960954666
400,0.6007612347602844,0.007308518048375845,0.0015895295655354857,0.06641378998756409,0.016954297199845314,0.11587327718734741,0.7053601145744324,0.013649865984916687,0.036270663142204285,-0.0,-0.0,-0.0,-0.0,0.007308518048375845,0.0015895295655354857,0.06641378998756409,0.3526800572872162,0.13649865984916687,0.036270663142204285
500,0.6531527042388916,0.005357109010219574,0.0012661340879276395,0.06224491074681282,0.013111918233335018,0.11137790232896805,0.6981425881385803,0.020899035036563873,0.026222947984933853,-0.0,-0.0,-0.0,-0.0,0.005357109010219574,0.0012661340879276395,0.06224491074681282,0.34907129406929016,0.20899035036563873,0.026222947984933853
600,0.6831569671630859,0.003965508192777634,0.001017183531075716,0.05977838858962059,0.010205866768956184,0.10935091227293015,0.6945779323577881,0.02275766059756279,0.04353031888604164,-0.0,-0.0,-0.0,-0.0,0.003965508192777634,0.001017183531075716,0.05977838858962059,0.34728896617889404,0.2275766134262085,0.04353031888604164
700,0.5506377816200256,0.00322326784953475,0.0008749346598051488,0.05810941383242607,0.00853049848228693,0.10768833011388779,0.692492663860321,0.012512005865573883,0.017063776031136513,-0.0,-0.0,-0.0,-0.0,0.00322326784953475,0.0008749346598051488,0.05810941383242607,0.3462463319301605,0.12512005865573883,0.017063776031136513
800,0.6403152942657471,0.0029345937073230743,0.0008396837511099875,0.05876458063721657,0.0081356605514884,0.10939349979162216,0.6894182562828064,0.021029287949204445,0.022774433717131615,-0.0,-0.0,-0.0,-0.0,0.0029345937073230743,0.0008396837511099875,0.05876458063721657,0.3447091281414032,0.21029287576675415,0.022774433717131615
900,0.45053309202194214,0.0024480116553604603,0.0007178383530117571,0.05680607259273529,0.006841934751719236,0.10677020996809006,0.6902600526809692,0.0034408385399729013,0.011022757738828659,-0.0,-0.0,-0.0,-0.0,0.0024480116553604603,0.0007178383530117571,0.05680607259273529,0.3451300263404846,0.034408386796712875,0.011022757738828659
1000,0.5161176919937134,0.0022016027942299843,0.0006639907951466739,0.057692188769578934,0.006384768523275852,0.10899960994720459,0.6873021721839905,0.009358618408441544,0.018322639167308807,-0.0,-0.0,-0.0,-0.0,0.0022016027942299843,0.0006639907951466739,0.057692188769578934,0.34365108609199524,0.09358618408441544,0.018322639167308807
1100,0.5167413949966431,0.0023058573715388775,0.0007404480711556971,0.05763321742415428,0.006722574587911367,0.10854385793209076,0.6875327825546265,0.009843164123594761,0.01386384479701519,-0.0,-0.0,-0.0,-0.0,0.0023058573715388775,0.0007404480711556971,0.05763321742415428,0.34376639127731323,0.09843163937330246,0.01386384479701519
1200,0.44511038064956665,0.001814114861190319,0.0005968696204945445,0.0553349032998085,0.005241341423243284,0.10542846471071243,0.6891282200813293,0.0033753861207515,0.009046526625752449,-0.0,-0.0,-0.0,-0.0,0.001814114861190319,0.0005968696204945445,0.0553349032998085,0.3445641100406647,0.033753860741853714,0.009046526625752449
1300,0.44069328904151917,0.0014555987436324358,0.0004576501087285578,0.05478299781680107,0.004179481882601976,0.10538651049137115,0.688266932964325,0.0022954221349209547,0.01690935157239437,-0.0,-0.0,-0.0,-0.0,0.0014555987436324358,0.0004576501087285578,0.05478299781680107,0.3441334664821625,0.022954221814870834,0.01690935157239437
1400,0.4076250195503235,0.0011912380577996373,0.0003878730640280992,0.05457107350230217,0.003433353267610073,0.10570879280567169,0.6871994733810425,0.0004829996032640338,0.003045099787414074,-0.0,-0.0,-0.0,-0.0,0.0011912380577996373,0.0003878730640280992,0.05457107350230217,0.34359973669052124,0.004829996265470982,0.003045099787414074
1500,0.4541966915130615,0.0010145041160285473,0.00033940901630558074,0.054367709904909134,0.0029449565336108208,0.10579046607017517,0.6866112351417542,0.004812552593648434,0.007043921854346991,-0.0,-0.0,-0.0,-0.0,0.0010145041160285473,0.00033940901630558074,0.054367709904909134,0.3433056175708771,0.048125527799129486,0.007043921854346991
1600,0.42266544699668884,0.0008930836338549852,0.0003003180609084666,0.05430689454078674,0.002632290357723832,0.1059814989566803,0.6860632300376892,0.0021739613730460405,0.0023939241655170918,-0.0,-0.0,-0.0,-0.0,0.0008930836338549852,0.0003003180609084666,0.05430689454078674,0.3430316150188446,0.021739613264799118,0.0023939241655170918
1700,0.4415622055530548,0.0008226216887123883,0.0002875426143873483,0.05423717573285103,0.002463012933731079,0.10601133853197098,0.6857903003692627,0.004062932450324297,0.0026903999969363213,-0.0,-0.0,-0.0,-0.0,0.0008226216887123883,0.0002875426143873483,0.05423717573285103,0.34289515018463135,0.040629323571920395,0.0026903999969363213
1800,0.43408921360969543,0.0007516868645325303,0.00026960051036439836,0.054213739931583405,0.0022802904713898897,0.10614719241857529,0.6853925585746765,0.0031227453146129847,0.004930459428578615,-0.0,-0.0,-0.0,-0.0,0.0007516868645325303,0.00026960051036439836,0.054213739931583405,0.34269627928733826,0.03122745268046856,0.004930459428578615
1900,0.4247658848762512,0.0006694572512060404,0.0002395990159129724,0.05373275279998779,0.0020487483125180006,0.10541675984859467,0.6858715415000916,0.002033761003986001,0.006850689649581909,-0.0,-0.0,-0.0,-0.0,0.0006694572512060404,0.0002395990159129724,0.05373275279998779,0.3429357707500458,0.020337609574198723,0.006850689649581909
2000,0.41618454456329346,0.0006098684971220791,0.0002274283324368298,0.053625863045454025,0.0018803364364430308,0.10537139326334,0.6857109069824219,0.0016962744994089007,0.0019031778210774064,-0.0,-0.0,-0.0,-0.0,0.0006098684971220791,0.0002274283324368298,0.053625863045454025,0.34285545349121094,0.016962744295597076,0.0019031778210774064
2100,0.4134964048862457,0.0005590899963863194,0.00020463403780013323,0.053707774728536606,0.0017170360079035163,0.10569851100444794,0.6851750612258911,0.0015401964774355292,0.0010354151017963886,-0.0,-0.0,-0.0,-0.0,0.0005590899963863194,0.00020463403780013323,0.053707774728536606,0.34258753061294556,0.015401965007185936,0.0010354151017963886
2200,0.4114861488342285,0.0005137808620929718,0.00019056918972637504,0.053662966936826706,0.0015666530234739184,0.10575927793979645,0.6849491596221924,0.0013707558391615748,0.000936693511903286,-0.0,-0.0,-0.0,-0.0,0.0005137808620929718,0.00019056918972637504,0.053662966936826706,0.3424745798110962,0.013707558624446392,0.000936693511903286
2300,0.41553404927253723,0.0004711940127890557,0.0001793503324734047,0.05370050668716431,0.0014465161366388202,0.10595449805259705,0.6846069097518921,0.0013229565229266882,0.005649967584758997,-0.0,-0.0,-0.0,-0.0,0.0004711940127890557,0.0001793503324734047,0.05370050668716431,0.34230345487594604,0.01322956569492817,0.005649967584758997
2400,0.42430371046066284,0.00043024044134654105,0.00016103500092867762,0.05329378321766853,0.0013269444461911917,0.10526062548160553,0.6851585507392883,0.0022081951610744,0.005757434293627739,-0.0,-0.0,-0.0,-0.0,0.00043024044134654105,0.00016103500092867762,0.05329378321766853,0.34257927536964417,0.022081952542066574,0.005757434293627739
2500,0.40058398246765137,0.0004098313511349261,0.00015632293070666492,0.0532786026597023,0.0012765980791300535,0.10528060793876648,0.6850376725196838,0.0002840072847902775,0.0013803316978737712,-0.0,-0.0,-0.0,-0.0,0.0004098313511349261,0.00015632293070666492,0.0532786026597023,0.3425188362598419,0.002840072847902775,0.0013803316978737712
2600,0.41089528799057007,0.00038102109101600945,0.00014546766760759056,0.05335270240902901,0.0011846785200759768,0.10552072525024414,0.6846842765808105,0.0011908402666449547,0.0027655428275465965,-0.0,-0.0,-0.0,-0.0,0.00038102109101600945,0.00014546766760759056,0.05335270240902901,0.3423421382904053,0.011908402666449547,0.0027655428275465965
2700,0.41491448879241943,0.0003563226491678506,0.00014024064876139164,0.05329094082117081,0.0011121397837996483,0.10546974092721939,0.6846625804901123,0.001310952939093113,0.005686150398105383,-0.0,-0.0,-0.0,-0.0,0.0003563226491678506,0.00014024064876139164,0.05329094082117081,0.34233129024505615,0.01310952939093113,0.005686150398105383
