sample_index,signal_normalization,conditioning_mode,defect_iou,defect_area_pred,defect_area_label,mu_mse,mu_mae
0,per_sample_zscore,concat,0.0,0,3,15170.0283203125,16.27104949951172
1,per_sample_zscore,concat,1.0,7,7,424.0303649902344,3.237577438354492
2,per_sample_zscore,concat,1.0,6,6,178.03402709960938,2.430541753768921
3,per_sample_zscore,concat,1.0,4,4,5.188442230224609,0.30871203541755676
4,per_sample_zscore,concat,1.0,6,6,50.99748229980469,0.9311551451683044
5,per_sample_zscore,concat,1.0,6,6,270.593994140625,2.6152355670928955
6,per_sample_zscore,concat,1.0,6,6,62.824581146240234,1.3472695350646973
7,per_sample_zscore,concat,0.0,0,6,30031.908203125,30.863313674926758
8,per_sample_zscore,concat,0.0,0,5,24982.578125,25.468730926513672
9,per_sample_zscore,concat,1.0,12,12,1086.59228515625,7.504642486572266
10,per_sample_zscore,concat,1.0,10,10,373.9453430175781,3.2243242263793945
11,per_sample_zscore,concat,1.0,4,4,60.3776741027832,1.1216574907302856
12,per_sample_zscore,concat,1.0,3,3,21.604963302612305,0.6379492282867432
13,per_sample_zscore,concat,1.0,9,9,235.9564971923828,2.670971393585205
14,per_sample_zscore,concat,0.0,0,8,39922.67578125,40.114173889160156
15,per_sample_zscore,concat,0.0,0,6,29935.669921875,30.53946304321289
16,per_sample_zscore,concat,1.0,6,6,64.44639587402344,1.1247903108596802
17,per_sample_zscore,concat,1.0,3,3,36.617576599121094,0.8414363861083984
18,per_sample_zscore,concat,1.0,6,6,78.56724548339844,1.2423315048217773
19,per_sample_zscore,concat,1.0,4,4,77.93540954589844,1.233475685119629
20,per_sample_zscore,concat,1.0,6,6,93.33096313476562,1.6004431247711182
21,per_sample_zscore,concat,1.0,8,8,275.9501037597656,2.5838396549224854
22,per_sample_zscore,concat,1.0,11,11,179.42601013183594,1.758414626121521
23,per_sample_zscore,concat,1.0,12,12,1104.1798095703125,8.4976167678833
24,per_sample_zscore,concat,1.0,8,8,261.08941650390625,2.2465829849243164
25,per_sample_zscore,concat,1.0,3,3,8.036192893981934,0.3737888038158417
26,per_sample_zscore,concat,1.0,9,9,302.8464660644531,3.5886361598968506
27,per_sample_zscore,concat,1.0,7,7,242.37863159179688,2.152143716812134
28,per_sample_zscore,concat,1.0,13,13,221.87661743164062,2.9941015243530273
29,per_sample_zscore,concat,1.0,6,6,356.2010192871094,3.565988779067993
30,per_sample_zscore,concat,1.0,5,5,134.86473083496094,1.9886064529418945
31,per_sample_zscore,concat,1.0,9,9,246.0906219482422,2.701657772064209
32,per_sample_zscore,concat,1.0,11,11,178.4827880859375,2.9841365814208984
33,per_sample_zscore,concat,1.0,7,7,1805.4759521484375,12.411742210388184
34,per_sample_zscore,concat,1.0,3,3,143.46881103515625,1.626869559288025
35,per_sample_zscore,concat,1.0,4,4,68.02901458740234,1.1448521614074707
36,per_sample_zscore,concat,0.0,0,4,19961.390625,20.107402801513672
37,per_sample_zscore,concat,1.0,6,6,35.69259262084961,0.6712035536766052
38,per_sample_zscore,concat,1.0,5,5,239.40982055664062,2.288670539855957
39,per_sample_zscore,concat,1.0,7,7,221.5500946044922,3.0158896446228027
40,per_sample_zscore,concat,1.0,9,9,531.1113891601562,4.185542106628418
41,per_sample_zscore,concat,1.0,16,16,1090.9476318359375,7.778720855712891
42,per_sample_zscore,concat,1.0,6,6,778.6093139648438,6.664693832397461
43,per_sample_zscore,concat,1.0,9,9,383.6236572265625,3.4156196117401123
44,per_sample_zscore,concat,1.0,6,6,39.17377471923828,1.121864914894104
45,per_sample_zscore,concat,1.0,5,5,75.60296630859375,1.0156443119049072
46,per_sample_zscore,concat,1.0,5,5,241.45098876953125,2.5447752475738525
