sample_index,signal_normalization,conditioning_mode,encoder_type,point_signal_mode,defect_iou,defect_area_pred,defect_area_label,mu_mse,mu_mae
591,per_sample_zscore,concat,mlp,local_value_abs,1.0,5,5,128.00103759765625,1.9902901649475098
592,per_sample_zscore,concat,mlp,local_value_abs,1.0,4,4,241.3638153076172,2.398486614227295
593,per_sample_zscore,concat,mlp,local_value_abs,1.0,5,5,365.9283447265625,2.6926188468933105
594,per_sample_zscore,concat,mlp,local_value_abs,0.7777777777777778,7,9,10318.962890625,13.17632007598877
595,per_sample_zscore,concat,mlp,local_value_abs,0.9,9,10,6075.76123046875,12.660672187805176
596,per_sample_zscore,concat,mlp,local_value_abs,1.0,9,9,135.0255126953125,2.235600471496582
597,per_sample_zscore,concat,mlp,local_value_abs,0.75,3,4,5574.65625,8.848381996154785
598,per_sample_zscore,concat,mlp,local_value_abs,0.0,0,6,29940.029296875,29.972074508666992
599,per_sample_zscore,concat,mlp,local_value_abs,1.0,4,4,13.236295700073242,0.42818522453308105
600,per_sample_zscore,concat,mlp,local_value_abs,1.0,4,4,87.12039184570312,1.236229419708252
601,per_sample_zscore,concat,mlp,local_value_abs,1.0,5,5,34.23030090332031,0.7625909447669983
602,per_sample_zscore,concat,mlp,local_value_abs,1.0,7,7,529.98974609375,3.260496139526367
603,per_sample_zscore,concat,mlp,local_value_abs,1.0,6,6,100.70530700683594,1.5846612453460693
604,per_sample_zscore,concat,mlp,local_value_abs,1.0,6,6,64.12268829345703,1.2744910717010498
605,per_sample_zscore,concat,mlp,local_value_abs,0.6,6,10,20313.947265625,22.85031509399414
606,per_sample_zscore,concat,mlp,local_value_abs,0.0,0,9,44920.73046875,45.418949127197266
607,per_sample_zscore,concat,mlp,local_value_abs,1.0,2,2,17.745269775390625,0.46716585755348206
608,per_sample_zscore,concat,mlp,local_value_abs,0.9090909090909091,10,11,5826.9404296875,9.871980667114258
609,per_sample_zscore,concat,mlp,local_value_abs,1.0,4,4,14.320112228393555,0.4943033754825592
610,per_sample_zscore,concat,mlp,local_value_abs,1.0,12,12,193.76806640625,2.427234411239624
611,per_sample_zscore,concat,mlp,local_value_abs,1.0,2,2,6.798844337463379,0.3715479075908661
612,per_sample_zscore,concat,mlp,local_value_abs,1.0,4,4,66.37738037109375,1.1713340282440186
613,per_sample_zscore,concat,mlp,local_value_abs,1.0,5,5,109.34599304199219,1.3707231283187866
614,per_sample_zscore,concat,mlp,local_value_abs,1.0,6,6,22.6931095123291,0.4366973042488098
615,per_sample_zscore,concat,mlp,local_value_abs,1.0,6,6,62.99300765991211,1.197934865951538
616,per_sample_zscore,concat,mlp,local_value_abs,0.9,9,10,5222.53125,7.595394134521484
617,per_sample_zscore,concat,mlp,local_value_abs,1.0,4,4,296.3235778808594,3.380060911178589
618,per_sample_zscore,concat,mlp,local_value_abs,0.8333333333333334,5,6,5150.74365234375,6.936849117279053
619,per_sample_zscore,concat,mlp,local_value_abs,1.0,15,15,814.3577880859375,5.99821138381958
620,per_sample_zscore,concat,mlp,local_value_abs,1.0,9,9,108.05679321289062,1.711201786994934
621,per_sample_zscore,concat,mlp,local_value_abs,1.0,12,12,948.0877685546875,7.307454586029053
622,per_sample_zscore,concat,mlp,local_value_abs,0.0,0,6,30028.849609375,30.67302894592285
623,per_sample_zscore,concat,mlp,local_value_abs,0.0,0,6,30279.75390625,31.8205623626709
624,per_sample_zscore,concat,mlp,local_value_abs,1.0,6,6,346.8592834472656,2.977138042449951
625,per_sample_zscore,concat,mlp,local_value_abs,0.7142857142857143,5,7,11107.3359375,16.187137603759766
626,per_sample_zscore,concat,mlp,local_value_abs,0.0,0,2,9980.673828125,10.076106071472168
627,per_sample_zscore,concat,mlp,local_value_abs,0.8571428571428571,7,6,5098.55224609375,6.407380104064941
628,per_sample_zscore,concat,mlp,local_value_abs,1.0,4,4,403.9428405761719,3.7886767387390137
629,per_sample_zscore,concat,mlp,local_value_abs,1.0,10,10,54.28954315185547,1.0050766468048096
630,per_sample_zscore,concat,mlp,local_value_abs,0.75,6,8,10590.2763671875,14.556159019470215
631,per_sample_zscore,concat,mlp,local_value_abs,1.0,10,10,127.47337341308594,1.339457631111145
632,per_sample_zscore,concat,mlp,local_value_abs,0.8333333333333334,5,6,5844.88671875,10.890567779541016
633,per_sample_zscore,concat,mlp,local_value_abs,1.0,6,6,88.95455169677734,1.6376229524612427
634,per_sample_zscore,concat,mlp,local_value_abs,1.0,9,9,37.303619384765625,0.7701874375343323
635,per_sample_zscore,concat,mlp,local_value_abs,0.0,0,6,30132.146484375,30.985536575317383
636,per_sample_zscore,concat,mlp,local_value_abs,1.0,4,4,132.5677947998047,1.79676353931427
637,per_sample_zscore,concat,mlp,local_value_abs,1.0,7,7,232.8887481689453,2.903080463409424
638,per_sample_zscore,concat,mlp,local_value_abs,1.0,11,11,1233.387451171875,7.385448455810547
639,per_sample_zscore,concat,mlp,local_value_abs,1.0,3,3,8.751051902770996,0.4190543591976166
640,per_sample_zscore,concat,mlp,local_value_abs,0.8333333333333334,5,6,4994.322265625,5.298608779907227
641,per_sample_zscore,concat,mlp,local_value_abs,1.0,8,8,94.21927642822266,1.4185799360275269
642,per_sample_zscore,concat,mlp,local_value_abs,1.0,9,9,179.02589416503906,2.6926097869873047
643,per_sample_zscore,concat,mlp,local_value_abs,1.0,9,9,47.4598388671875,0.9181134700775146
644,per_sample_zscore,concat,mlp,local_value_abs,1.0,12,12,187.55323791503906,2.4624104499816895
645,per_sample_zscore,concat,mlp,local_value_abs,1.0,9,9,34.29391860961914,0.9303575158119202
646,per_sample_zscore,concat,mlp,local_value_abs,0.0,0,6,29943.5625,30.170629501342773
647,per_sample_zscore,concat,mlp,local_value_abs,1.0,16,16,180.53321838378906,3.1631736755371094
648,per_sample_zscore,concat,mlp,local_value_abs,1.0,12,12,70.6712875366211,1.1984678506851196
649,per_sample_zscore,concat,mlp,local_value_abs,1.0,9,9,2004.3870849609375,13.1426362991333
650,per_sample_zscore,concat,mlp,local_value_abs,0.0,0,2,10208.2822265625,11.267521858215332
651,per_sample_zscore,concat,mlp,local_value_abs,1.0,6,6,47.51853561401367,0.8547334671020508
652,per_sample_zscore,concat,mlp,local_value_abs,1.0,4,4,27.6375675201416,1.1583621501922607
653,per_sample_zscore,concat,mlp,local_value_abs,1.0,5,5,54.17239761352539,0.9753255844116211
654,per_sample_zscore,concat,mlp,local_value_abs,1.0,5,5,74.04743194580078,1.0390406847000122
655,per_sample_zscore,concat,mlp,local_value_abs,1.0,10,10,8.780669212341309,0.5870493054389954
656,per_sample_zscore,concat,mlp,local_value_abs,1.0,6,6,47.666683197021484,0.8825523853302002
657,per_sample_zscore,concat,mlp,local_value_abs,1.0,7,7,118.73509216308594,2.238617420196533
658,per_sample_zscore,concat,mlp,local_value_abs,1.0,6,6,391.6602783203125,4.2055864334106445
659,per_sample_zscore,concat,mlp,local_value_abs,1.0,11,11,295.48443603515625,2.6321001052856445
660,per_sample_zscore,concat,mlp,local_value_abs,1.0,6,6,42.90371322631836,0.8994179964065552
661,per_sample_zscore,concat,mlp,local_value_abs,0.9090909090909091,11,10,6015.56787109375,11.019126892089844
662,per_sample_zscore,concat,mlp,local_value_abs,1.0,6,6,8.037111282348633,0.3548631966114044
663,per_sample_zscore,concat,mlp,local_value_abs,1.0,4,4,18.429244995117188,0.5588927865028381
664,per_sample_zscore,concat,mlp,local_value_abs,1.0,9,9,5.419459342956543,0.37797823548316956
665,per_sample_zscore,concat,mlp,local_value_abs,1.0,6,6,18.95728874206543,0.7114924192428589
666,per_sample_zscore,concat,mlp,local_value_abs,1.0,6,6,43.75244903564453,0.6178211569786072
667,per_sample_zscore,concat,mlp,local_value_abs,0.8,8,10,10490.365234375,14.102718353271484
668,per_sample_zscore,concat,mlp,local_value_abs,1.0,13,13,1403.0078125,7.3121256828308105
669,per_sample_zscore,concat,mlp,local_value_abs,1.0,12,12,244.6580047607422,2.6170706748962402
670,per_sample_zscore,concat,mlp,local_value_abs,1.0,16,16,473.9381408691406,4.5157294273376465
671,per_sample_zscore,concat,mlp,local_value_abs,1.0,5,5,87.53331756591797,1.7216906547546387
