step,total_loss,presence_loss,type_loss,continuous_loss,center_loss,axis_loss,depth_loss,rotation_loss,matching_loss
1,1.8511086702346802,0.7317806482315063,0.6848949193954468,0.44266757369041443,nan,nan,nan,nan,1.8511086702346802
100,0.35336166620254517,3.82411562895868e-05,0.5256901979446411,0.4399125277996063,nan,nan,nan,nan,0.35336166620254517
200,0.14005665481090546,2.923044348790427e-07,1.3404567241668701,0.4398733079433441,nan,nan,nan,nan,0.14005665481090546
300,0.06995382159948349,5.079460407841907e-08,1.666683316230774,0.4339222311973572,nan,nan,nan,nan,0.06995382159948349
400,0.033962544053792953,1.3057896097734556e-08,1.9263336658477783,0.43102505803108215,nan,nan,nan,nan,0.033962544053792953
500,0.022603221237659454,6.4217724471404836e-09,2.158803939819336,0.43500393629074097,nan,nan,nan,nan,0.022603221237659454
600,0.01800164207816124,4.381320639623709e-09,2.3620474338531494,0.45201778411865234,nan,nan,nan,nan,0.01800164207816124
700,0.007923134602606297,3.4080065436370433e-09,2.484459638595581,0.4393710196018219,nan,nan,nan,nan,0.007923134602606297
800,0.005203694570809603,2.881538563315189e-09,2.542959451675415,0.4388037919998169,nan,nan,nan,nan,0.005203694570809603
900,0.005013063549995422,2.707788882005957e-09,2.5648930072784424,0.4446565508842468,nan,nan,nan,nan,0.005013063549995422
1000,0.003237520344555378,3.03449998462213e-09,2.553462028503418,0.4464302361011505,nan,nan,nan,nan,0.003237520344555378
1100,0.003466938389465213,3.600399312020386e-09,2.5299856662750244,0.43752339482307434,nan,nan,nan,nan,0.003466938389465213
1200,0.0017218589782714844,4.11466372085556e-09,2.51245379447937,0.4394364058971405,nan,nan,nan,nan,0.0017218589782714844
1300,0.0029573054052889347,4.5191339559380594e-09,2.513449192047119,0.44694894552230835,nan,nan,nan,nan,0.0029573054052889347
1400,0.0014971229247748852,5.146516546261637e-09,2.501593589782715,0.4409199357032776,nan,nan,nan,nan,0.0014971229247748852
1500,0.0007119410438463092,5.88154458469603e-09,2.5045058727264404,0.4409814774990082,nan,nan,nan,nan,0.0007119410438463092
1600,0.009124190546572208,6.788611006669498e-09,2.4824392795562744,0.4379803240299225,nan,nan,nan,nan,0.009124190546572208
1700,0.003786900546401739,9.691680347145848e-09,2.461439371109009,0.4377042353153229,nan,nan,nan,nan,0.003786900546401739
1800,0.0005039103562012315,8.97449847769849e-09,2.495670795440674,0.4409971237182617,nan,nan,nan,nan,0.0005039103562012315
1900,0.11180465668439865,9.24560761283999e-10,1.2549660205841064,0.5036080479621887,nan,nan,nan,nan,0.11180465668439865
2000,0.024885637685656548,9.065050099454908e-11,1.8101664781570435,0.5112419724464417,nan,nan,nan,nan,0.024885637685656548
2100,0.009519868530333042,5.840362915510156e-11,1.973575472831726,0.5155954360961914,nan,nan,nan,nan,0.009519868530333042
2200,0.004989103879779577,2.6762102950383948e-11,2.0501840114593506,0.5169288516044617,nan,nan,nan,nan,0.004989103879779577
2300,0.0029251608066260815,1.4658722152782744e-11,2.092318058013916,0.5171340107917786,nan,nan,nan,nan,0.0029251608066260815
2400,0.001953503116965294,1.0067464223384448e-11,2.1288156509399414,0.5176801085472107,nan,nan,nan,nan,0.001953503116965294
2500,0.0014865896664559841,7.705717140760182e-12,2.155478000640869,0.518646776676178,nan,nan,nan,nan,0.0014865896664559841
2600,0.0011158596025779843,5.780889222178898e-12,2.180431604385376,0.5178768634796143,nan,nan,nan,nan,0.0011158596025779843
2700,0.0008280031615868211,4.574193454565112e-12,2.197725534439087,0.5187995433807373,nan,nan,nan,nan,0.0008280031615868211
2800,0.0007310451474040747,3.663933306058409e-12,2.2150003910064697,0.5183305740356445,nan,nan,nan,nan,0.0007310451474040747
2900,0.000635012227576226,3.1927206104592765e-12,2.232046127319336,0.5200725793838501,nan,nan,nan,nan,0.000635012227576226
3000,0.0005091417697258294,2.97188987828656e-12,2.242645502090454,0.5182759761810303,nan,nan,nan,nan,0.0005091417697258294
