runner config | sample=17 | center_mode=three | test_centers=3 | test_radius=5.000000e+00 | lambda_area_prior=1.000000e+00 | lambda_mask_prior=1.000000e+00 | lambda_mask_bce_prior=1.000000e+00
sample=17 | outer=1/30 | loss_phi=2.204096e+00 | loss_mu=1.488450e+00 | mu_mse=1.803133e+05 | mu_mae=4.225221e+02 | defect_area_pred=0 | defect_area_label=34 | defect_iou=0.000000e+00
sample=17 | outer=2/30 | loss_phi=2.187485e+00 | loss_mu=9.510555e-01 | mu_mse=1.328515e+05 | mu_mae=3.571811e+02 | defect_area_pred=63 | defect_area_label=34 | defect_iou=2.597403e-01
sample=17 | outer=3/30 | loss_phi=2.184630e+00 | loss_mu=7.730881e-01 | mu_mse=9.588828e+04 | mu_mae=2.927397e+02 | defect_area_pred=70 | defect_area_label=34 | defect_iou=3.164557e-01
sample=17 | outer=4/30 | loss_phi=2.183568e+00 | loss_mu=7.545528e-01 | mu_mse=7.928414e+04 | mu_mae=2.578247e+02 | defect_area_pred=66 | defect_area_label=34 | defect_iou=3.513514e-01
sample=17 | outer=5/30 | loss_phi=2.182621e+00 | loss_mu=7.814852e-01 | mu_mse=7.233546e+04 | mu_mae=2.420406e+02 | defect_area_pred=66 | defect_area_label=34 | defect_iou=3.698630e-01
sample=17 | outer=6/30 | loss_phi=2.181558e+00 | loss_mu=8.402693e-01 | mu_mse=7.003312e+04 | mu_mae=2.361096e+02 | defect_area_pred=68 | defect_area_label=34 | defect_iou=3.783784e-01
sample=17 | outer=7/30 | loss_phi=2.180256e+00 | loss_mu=9.451530e-01 | mu_mse=7.006796e+04 | mu_mae=2.346492e+02 | defect_area_pred=67 | defect_area_label=34 | defect_iou=3.835616e-01
sample=17 | outer=8/30 | loss_phi=2.178544e+00 | loss_mu=1.132445e+00 | mu_mse=7.359741e+04 | mu_mae=2.399368e+02 | defect_area_pred=74 | defect_area_label=34 | defect_iou=3.670886e-01
sample=17 | outer=9/30 | loss_phi=2.175845e+00 | loss_mu=1.462106e+00 | mu_mse=8.416465e+04 | mu_mae=2.570095e+02 | defect_area_pred=86 | defect_area_label=34 | defect_iou=3.636364e-01
sample=17 | outer=10/30 | loss_phi=2.170408e+00 | loss_mu=1.876758e+00 | mu_mse=1.019287e+05 | mu_mae=2.851639e+02 | defect_area_pred=100 | defect_area_label=34 | defect_iou=3.267327e-01
sample=17 | outer=11/30 | loss_phi=2.163956e+00 | loss_mu=2.179323e+00 | mu_mse=1.228522e+05 | mu_mae=3.139953e+02 | defect_area_pred=112 | defect_area_label=34 | defect_iou=3.035714e-01
