sample_index,signal_normalization,signal_feature_mode,conditioning_mode,encoder_type,point_signal_mode,mask_head_mode,defect_iou,defect_area_pred,defect_area_label,mu_mse,mu_mae
0,per_sample_zscore,raw_abs_grad,concat,mlp,none,mu_threshold,1.0,3,3,1973.8409423828125,10.34243106842041
1,per_sample_zscore,raw_abs_grad,concat,mlp,none,mu_threshold,1.0,7,7,272.0696716308594,2.9323136806488037
2,per_sample_zscore,raw_abs_grad,concat,mlp,none,mu_threshold,1.0,6,6,198.02723693847656,2.3648414611816406
3,per_sample_zscore,raw_abs_grad,concat,mlp,none,mu_threshold,1.0,4,4,1.252142310142517,0.1782756894826889
4,per_sample_zscore,raw_abs_grad,concat,mlp,none,mu_threshold,1.0,6,6,148.18801879882812,1.7313451766967773
5,per_sample_zscore,raw_abs_grad,concat,mlp,none,mu_threshold,1.0,6,6,254.56809997558594,2.75993013381958
6,per_sample_zscore,raw_abs_grad,concat,mlp,none,mu_threshold,1.0,6,6,7.89139986038208,0.4125405550003052
7,per_sample_zscore,raw_abs_grad,concat,mlp,none,mu_threshold,1.0,6,6,193.49945068359375,2.0830280780792236
8,per_sample_zscore,raw_abs_grad,concat,mlp,none,mu_threshold,1.0,5,5,363.1990661621094,3.111032724380493
9,per_sample_zscore,raw_abs_grad,concat,mlp,none,mu_threshold,1.0,12,12,1468.472412109375,8.399252891540527
10,per_sample_zscore,raw_abs_grad,concat,mlp,none,mu_threshold,1.0,10,10,296.7945556640625,2.975508451461792
11,per_sample_zscore,raw_abs_grad,concat,mlp,none,mu_threshold,1.0,4,4,52.115901947021484,0.9179807305335999
12,per_sample_zscore,raw_abs_grad,concat,mlp,none,mu_threshold,1.0,3,3,42.26985168457031,0.9810804724693298
13,per_sample_zscore,raw_abs_grad,concat,mlp,none,mu_threshold,1.0,9,9,210.744140625,1.9062206745147705
14,per_sample_zscore,raw_abs_grad,concat,mlp,none,mu_threshold,1.0,8,8,577.7181396484375,4.378154754638672
15,per_sample_zscore,raw_abs_grad,concat,mlp,none,mu_threshold,1.0,6,6,5.817850589752197,0.3873462677001953
16,per_sample_zscore,raw_abs_grad,concat,mlp,none,mu_threshold,1.0,6,6,373.8801574707031,2.7238802909851074
17,per_sample_zscore,raw_abs_grad,concat,mlp,none,mu_threshold,1.0,3,3,57.54914093017578,0.8657549619674683
18,per_sample_zscore,raw_abs_grad,concat,mlp,none,mu_threshold,1.0,6,6,166.97274780273438,1.9715732336044312
19,per_sample_zscore,raw_abs_grad,concat,mlp,none,mu_threshold,0.0,0,4,20076.82421875,20.83250617980957
20,per_sample_zscore,raw_abs_grad,concat,mlp,none,mu_threshold,1.0,6,6,146.92857360839844,1.8356930017471313
21,per_sample_zscore,raw_abs_grad,concat,mlp,none,mu_threshold,1.0,8,8,762.6332397460938,4.500946998596191
22,per_sample_zscore,raw_abs_grad,concat,mlp,none,mu_threshold,1.0,11,11,409.9106140136719,3.4339845180511475
23,per_sample_zscore,raw_abs_grad,concat,mlp,none,mu_threshold,1.0,12,12,447.2607421875,4.478791236877441
24,per_sample_zscore,raw_abs_grad,concat,mlp,none,mu_threshold,1.0,8,8,166.51312255859375,2.1670937538146973
25,per_sample_zscore,raw_abs_grad,concat,mlp,none,mu_threshold,1.0,3,3,110.84410095214844,1.3327929973602295
26,per_sample_zscore,raw_abs_grad,concat,mlp,none,mu_threshold,1.0,9,9,366.8990173339844,3.251073122024536
27,per_sample_zscore,raw_abs_grad,concat,mlp,none,mu_threshold,1.0,7,7,482.4827880859375,3.7641313076019287
28,per_sample_zscore,raw_abs_grad,concat,mlp,none,mu_threshold,1.0,13,13,490.140625,4.2368597984313965
29,per_sample_zscore,raw_abs_grad,concat,mlp,none,mu_threshold,0.8333333333333334,5,6,5193.52490234375,7.1241044998168945
30,per_sample_zscore,raw_abs_grad,concat,mlp,none,mu_threshold,1.0,5,5,247.65882873535156,2.7095391750335693
31,per_sample_zscore,raw_abs_grad,concat,mlp,none,mu_threshold,1.0,9,9,266.1270751953125,3.003063678741455
32,per_sample_zscore,raw_abs_grad,concat,mlp,none,mu_threshold,1.0,11,11,939.3740234375,5.493538856506348
33,per_sample_zscore,raw_abs_grad,concat,mlp,none,mu_threshold,1.0,7,7,1170.7158203125,7.090548992156982
34,per_sample_zscore,raw_abs_grad,concat,mlp,none,mu_threshold,1.0,3,3,18.18130874633789,0.6472465395927429
35,per_sample_zscore,raw_abs_grad,concat,mlp,none,mu_threshold,1.0,4,4,148.72433471679688,1.6520473957061768
36,per_sample_zscore,raw_abs_grad,concat,mlp,none,mu_threshold,1.0,4,4,64.7984390258789,1.1122465133666992
37,per_sample_zscore,raw_abs_grad,concat,mlp,none,mu_threshold,1.0,6,6,76.00717163085938,1.444570779800415
38,per_sample_zscore,raw_abs_grad,concat,mlp,none,mu_threshold,1.0,5,5,420.52874755859375,3.662026882171631
39,per_sample_zscore,raw_abs_grad,concat,mlp,none,mu_threshold,1.0,7,7,406.4886169433594,3.562136650085449
40,per_sample_zscore,raw_abs_grad,concat,mlp,none,mu_threshold,1.0,9,9,203.18618774414062,2.1699635982513428
41,per_sample_zscore,raw_abs_grad,concat,mlp,none,mu_threshold,1.0,16,16,918.6985473632812,6.248141288757324
42,per_sample_zscore,raw_abs_grad,concat,mlp,none,mu_threshold,1.0,6,6,866.1012573242188,6.087337970733643
43,per_sample_zscore,raw_abs_grad,concat,mlp,none,mu_threshold,1.0,9,9,1373.8751220703125,7.666584491729736
44,per_sample_zscore,raw_abs_grad,concat,mlp,none,mu_threshold,1.0,6,6,200.36314392089844,2.4832546710968018
45,per_sample_zscore,raw_abs_grad,concat,mlp,none,mu_threshold,1.0,5,5,140.04844665527344,1.6395233869552612
46,per_sample_zscore,raw_abs_grad,concat,mlp,none,mu_threshold,1.0,5,5,274.8006591796875,2.660090684890747
47,per_sample_zscore,raw_abs_grad,concat,mlp,none,mu_threshold,1.0,7,7,438.6851806640625,3.6048550605773926
48,per_sample_zscore,raw_abs_grad,concat,mlp,none,mu_threshold,1.0,7,7,369.5075988769531,3.1023123264312744
49,per_sample_zscore,raw_abs_grad,concat,mlp,none,mu_threshold,1.0,6,6,44.56450271606445,1.0039775371551514
50,per_sample_zscore,raw_abs_grad,concat,mlp,none,mu_threshold,1.0,3,3,51.50244140625,0.8141442537307739
51,per_sample_zscore,raw_abs_grad,concat,mlp,none,mu_threshold,1.0,8,8,530.3427124023438,4.073095798492432
52,per_sample_zscore,raw_abs_grad,concat,mlp,none,mu_threshold,0.7272727272727273,8,11,15145.9580078125,17.470123291015625
53,per_sample_zscore,raw_abs_grad,concat,mlp,none,mu_threshold,1.0,6,6,90.09169006347656,1.3331243991851807
54,per_sample_zscore,raw_abs_grad,concat,mlp,none,mu_threshold,1.0,5,5,58.91699981689453,1.0234347581863403
55,per_sample_zscore,raw_abs_grad,concat,mlp,none,mu_threshold,1.0,10,10,507.45269775390625,4.291874408721924
56,per_sample_zscore,raw_abs_grad,concat,mlp,none,mu_threshold,1.0,11,11,3076.7431640625,14.332856178283691
57,per_sample_zscore,raw_abs_grad,concat,mlp,none,mu_threshold,1.0,14,14,333.2220764160156,3.554267168045044
58,per_sample_zscore,raw_abs_grad,concat,mlp,none,mu_threshold,1.0,11,11,467.2463684082031,3.287559747695923
59,per_sample_zscore,raw_abs_grad,concat,mlp,none,mu_threshold,1.0,6,6,156.59405517578125,1.7700303792953491
60,per_sample_zscore,raw_abs_grad,concat,mlp,none,mu_threshold,1.0,12,12,308.1997985839844,2.6744933128356934
61,per_sample_zscore,raw_abs_grad,concat,mlp,none,mu_threshold,0.6,3,5,10432.71875,13.485893249511719
62,per_sample_zscore,raw_abs_grad,concat,mlp,none,mu_threshold,1.0,4,4,38.227230072021484,1.00423264503479
63,per_sample_zscore,raw_abs_grad,concat,mlp,none,mu_threshold,0.0,0,4,19965.736328125,20.24920082092285
64,per_sample_zscore,raw_abs_grad,concat,mlp,none,mu_threshold,1.0,9,9,166.4197235107422,2.310009002685547
65,per_sample_zscore,raw_abs_grad,concat,mlp,none,mu_threshold,0.8,4,5,5300.34912109375,7.777950763702393
66,per_sample_zscore,raw_abs_grad,concat,mlp,none,mu_threshold,1.0,8,8,1205.0869140625,8.365618705749512
67,per_sample_zscore,raw_abs_grad,concat,mlp,none,mu_threshold,1.0,4,4,506.6897277832031,4.9086833000183105
68,per_sample_zscore,raw_abs_grad,concat,mlp,none,mu_threshold,1.0,15,15,1529.39404296875,10.710851669311523
