phase,step,total_loss,bce_loss,dice_loss,mu_mse_loss,area_loss,threshold_margin_loss,positive_margin_loss,negative_margin_loss,sampled_positive_count,sampled_negative_count,sampled_mu_positive_mean,sampled_mu_negative_mean,batch_iou,batch_area_pred,batch_area_label,pred_area_soft_mean,true_area_mean,mean_mu,min_mu,max_mu,mean_soft_defect,mask_bce_mode,point_sampling_mode,train_point_subsample
finetune,1,1.2513720989227295,0.3155721426010132,0.9357999563217163,168853.6875,0.0,0.0,0.0,0.0,21085,388515,606.7604370117188,607.0814819335938,0.00327392578125,245.75999450683594,210.85000610351562,611.1863403320312,210.85000610351562,607.06494140625,358.95855712890625,690.1426391601562,0.14921541512012482,bce,random,4096
finetune,250,1.1518985033035278,0.21840505301952362,0.9334934949874878,158393.046875,0.0,0.0,0.0,0.0,22310,387290,618.373291015625,618.4791870117188,0.0,0.0,223.10000610351562,350.48004150390625,223.10000610351562,618.473388671875,611.5829467773438,625.1328735351562,0.08556641638278961,bce,random,4096
finetune,500,1.1511934995651245,0.21502624452114105,0.936167299747467,154880.6875,0.0,0.0,0.0,0.0,22231,387369,623.6026000976562,623.817626953125,0.0,0.0,222.30999755859375,318.10650634765625,222.30999755859375,623.8059692382812,613.999267578125,634.4542846679688,0.07766272127628326,bce,random,4096
finetune,750,1.1486999988555908,0.2112407088279724,0.9374592304229736,152598.96875,0.0,0.0,0.0,0.0,21936,387664,626.137939453125,627.0325927734375,0.0,0.0,219.36000061035156,300.214111328125,219.36000061035156,626.984619140625,615.7969360351562,644.395751953125,0.07329445332288742,bce,random,4096
finetune,1000,1.0652905702590942,0.1914486140012741,0.8738420009613037,124117.7421875,0.0,0.0,0.0,0.0,22439,387161,591.3790893554688,681.2786254882812,0.0,0.0,224.38999938964844,337.20843505859375,224.38999938964844,676.3536987304688,527.6651611328125,869.1324462890625,0.08232627809047699,bce,random,4096
finetune,1250,1.0141724348068237,0.19933921098709106,0.8148332238197327,117234.2578125,0.0,0.0,0.0,0.0,21659,387941,583.5909423828125,694.7092895507812,0.10185292430542146,169.49000549316406,216.58999633789062,372.88006591796875,216.58999633789062,688.83349609375,477.5982971191406,910.6669921875,0.09103517234325409,bce,random,4096
finetune,1500,1.1516152620315552,0.21414218842983246,0.9374731183052063,153328.796875,0.0,0.0,0.0,0.0,22245,387355,626.2583618164062,626.2584228515625,0.0,0.0,222.4499969482422,303.56524658203125,222.4499969482422,626.2583618164062,626.168212890625,626.3502807617188,0.07411259412765503,bce,random,4096
finetune,1750,1.1521978378295898,0.2170361876487732,0.9351615905761719,155985.46875,0.0,0.0,0.0,0.0,22430,387170,622.2974243164062,622.2972412109375,0.0,0.0,224.3000030517578,326.59710693359375,224.3000030517578,622.2971801757812,622.2207641601562,622.3754272460938,0.07973562180995941,bce,random,4096
finetune,2000,1.1503747701644897,0.21339206397533417,0.9369827508926392,154331.125,0.0,0.0,0.0,0.0,21997,387603,624.4600219726562,624.4600830078125,0.0,0.0,219.97000122070312,313.8302001953125,219.97000122070312,624.4600830078125,624.3846435546875,624.53759765625,0.07661870121955872,bce,random,4096
finetune,2250,1.1524828672409058,0.2166299968957901,0.9358528852462769,155044.078125,0.0,0.0,0.0,0.0,22482,387118,623.8067626953125,623.8064575195312,0.0,0.0,224.82000732421875,317.63922119140625,224.82000732421875,623.8064575195312,623.7324829101562,623.8828125,0.07754863798618317,bce,random,4096
finetune,2500,1.1533458232879639,0.21588283777236938,0.9374630451202393,152855.828125,0.0,0.0,0.0,0.0,22591,387009,627.3355712890625,627.3353881835938,0.0,0.0,225.91000366210938,297.5660095214844,225.91000366210938,627.3353881835938,627.2615356445312,627.4107055664062,0.07264795899391174,bce,random,4096
finetune,2750,1.1502671241760254,0.21207010746002197,0.9381969571113586,152770.875,0.0,0.0,0.0,0.0,21947,387653,626.8458862304688,626.8447265625,0.0,0.0,219.47000122070312,300.2850341796875,219.47000122070312,626.8447875976562,626.7770385742188,626.9186401367188,0.07331176847219467,bce,random,4096
finetune,3000,1.1493728160858154,0.21128754317760468,0.9380852580070496,153235.734375,0.0,0.0,0.0,0.0,21760,387840,625.9400024414062,625.939697265625,0.0,0.0,217.60000610351562,305.36114501953125,217.60000610351562,625.9397583007812,625.875244140625,626.0089111328125,0.0745510458946228,bce,random,4096
