step,loss,presence_loss,type_loss,center_bin_loss,center_x_bin_loss,center_y_bin_loss,center_y_bin_extra_loss,center_offset_loss,local_vertex_loss,center_aux_loss,box_aux_loss,area_aux_loss,edge_aux_loss,center_consistency_loss,weighted_presence_loss,weighted_type_loss,weighted_center_bin_loss,weighted_center_y_bin_extra_loss,weighted_center_offset_loss,weighted_local_vertex_loss,weighted_center_consistency_loss,local_shape_raw_abs_max,local_shape_effective_abs_max,local_shape_saturation_frac,joint_center_teacher_forcing_weight
1,13.798458099365234,0.6585171818733215,0.7046038508415222,2.8861427307128906,3.217832565307617,2.554453134536743,-0.0,0.2619263231754303,6.929930686950684,-0.0,-0.0,-0.0,-0.0,0.0,0.6585171818733215,0.7046038508415222,2.8861427307128906,-0.0,2.619263172149658,6.929930686950684,0.0,0.12386137247085571,0.12386137247085571,0.0,0.0
100,2.49763822555542,0.10476343333721161,0.03281722590327263,0.5220600962638855,0.42334291338920593,0.6207772493362427,-0.0,0.023485273122787476,1.6031447649002075,-0.0,-0.0,-0.0,-0.0,-0.0,0.10476343333721161,0.03281722590327263,0.5220600962638855,-0.0,0.23485273122787476,1.6031447649002075,-0.0,17.95738410949707,17.95738410949707,0.0,0.0
200,0.7181116938591003,0.03493192046880722,0.004490443039685488,0.11400580406188965,0.06124768406152725,0.16676393151283264,-0.0,0.02540481463074684,0.31063538789749146,-0.0,-0.0,-0.0,-0.0,-0.0,0.03493192046880722,0.004490443039685488,0.11400580406188965,-0.0,0.2540481388568878,0.31063538789749146,-0.0,17.794143676757812,17.794143676757812,0.0,0.0
300,0.2738545835018158,0.013904371298849583,0.002498185494914651,0.050404153764247894,0.027123846113681793,0.073684461414814,-0.0,0.015867704525589943,0.0483708456158638,-0.0,-0.0,-0.0,-0.0,-0.0,0.013904371298849583,0.002498185494914651,0.050404153764247894,-0.0,0.15867704153060913,0.0483708456158638,-0.0,17.50873374938965,17.50873374938965,0.0,0.0
400,0.22196157276630402,0.00818726047873497,0.0016923245275393128,0.026983749121427536,0.017245570197701454,0.03672192618250847,-0.0,0.015021896921098232,0.034879278391599655,-0.0,-0.0,-0.0,-0.0,-0.0,0.00818726047873497,0.0016923245275393128,0.026983749121427536,-0.0,0.15021896362304688,0.034879278391599655,-0.0,17.73746681213379,17.73746681213379,0.0,0.0
500,0.1958104372024536,0.0056999134831130505,0.0012441574363037944,0.016789158806204796,0.012422853149473667,0.02115546353161335,-0.0,0.013789872638881207,0.034178487956523895,-0.0,-0.0,-0.0,-0.0,-0.0,0.0056999134831130505,0.0012441574363037944,0.016789158806204796,-0.0,0.13789872825145721,0.034178487956523895,-0.0,17.773958206176758,17.773958206176758,0.0,0.0
600,0.13487361371517181,0.0043442584574222565,0.0010158014483749866,0.012168635614216328,0.009959431365132332,0.014377839863300323,-0.0,0.008814103901386261,0.02920387126505375,-0.0,-0.0,-0.0,-0.0,-0.0,0.0043442584574222565,0.0010158014483749866,0.012168635614216328,-0.0,0.08814103901386261,0.02920387126505375,-0.0,17.645811080932617,17.645811080932617,0.0,0.0
700,0.17633432149887085,0.0033844253048300743,0.0007924649980850518,0.009021027944982052,0.00784518476575613,0.010196871124207973,-0.0,0.015162338502705097,0.011513031087815762,-0.0,-0.0,-0.0,-0.0,-0.0,0.0033844253048300743,0.0007924649980850518,0.009021027944982052,-0.0,0.15162338316440582,0.011513031087815762,-0.0,17.396135330200195,17.396135330200195,0.0,0.0
800,0.19800828397274017,0.0031684611458331347,0.0007792688556946814,0.00830008089542389,0.007564198691397905,0.00903596356511116,-0.0,0.016228817403316498,0.023472299799323082,-0.0,-0.0,-0.0,-0.0,-0.0,0.0031684611458331347,0.0007792688556946814,0.00830008089542389,-0.0,0.16228817403316498,0.023472299799323082,-0.0,17.519189834594727,17.519189834594727,0.0,0.0
900,0.21971949934959412,0.003016325179487467,0.0007629497558809817,0.0077001131139695644,0.007270387373864651,0.008129838854074478,-0.0,0.018969668075442314,0.01854342594742775,-0.0,-0.0,-0.0,-0.0,-0.0,0.003016325179487467,0.0007629497558809817,0.0077001131139695644,-0.0,0.18969668447971344,0.01854342594742775,-0.0,17.607099533081055,17.607099533081055,0.0,0.0
1000,0.1251666247844696,0.0024780970998108387,0.0006490771775133908,0.006381324492394924,0.006151941604912281,0.00661070691421628,-0.0,0.010655569843947887,0.009102423675358295,-0.0,-0.0,-0.0,-0.0,-0.0,0.0024780970998108387,0.0006490771775133908,0.006381324492394924,-0.0,0.10655570030212402,0.009102423675358295,-0.0,17.617143630981445,17.617143630981445,0.0,0.0
1100,0.060610268265008926,0.0021330059971660376,0.000581048137973994,0.005428215954452753,0.005296320654451847,0.005560111254453659,-0.0,0.003694683313369751,0.015521165914833546,-0.0,-0.0,-0.0,-0.0,-0.0,0.0021330059971660376,0.000581048137973994,0.005428215954452753,-0.0,0.03694683313369751,0.015521165914833546,-0.0,17.63151741027832,17.63151741027832,0.0,0.0
1200,0.04051617160439491,0.0017554473597556353,0.0004939005011692643,0.004449496977031231,0.004347768146544695,0.004551225807517767,-0.0,0.0026750313118100166,0.007067014928907156,-0.0,-0.0,-0.0,-0.0,-0.0,0.0017554473597556353,0.0004939005011692643,0.004449496977031231,-0.0,0.026750313118100166,0.007067014928907156,-0.0,17.581422805786133,17.581422805786133,0.0,0.0
1300,0.12522436678409576,0.0016043485375121236,0.0004478800401557237,0.004101489670574665,0.004038509447127581,0.004164470359683037,-0.0,0.007947990670800209,0.0395907498896122,-0.0,-0.0,-0.0,-0.0,-0.0,0.0016043485375121236,0.0004478800401557237,0.004101489670574665,-0.0,0.07947990298271179,0.0395907498896122,-0.0,17.29977798461914,17.29977798461914,0.0,0.0
1400,0.07739435136318207,0.0013949662679806352,0.0003956714062951505,0.0035770172253251076,0.003524033585563302,0.003630000865086913,-0.0,0.003904040902853012,0.03298628702759743,-0.0,-0.0,-0.0,-0.0,-0.0,0.0013949662679806352,0.0003956714062951505,0.0035770172253251076,-0.0,0.03904040902853012,0.03298628702759743,-0.0,17.40167808532715,17.40167808532715,0.0,0.0
1500,0.0735141858458519,0.001344050164334476,0.0003794533549807966,0.0033358451910316944,0.003322083968669176,0.0033496064133942127,-0.0,0.003857554867863655,0.029879285022616386,-0.0,-0.0,-0.0,-0.0,-0.0,0.001344050164334476,0.0003794533549807966,0.0033358451910316944,-0.0,0.03857554867863655,0.029879285022616386,-0.0,17.35161590576172,17.35161590576172,0.0,0.0
1600,0.09006758034229279,0.0013023368082940578,0.00036501328577287495,0.003246097359806299,0.0032322085462510586,0.003259985940530896,-0.0,0.006368906702846289,0.021465059369802475,-0.0,-0.0,-0.0,-0.0,-0.0,0.0013023368082940578,0.00036501328577287495,0.003246097359806299,-0.0,0.06368906795978546,0.021465059369802475,-0.0,17.701318740844727,17.701318740844727,0.0,0.0
1700,0.09128718823194504,0.0013585869455710053,0.0003792623756453395,0.0033574304543435574,0.003382093971595168,0.0033327669370919466,-0.0,0.006207281723618507,0.024119092151522636,-0.0,-0.0,-0.0,-0.0,-0.0,0.0013585869455710053,0.0003792623756453395,0.0033574304543435574,-0.0,0.062072817236185074,0.024119092151522636,-0.0,17.705480575561523,17.705480575561523,0.0,0.0
