sample_index,oracle_mask_iou,oracle_dice,target_area,raster_area,area_diff,component_count,type_sequence
39,0.7098445595854922,0.8303030303030303,979,1001,22,3,rectangular_notch|rectangular_notch|rotated_rect
40,0.765,0.8668555240793201,1063,1055,-8,3,rectangular_notch|rectangular_notch|rotated_rect
41,0.5767690253671562,0.7315834038950042,1181,1181,0,3,rectangular_notch|rectangular_notch|rotated_rect
42,0.7584269662921348,0.8626198083067093,1097,1094,-3,3,rectangular_notch|rectangular_notch|rotated_rect
43,0.7374897456931911,0.8489140698772427,1047,1071,24,3,rectangular_notch|rectangular_notch|rotated_rect
44,0.555104800540906,0.7139130434782609,1150,1150,0,3,rectangular_notch|rectangular_notch|rotated_rect
45,0.6804780876494024,0.8098624940730204,1058,1051,-7,3,rectangular_notch|rectangular_notch|rotated_rect
46,0.6928807947019867,0.8185819070904645,1010,1035,25,3,rectangular_notch|rectangular_notch|rotated_rect
47,0.6381322957198443,0.7790973871733967,1280,1246,-34,3,rectangular_notch|rectangular_notch|rotated_rect
48,0.7594417077175698,0.863275781614559,1059,1084,25,3,rectangular_notch|rectangular_notch|rotated_rect
49,0.6740237691001698,0.8052738336713996,975,997,22,3,rectangular_notch|rectangular_notch|rotated_rect
50,0.6092468307233407,0.7571825764596849,1074,1084,10,3,rectangular_notch|rotated_rect|rotated_rect
51,0.7835951134380453,0.8786692759295499,1028,1016,-12,3,rectangular_notch|rotated_rect|rotated_rect
52,0.7748837209302326,0.8731656184486373,946,962,16,3,rectangular_notch|rotated_rect|rotated_rect
53,0.7355311355311356,0.8476150274377374,1184,1185,1,3,rectangular_notch|rotated_rect|rotated_rect
54,0.8065099457504521,0.8928928928928929,1004,994,-10,3,rectangular_notch|rotated_rect|rotated_rect
55,0.7455230914231856,0.8542116630669546,919,933,14,3,rectangular_notch|rotated_rect|rotated_rect
56,0.6976069615663524,0.8218709953011534,1163,1178,15,3,rectangular_notch|rotated_rect|rotated_rect
57,0.7929759704251387,0.8845360824742268,975,965,-10,3,rectangular_notch|rotated_rect|rotated_rect
58,0.8879781420765027,0.9406657018813314,1030,1043,13,3,rectangular_notch|rotated_rect|rotated_rect
59,0.666168782673637,0.7996414164051995,1115,1116,1,3,rectangular_notch|rotated_rect|rotated_rect
60,0.7607076350093109,0.86409307244844,951,940,-11,3,rectangular_notch|rotated_rect|rotated_rect
61,0.8650646950092421,0.9276511397423192,1003,1015,12,3,rectangular_notch|rotated_rect|rotated_rect
62,0.6473247927656368,0.7859103385178408,1092,1094,2,3,rectangular_notch|rotated_rect|rotated_rect
63,0.8992740471869328,0.94696607740086,1053,1040,-13,3,rectangular_notch|rotated_rect|rotated_rect
64,0.7988980716253443,0.888208269525268,973,986,13,3,rectangular_notch|rotated_rect|rotated_rect
65,0.6092468307233407,0.7571825764596849,1074,1084,10,3,rectangular_notch|rotated_rect|rotated_rect
66,0.7835951134380453,0.8786692759295499,1028,1016,-12,3,rectangular_notch|rotated_rect|rotated_rect
67,0.7748837209302326,0.8731656184486373,946,962,16,3,rectangular_notch|rotated_rect|rotated_rect
68,0.7355311355311356,0.8476150274377374,1184,1185,1,3,rectangular_notch|rotated_rect|rotated_rect
69,0.8065099457504521,0.8928928928928929,1004,994,-10,3,rectangular_notch|rotated_rect|rotated_rect
70,0.7455230914231856,0.8542116630669546,919,933,14,3,rectangular_notch|rotated_rect|rotated_rect
71,0.6976069615663524,0.8218709953011534,1163,1178,15,3,rectangular_notch|rotated_rect|rotated_rect
72,0.7929759704251387,0.8845360824742268,975,965,-10,3,rectangular_notch|rotated_rect|rotated_rect
73,0.8879781420765027,0.9406657018813314,1030,1043,13,3,rectangular_notch|rotated_rect|rotated_rect
74,0.666168782673637,0.7996414164051995,1115,1116,1,3,rectangular_notch|rotated_rect|rotated_rect
75,0.7457212713936431,0.8543417366946778,1071,1071,0,3,rotated_rect|rotated_rect|rotated_rect
76,0.6624579124579124,0.7969620253164557,987,988,1,3,rotated_rect|rotated_rect|rotated_rect
77,0.636604774535809,0.7779578606158833,1234,1234,0,3,rotated_rect|rotated_rect|rotated_rect
78,0.7050538525269263,0.827016520894072,1028,1030,2,3,rotated_rect|rotated_rect|rotated_rect
79,0.777511961722488,0.8748317631224765,1115,1114,-1,3,rotated_rect|rotated_rect|rotated_rect
