step,total_loss,presence_loss,type_loss,type_extra_loss,rotation_extra_loss,weighted_type_extra_loss,weighted_rotation_extra_loss,continuous_loss,center_loss,axis_loss,depth_loss,rotation_loss,parametric_total_loss,raster_total_loss,raster_bce_loss,raster_dice_loss,raster_soft_iou,raster_soft_dice,raster_loss_active,val_mask_iou_at_step,val_loss_at_step,is_best_step
1,4.52382755279541,0.7317806482315063,0.6848949193954468,0.6848949193954468,0.9897947311401367,0.6848949193954468,1.9795894622802734,0.44266757369041443,nan,nan,nan,nan,4.52382755279541,-0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
100,0.5013060569763184,0.00021464978635776788,0.08141563087701797,0.08141563087701797,0.06265617161989212,0.08141563087701797,0.12531234323978424,0.2129478007555008,nan,nan,nan,nan,0.5013060569763184,-0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
200,0.1435801088809967,1.9051361960009672e-05,0.0031719058752059937,0.0031719058752059937,0.0019228019518777728,0.0031719058752059937,0.0038456039037555456,0.13337163627147675,nan,nan,nan,nan,0.1435801088809967,-0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
300,0.10200322419404984,8.983407496998552e-06,0.0013195027131587267,0.0013195027131587267,0.0018451956566423178,0.0013195027131587267,0.0036903913132846355,0.095664843916893,nan,nan,nan,nan,0.10200322419404984,-0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
400,0.06978161633014679,6.557554570463253e-06,0.0007326296181418002,0.0007326296181418002,0.0008690922404639423,0.0007326296181418002,0.0017381844809278846,0.06657161563634872,nan,nan,nan,nan,0.06978161633014679,-0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
500,0.06249597668647766,5.669148322340334e-06,0.0005654830019921064,0.0005654830019921064,0.005790987052023411,0.0005654830019921064,0.011581974104046822,0.04977736994624138,nan,nan,nan,nan,0.06249597668647766,-0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
600,0.03398551791906357,5.0852463573392015e-06,0.00039742665830999613,0.00039742665830999613,0.0007791853859089315,0.00039742665830999613,0.001558370771817863,0.03162721171975136,nan,nan,nan,nan,0.03398551791906357,-0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
700,0.02659457176923752,4.747252205561381e-06,0.0003198758640792221,0.0003198758640792221,0.0024963789619505405,0.0003198758640792221,0.004992757923901081,0.02095731534063816,nan,nan,nan,nan,0.02659457176923752,-0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
800,0.014275364577770233,4.244107458362123e-06,0.00023846841941121966,0.00023846841941121966,0.00030021124985069036,0.00023846841941121966,0.0006004224997013807,0.013193760067224503,nan,nan,nan,nan,0.014275364577770233,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
900,0.010461946949362755,3.9029405343171675e-06,0.00018614997679833323,0.00018614997679833323,0.0005943800788372755,0.00018614997679833323,0.001188760157674551,0.008896984159946442,nan,nan,nan,nan,0.010461946949362755,-0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
1000,0.007853926159441471,3.344987135278643e-06,0.00015717266069259495,0.00015717266069259495,0.000817525724414736,0.00015717266069259495,0.001635051448829472,0.005901183933019638,nan,nan,nan,nan,0.007853926159441471,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
1100,0.004702357109636068,3.855070644931402e-06,0.00012847984908148646,0.00012847984908148646,0.00030297719058580697,0.00012847984908148646,0.0006059543811716139,0.003835588227957487,nan,nan,nan,nan,0.004702357109636068,-0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
1200,0.004988830536603928,2.9267691843415378e-06,9.969681559596211e-05,9.969681559596211e-05,0.0009348129970021546,9.969681559596211e-05,0.0018696259940043092,0.0029168841429054737,nan,nan,nan,nan,0.004988830536603928,-0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
1300,0.002043303567916155,2.810738124026102e-06,8.444272680208087e-05,8.444272680208087e-05,9.780991240404546e-05,8.444272680208087e-05,0.00019561982480809093,0.0016759874997660518,nan,nan,nan,nan,0.002043303567916155,-0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
1400,0.0031218379735946655,2.8131362341810018e-06,7.27111691958271e-05,7.27111691958271e-05,0.0007143747061491013,7.27111691958271e-05,0.0014287494122982025,0.0015448532067239285,nan,nan,nan,nan,0.0031218379735946655,-0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
1500,0.0017236827407032251,6.005530394759262e-06,9.13903713808395e-05,9.13903713808395e-05,7.069256389513612e-05,9.13903713808395e-05,0.00014138512779027224,0.001393511425703764,nan,nan,nan,nan,0.0017236827407032251,-0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
1600,0.0009589058463461697,3.6985888982599135e-06,6.775378278689459e-05,6.775378278689459e-05,2.297263199579902e-05,6.775378278689459e-05,4.594526399159804e-05,0.0007737544365227222,nan,nan,nan,nan,0.0009589058463461697,-0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
