phase,step,param_loss,forward_consistency_loss,total_loss,presence_loss,type_loss,continuous_loss,center_loss,axis_loss,depth_loss,rotation_loss,parametric_total_loss,raster_total_loss,raster_bce_loss,raster_dice_loss,raster_soft_iou,raster_soft_dice,raster_loss_active
inverse,1,1.8295258283615112,1.0939533710479736,1.8295258283615112,0.6917679905891418,0.6946992874145508,0.4430586099624634,nan,nan,nan,nan,1.8295258283615112,-0.0,0.0,0.0,nan,nan,0.0
inverse,250,0.19114601612091064,0.7389024496078491,0.19114601612091064,5.235357821220532e-05,0.005164374131709337,0.1859292834997177,nan,nan,nan,nan,0.19114601612091064,-0.0,0.0,0.0,nan,nan,0.0
inverse,500,0.07837454229593277,0.6334105730056763,0.07837454229593277,1.7065365227608709e-06,0.0007010572589933872,0.07767178118228912,nan,nan,nan,nan,0.07837454229593277,-0.0,0.0,0.0,nan,nan,0.0
inverse,750,0.05698656663298607,0.6198463439941406,0.05698656663298607,2.0053555545018753e-06,0.0003147807146888226,0.05666977912187576,nan,nan,nan,nan,0.05698656663298607,-0.0,0.0,0.0,nan,nan,0.0
inverse,1000,0.049510352313518524,0.6079623699188232,0.049510352313518524,2.037180365732638e-06,0.00016855487774591893,0.04933976009488106,nan,nan,nan,nan,0.049510352313518524,-0.0,0.0,0.0,nan,nan,0.0
inverse,1250,0.04244577884674072,0.6144101619720459,0.04244577884674072,2.679622411960736e-06,0.0002538069966249168,0.04218929260969162,nan,nan,nan,nan,0.04244577884674072,-0.0,0.0,0.0,nan,nan,0.0
inverse,1500,0.03741675615310669,0.5849875211715698,0.03741675615310669,3.313285333206295e-06,0.00011174743121955544,0.037301696836948395,nan,nan,nan,nan,0.03741675615310669,-0.0,0.0,0.0,nan,nan,0.0
inverse,1750,0.035831380635499954,0.5803345441818237,0.035831380635499954,3.764761686397833e-06,0.00010054901940748096,0.035727065056562424,nan,nan,nan,nan,0.035831380635499954,-0.0,0.0,0.0,nan,nan,0.0
inverse,2000,0.03573362156748772,0.576814591884613,0.03573362156748772,4.281373094272567e-06,8.772430010139942e-05,0.035641614347696304,nan,nan,nan,nan,0.03573362156748772,-0.0,0.0,0.0,nan,nan,0.0
inverse,2250,0.035218652337789536,0.573520839214325,0.035218652337789536,4.61559284303803e-06,6.975675205467269e-05,0.03514428064227104,nan,nan,nan,nan,0.035218652337789536,-0.0,0.0,0.0,nan,nan,0.0
inverse,2500,0.03580980375409126,0.5789391994476318,0.03580980375409126,6.791947726014769e-06,9.289661102229729e-05,0.03571011498570442,nan,nan,nan,nan,0.03580980375409126,-0.0,0.0,0.0,nan,nan,0.0
inverse,2750,0.03547164425253868,0.5667972564697266,0.03547164425253868,4.83307485410478e-06,6.564517389051616e-05,0.03540116548538208,nan,nan,nan,nan,0.03547164425253868,-0.0,0.0,0.0,nan,nan,0.0
inverse,3000,0.03502674400806427,0.5638992786407471,0.03502674400806427,4.4522898861032445e-06,6.358489190461114e-05,0.03495870530605316,nan,nan,nan,nan,0.03502674400806427,-0.0,0.0,0.0,nan,nan,0.0
