phase,step,total_loss,bce_loss,dice_loss,mu_mse_loss,area_loss,threshold_margin_loss,positive_margin_loss,negative_margin_loss,sampled_positive_count,sampled_negative_count,sampled_mu_positive_mean,sampled_mu_negative_mean,batch_iou,batch_area_pred,batch_area_label,pred_area_soft_mean,true_area_mean,mean_mu,min_mu,max_mu,mean_soft_defect,mask_bce_mode,point_sampling_mode,train_point_subsample
finetune,1,18472.96484375,0.4465326964855194,0.919846773147583,199774.953125,0.0,18471.59765625,16924.869140625,1546.727783203125,22020,387580,564.1632690429688,565.3072509765625,0.00870849609375,657.0399780273438,220.1999969482422,1094.0023193359375,220.1999969482422,565.2457275390625,400.85125732421875,664.3673706054688,0.26709040999412537,bce,random,4096
finetune,250,4996.78662109375,0.6904937624931335,0.9007977247238159,249670.015625,0.0,4995.1953125,2523.37451171875,2471.821044921875,22573,387027,500.2119445800781,500.30584716796875,0.03583660064357448,1887.300048828125,225.72999572753906,2041.84619140625,225.72999572753906,500.3006286621094,495.98736572265625,507.2106628417969,0.4984975755214691,bce,random,4096
finetune,500,4991.4697265625,0.694542646408081,0.9039251804351807,250071.203125,0.0,4989.87109375,2471.515380859375,2518.355712890625,21767,387833,499.67974853515625,499.8548278808594,0.038085236071185975,2199.8798828125,217.6699981689453,2051.163330078125,217.6699981689453,499.8455505371094,493.6837158203125,507.68011474609375,0.5007722973823547,bce,random,4096
finetune,750,4994.7431640625,0.6913383603096008,0.8990879654884338,249732.546875,0.0,4993.15283203125,2508.798583984375,2484.354248046875,22980,386620,500.0169372558594,500.2330322265625,0.0391674754215457,1967.800048828125,229.8000030517578,2043.4840087890625,229.8000030517578,500.2208557128906,491.911865234375,511.2052001953125,0.4988974630832672,bce,random,4096
finetune,1000,4967.14013671875,0.6923590898513794,0.8990486860275269,249839.1875,0.0,4965.548828125,2468.576416015625,2496.972412109375,22944,386656,499.6314392089844,500.0961608886719,0.05018286892602175,1980.050048828125,229.44000244140625,2046.564697265625,229.44000244140625,500.0701599121094,491.1333923339844,510.3618469238281,0.4996495842933655,bce,random,4096
finetune,1250,4890.46044921875,0.6884132623672485,0.8990464210510254,249434.78125,0.0,4888.873046875,2430.052490234375,2458.820556640625,22748,386852,499.2404479980469,500.5047912597656,0.06852198937252833,1863.949951171875,227.47999572753906,2039.1129150390625,227.47999572753906,500.4346008300781,491.65924072265625,516.1488647460938,0.4978303015232086,bce,random,4096
finetune,1500,5004.39453125,0.6766377091407776,0.9048982858657837,248268.796875,0.0,5002.81298828125,2683.666015625,2319.14697265625,21567,388033,501.7745666503906,501.8775939941406,0.007274445983641033,528.6599731445312,215.6699981689453,2009.6708984375,215.6699981689453,501.8721618652344,494.3919982910156,513.0527954101562,0.4906423091888428,bce,random,4096
finetune,1750,4987.7197265625,0.6784863471984863,0.9054516553878784,248453.796875,0.0,4986.1357421875,2645.171142578125,2340.96435546875,21410,388190,501.3963623046875,501.66058349609375,0.01275017778642655,684.739990234375,214.10000610351562,2014.288330078125,214.10000610351562,501.6467590332031,492.3011169433594,515.1550903320312,0.4917696416378021,bce,random,4096
finetune,2000,4960.62255859375,0.6985686421394348,0.9019914269447327,250463.734375,0.0,4959.02197265625,2392.3076171875,2566.71435546875,22159,387441,498.8731384277344,499.394775390625,0.057178261051912774,2634.6201171875,221.58999633789062,2060.9716796875,221.58999633789062,499.3665771484375,486.49224853515625,520.829345703125,0.503166913986206,bce,random,4096
finetune,2250,4724.8212890625,0.6201579570770264,0.8988615274429321,242240.40625,0.0,4723.30224609375,2967.949951171875,1755.3521728515625,22270,387330,504.4035339355469,508.5087890625,0.013583857788102636,227.77000427246094,222.6999969482422,1879.2962646484375,222.6999969482422,508.2856140136719,491.38067626953125,528.5947265625,0.45881256461143494,bce,random,4096
finetune,2500,3840.330078125,0.6175163388252258,0.8780021667480469,238505.265625,0.0,3838.83447265625,1559.6663818359375,2279.168212890625,22520,387080,487.70904541015625,512.4824829101562,0.09591289251363812,1863.8299560546875,225.1999969482422,1848.3682861328125,225.1999969482422,511.1204833984375,469.09783935546875,588.2279663085938,0.4512617886066437,bce,random,4096
finetune,2750,3568.08837890625,0.5455116033554077,0.8630932569503784,226366.765625,0.0,3566.6796875,1629.42724609375,1937.25244140625,22950,386650,488.97210693359375,527.0853881835938,0.11860809527806739,1610.6400146484375,229.5,1647.9151611328125,229.5,524.949951171875,458.53875732421875,659.5242309570312,0.40232300758361816,bce,random,4096
finetune,3000,3419.18798828125,0.5554934740066528,0.854231595993042,224373.4375,0.0,3417.7783203125,1161.7431640625,2256.03515625,23047,386553,482.8423156738281,530.0091552734375,0.13464056873849473,1723.3900146484375,230.47000122070312,1653.3677978515625,230.47000122070312,527.355224609375,447.8775329589844,699.1109008789062,0.4036543369293213,bce,random,4096
