step,loss,presence_loss,type_loss,vertex_loss,center_aux_loss,box_aux_loss,weighted_presence_loss,weighted_type_loss,weighted_vertex_loss,weighted_center_aux_loss,weighted_box_aux_loss
1,3.880586624145508,0.6529502868652344,0.6908663511276245,0.05073539540171623,0.0,0.0,0.6529502868652344,0.6908663511276245,2.5367698669433594,0.0,0.0
100,0.22092591226100922,0.04247019812464714,0.007811001501977444,0.0034128944389522076,-0.0,-0.0,0.04247019812464714,0.007811001501977444,0.17064471542835236,-0.0,-0.0
200,0.039304573088884354,0.00819732528179884,0.0013955625472590327,0.0005942336865700781,-0.0,-0.0,0.00819732528179884,0.0013955625472590327,0.029711684212088585,-0.0,-0.0
300,0.007443596143275499,0.004929402377456427,0.0009255892946384847,3.177209146087989e-05,-0.0,-0.0,0.004929402377456427,0.0009255892946384847,0.001588604529388249,-0.0,-0.0
400,0.0059789009392261505,0.003476722864434123,0.0007120219524949789,3.58031211362686e-05,-0.0,-0.0,0.003476722864434123,0.0007120219524949789,0.0017901560058817267,-0.0,-0.0
500,0.010644424706697464,0.0033649869728833437,0.000782183778937906,0.00012994508142583072,-0.0,-0.0,0.0033649869728833437,0.000782183778937906,0.006497254129499197,-0.0,-0.0
600,0.003518646815791726,0.0021929729264229536,0.0004951919545419514,1.660964153415989e-05,-0.0,-0.0,0.0021929729264229536,0.0004951919545419514,0.0008304820512421429,-0.0,-0.0
700,0.0023159021511673927,0.0017924815183505416,0.0004172646440565586,2.1231180653558113e-06,-0.0,-0.0,0.0017924815183505416,0.0004172646440565586,0.00010615590144880116,-0.0,-0.0
800,0.028960835188627243,0.001514539704658091,0.0003599472693167627,0.0005417269421741366,-0.0,-0.0,0.001514539704658091,0.0003599472693167627,0.027086347341537476,-0.0,-0.0
900,0.00379561772570014,0.0024966986384242773,0.0005164004978723824,1.565037018735893e-05,-0.0,-0.0,0.0024966986384242773,0.0005164004978723824,0.0007825185311958194,-0.0,-0.0
1000,0.0010162428952753544,0.0008595418184995651,0.00014745102089364082,1.8500004728139174e-07,-0.0,-0.0,0.0008595418184995651,0.00014745102089364082,9.25000222196104e-06,-0.0,-0.0
1100,0.020920254290103912,0.0006860062130726874,0.00012087091454304755,0.0004022675275336951,-0.0,-0.0,0.0006860062130726874,0.00012087091454304755,0.020113376900553703,-0.0,-0.0
1200,0.04160362482070923,0.000606972724199295,0.00011193125828867778,0.0008176944684237242,-0.0,-0.0,0.000606972724199295,0.00011193125828867778,0.04088472202420235,-0.0,-0.0
1300,0.0038826707750558853,0.0009398381225764751,0.0002051381452474743,5.4753887525293976e-05,-0.0,-0.0,0.0009398381225764751,0.0002051381452474743,0.0027376944199204445,-0.0,-0.0
1400,0.0034879285376518965,0.000672526890411973,0.00014161060971673578,5.347582191461697e-05,-0.0,-0.0,0.000672526890411973,0.00014161060971673578,0.0026737910229712725,-0.0,-0.0
1500,0.04792102053761482,0.0005597508861683309,0.00011801023356383666,0.0009448651690036058,-0.0,-0.0,0.0005597508861683309,0.00011801023356383666,0.047243259847164154,-0.0,-0.0
1600,0.0008261391776613891,0.0006677904748357832,0.00015484087634831667,7.015655967279599e-08,-0.0,-0.0,0.0006677904748357832,0.00015484087634831667,3.507828068904928e-06,-0.0,-0.0
1700,0.0011053885100409389,0.0008269490790553391,0.0002079985715681687,1.4088168427406345e-06,-0.0,-0.0,0.0008269490790553391,0.0002079985715681687,7.044084486551583e-05,-0.0,-0.0
1800,0.002366947242990136,0.0010751242516562343,0.00029881304362788796,1.986019742616918e-05,-0.0,-0.0,0.0010751242516562343,0.00029881304362788796,0.000993009889498353,-0.0,-0.0
1900,0.0032408188562840223,0.0008589315111748874,0.00023195437097456306,4.2998661228921264e-05,-0.0,-0.0,0.0008589315111748874,0.00023195437097456306,0.0021499330177903175,-0.0,-0.0
2000,0.015494197607040405,0.0004196194058749825,9.77468371274881e-05,0.0002995366230607033,-0.0,-0.0,0.0004196194058749825,9.77468371274881e-05,0.014976831153035164,-0.0,-0.0
2100,0.002319794148206711,0.000401175842853263,9.440929716220126e-05,3.6484179872786626e-05,-0.0,-0.0,0.000401175842853263,9.440929716220126e-05,0.001824209000915289,-0.0,-0.0
2200,0.011233324185013771,0.0005677735898643732,0.00014673586701974273,0.0002103762817569077,-0.0,-0.0,0.0005677735898643732,0.00014673586701974273,0.01051881443709135,-0.0,-0.0
2300,0.00044651265488937497,0.00033792154863476753,7.92710343375802e-05,5.864011995981855e-07,-0.0,-0.0,0.00033792154863476753,7.92710343375802e-05,2.932005918410141e-05,-0.0,-0.0
2400,0.0009961632313206792,0.0007806490175426006,0.00019560330838430673,3.98219242470077e-07,-0.0,-0.0,0.0007806490175426006,0.00019560330838430673,1.9910961782443337e-05,-0.0,-0.0
2500,0.0003885272308252752,0.0002987316984217614,6.174850568640977e-05,5.609400659523089e-07,-0.0,-0.0,0.0002987316984217614,6.174850568640977e-05,2.804700307024177e-05,-0.0,-0.0
2600,0.000477401859825477,0.0003884208563249558,8.83301836438477e-05,1.3016496325235494e-08,-0.0,-0.0,0.0003884208563249558,8.83301836438477e-05,6.5082480205092e-07,-0.0,-0.0
