step,total_loss,presence_loss,type_loss,type_extra_loss,rotation_extra_loss,weighted_type_extra_loss,weighted_rotation_extra_loss,continuous_loss,center_loss,axis_loss,depth_loss,rotation_loss,other_loss,center_grid_loss,weighted_center_grid_loss,center_axis_relative_loss,weighted_center_axis_relative_loss,center_bin_loss,weighted_center_bin_loss,center_offset_loss,weighted_center_offset_loss,parametric_total_loss,raster_total_loss,raster_bce_loss,raster_dice_loss,raster_soft_iou,raster_soft_dice,raster_loss_active,val_mask_iou_at_step,val_loss_at_step,is_best_step
1,148.1736602783203,0.6733773946762085,0.6911794543266296,0.6911794543266296,1.0246526002883911,0.0,0.0,0.42443883419036865,nan,0.45587876439094543,0.4376441538333893,0.37979361414909363,nan,1434.2799072265625,143.42799377441406,-0.0,-0.0,2.9110398292541504,2.9110398292541504,0.04562240466475487,0.04562240466475487,148.1736602783203,-0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
100,3.3359694480895996,0.008567827753722668,0.6019880175590515,0.6019880175590515,0.8195933699607849,0.0,0.0,0.3672616183757782,nan,0.4092298746109009,0.3821537494659424,0.31040123105049133,nan,12.780293464660645,1.2780293226242065,-0.0,-0.0,0.8977388143539429,0.8977388143539429,0.18238399922847748,0.18238399922847748,3.3359694480895996,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
200,2.0313832759857178,0.00023379194317385554,0.5949646234512329,0.5949646234512329,0.6115906238555908,0.0,0.0,0.34316447377204895,nan,0.40282779932022095,0.36241599917411804,0.264249712228775,nan,6.9397053718566895,0.6939705610275269,-0.0,-0.0,0.35436779260635376,0.35436779260635376,0.04468213766813278,0.04468213766813278,2.0313832759857178,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
300,1.5026845932006836,3.639831265900284e-05,0.5544871687889099,0.5544871687889099,0.5704912543296814,0.0,0.0,0.3231627941131592,nan,0.39005061984062195,0.32670116424560547,0.2527365982532501,nan,3.5473291873931885,0.3547329306602478,-0.0,-0.0,0.23656247556209564,0.23656247556209564,0.0337027944624424,0.0337027944624424,1.5026845932006836,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
400,1.1738567352294922,1.202139537781477e-05,0.4772287905216217,0.4772287905216217,0.5427184104919434,0.0,0.0,0.3018544912338257,nan,0.3777993619441986,0.28779467940330505,0.23996946215629578,nan,1.5805584192276,0.15805584192276,-0.0,-0.0,0.2064860314130783,0.2064860314130783,0.030219558626413345,0.030219558626413345,1.1738567352294922,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
500,0.8131676316261292,3.6000690215587383e-06,0.26782703399658203,0.26782703399658203,0.4792466163635254,0.0,0.0,0.2669585347175598,nan,0.3406756818294525,0.2491649091243744,0.21103499829769135,nan,0.6993067264556885,0.06993067264556885,-0.0,-0.0,0.18019047379493713,0.18019047379493713,0.028257271274924278,0.028257271274924278,0.8131676316261292,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
600,0.5042776465415955,9.168845735985087e-07,0.06757616251707077,0.06757616251707077,0.35224345326423645,0.0,0.0,0.21402756869792938,nan,0.29514557123184204,0.18977247178554535,0.15716466307640076,nan,0.4371892809867859,0.04371893033385277,-0.0,-0.0,0.15399891138076782,0.15399891138076782,0.02495514787733555,0.02495514787733555,0.5042776465415955,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
700,0.37464356422424316,2.894923909479985e-07,0.018632840365171432,0.018632840365171432,0.2532820999622345,0.0,0.0,0.17649699747562408,nan,0.26262277364730835,0.15390920639038086,0.11295903474092484,nan,0.2670632302761078,0.02670632302761078,-0.0,-0.0,0.13145402073860168,0.13145402073860168,0.021353095769882202,0.021353095769882202,0.37464356422424316,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
800,0.3138577938079834,1.2278329108994512e-07,0.008811404928565025,0.008811404928565025,0.21649564802646637,0.0,0.0,0.1527319997549057,nan,0.23572072386741638,0.12631270289421082,0.0961625948548317,nan,0.2160433977842331,0.02160434052348137,-0.0,-0.0,0.11233047395944595,0.11233047395944595,0.01837943121790886,0.01837943121790886,0.3138577938079834,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
900,0.26928287744522095,5.932316327061926e-08,0.005202248692512512,0.005202248692512512,0.1888555884361267,0.0,0.0,0.13119666278362274,nan,0.2102711796760559,0.0980437844991684,0.08527500182390213,nan,0.19809533655643463,0.019809534773230553,-0.0,-0.0,0.09708799421787262,0.09708799421787262,0.015986382961273193,0.015986382961273193,0.26928287744522095,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
