sample_index,variant,intersection,union,false_positive_pixels,false_negative_pixels,symmetric_diff_pixels,pred_area,target_area,area_diff,iou,dice,signed_area,target_signed_area,geom_area_abs,target_geom_area_abs,centroid_error_norm,centroid_error_cells,bbox_xmin_error,bbox_ymin_error,bbox_xmax_error,bbox_ymax_error,max_edge_length_abs_error_norm,mean_edge_length_abs_error_norm
0,pred_polygon,189,191,2,0,2,191,189,2,0.9895287958115183,0.9947368421052631,-1.579032239157525e-05,-1.57629628136044e-05,1.579032239157525e-05,1.57629628136044e-05,5.277800919583137e-06,0.01312852992807236,-3.0510127544403076e-06,1.2472737580537796e-06,1.2634322047233582e-05,3.255030605942011e-06,1.4382858577322369e-05,7.632209798042692e-06
0,gt_polygon,189,189,0,0,0,189,189,0,1.0,1.0,-1.57629628136044e-05,-1.57629628136044e-05,1.57629628136044e-05,1.57629628136044e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,pred_center_gt_local_vertices,189,190,1,0,1,190,189,1,0.9947368421052631,0.9973614775725593,-1.5762962663563274e-05,-1.57629628136044e-05,1.5762962663563274e-05,1.57629628136044e-05,4.965323555847685e-06,0.012351242477455513,4.686292545130755e-06,1.6408911540644056e-06,4.68626303540276e-06,1.6408948913110288e-06,2.9887782873605495e-10,9.947888910191716e-11
0,gt_center_pred_local_vertices,189,190,1,0,1,190,189,1,0.9947368421052631,0.9973614775725593,-1.5790323416780915e-05,-1.57629628136044e-05,1.5790323416780915e-05,1.57629628136044e-05,3.708081260403957e-07,0.0009223852234044234,-7.738782296762281e-06,-3.9354202515523573e-07,7.948219987063965e-06,1.6141387267493146e-06,1.4383555592009656e-05,7.632766612288228e-06
0,pred_polygon_area_scaled_to_target,189,190,1,0,1,190,189,1,0.9947368421052631,0.9973614775725593,-1.5762962813604393e-05,-1.57629628136044e-05,1.5762962813604393e-05,1.57629628136044e-05,5.277800919583137e-06,0.01312852992807236,2.3614698349133656e-06,1.8140807460098607e-06,7.2222793774459615e-06,2.687003421356646e-06,3.584952063073396e-06,2.2328740714259846e-06
0,pred_polygon_centroid_aligned_to_target,189,190,1,0,1,190,189,1,0.9947368421052631,0.9973614775725593,-1.579032239157525e-05,-1.57629628136044e-05,1.579032239157525e-05,1.57629628136044e-05,0.0,0.0,-8.09691846370697e-06,-2.9998773243278265e-07,7.588416337966919e-06,1.7077691154554486e-06,1.4382858577322369e-05,7.632209798042692e-06
0,pred_polygon_edge_length_scaled_to_target,189,190,1,0,1,190,189,1,0.9947368421052631,0.9973614775725593,-1.576254953121699e-05,-1.57629628136044e-05,1.576254953121699e-05,1.57629628136044e-05,5.277800919583137e-06,0.01312852992807236,2.4432645398322905e-06,1.8226464660025393e-06,7.140491320695164e-06,2.6784192614666804e-06,3.4217715701150703e-06,2.1512780449787377e-06
0,pred_polygon_interpolate_gt_alpha_0.25,189,190,1,0,1,190,189,1,0.9947368421052631,0.9973614775725593,-1.578348005621115e-05,-1.57629628136044e-05,1.578348005621115e-05,1.57629628136044e-05,3.958350689687352e-06,0.00984639744605427,-2.2882595658302307e-06,9.354553185403347e-07,9.475741535425186e-06,2.441272954456508e-06,1.078709345551064e-05,5.724216929367781e-06
0,pred_polygon_interpolate_gt_alpha_0.50,189,190,1,0,1,190,189,1,0.9947368421052631,0.9973614775725593,-1.577663934809464e-05,-1.57629628136044e-05,1.577663934809464e-05,1.57629628136044e-05,2.6389004597915683e-06,0.00656426496403618,-1.5255063772201538e-06,6.236368790268898e-07,6.317161023616791e-06,1.6275153029710054e-06,7.1913619659174505e-06,3.81618430285403e-06
0,pred_polygon_interpolate_gt_alpha_0.75,189,189,0,0,0,189,189,0,1.0,1.0,-1.5769800267225725e-05,-1.57629628136044e-05,1.5769800267225725e-05,1.57629628136044e-05,1.3194502298957841e-06,0.00328213248201809,-7.627531886100769e-07,3.118184395134449e-07,3.1585805118083954e-06,8.137576514855027e-07,3.5956641376878873e-06,1.9081119744035545e-06
