split,group_name,group_value,sample_count,iou_mean,dice_mean,area_error_mean,center_error_px_mean,pred_area_mean,true_area_mean,pred_area_zero_mean,type_accuracy,center_mae_m,width_mae_m,length_mae_m,depth_mae_m,angle_mae_deg
train,overall,rect_rot,268,0.5801352441550967,0.7275191594232453,0.23072196408707582,2.9919503674543413,310.8134328358209,410.00373134328356,0.0,0.7686567164179104,0.0014117954912352018,0.00142080358702189,0.0007305909434694852,0.0003579715822837246,20.590289338084137
train,defect_type,rectangular_notch,134,0.5827244602058538,0.7278238832714575,0.32299563220824185,2.817759437248304,353.82835820895525,526.5298507462686,0.0,0.7761194029850746,0.0013547098332709808,0.0016876340343324997,0.0010825516621290304,0.00041142428370276047,nan
train,defect_type,rotated_rect,134,0.5775460281043394,0.7272144355750331,0.13844829596590982,3.166141297660379,267.7985074626866,293.4776119402985,0.0,0.7611940298507462,0.001468881149199423,0.0011539731397112803,0.00037863022480994017,0.0003045188808646887,20.590289338084137
train,source_pack,pilot_v2_rectangular_notch,81,0.6346592432426417,0.7721228662409907,0.24112078857980718,2.75202285877223,398.0740740740741,514.1481481481482,0.0,1.0,0.0013953312312404323,0.0016164948105996037,0.0010877680033445358,0.00041882269354652106,nan
train,source_pack,pilot_v3_rotated_rect,30,0.5551761176111906,0.7088046607316321,0.32562654415927594,3.3045838649542456,396.3666666666667,480.06666666666666,0.0,0.03333333333333333,0.001550089747598113,0.0023136593401432036,0.0008625063113868236,0.0005622834782116115,20.747816278268303
train,source_pack,pilot_v7_topup_rotated_rect,16,0.6232137905995822,0.7641418573742996,0.08347433431756793,2.6642905257768463,219.5,239.5,0.0,1.0,0.00117782722280335,0.0007101566297933459,0.0002128381165675819,0.0003161386339343153,21.237979124440002
train,source_pack,pilot_v8_topup_rotated_rect,24,0.5767625377665583,0.7281972379744465,0.0645399773752153,3.1030647749326383,236.16666666666666,239.5,0.0,1.0,0.00149971369407622,0.0008393826816851894,0.00024685560492798686,0.0002586900324483092,20.769268032281776
train,source_pack,pilot_v9_topup_rectangular_notch,53,0.5033524333005741,0.660121664016133,0.4481251102064156,2.918224774164568,286.20754716981133,545.4528301886793,0.0,0.4339622641509434,0.0012926280741101207,0.0017963562441884347,0.00107457951800722,0.00040011727997927736,nan
train,source_pack,pilot_v9_topup_rotated_rect,64,0.5769087919008602,0.7262436111832808,0.09216760200886531,3.250362733235166,231.46875,239.75,0.0,0.953125,0.001492015895970256,0.000839295782498084,0.00024267681874334812,0.00019797260574705433,20.287409127959734
train,area_bin,small,102,0.5725787249313984,0.7222140065814063,0.10884380382825522,3.2787280282922064,239.2941176470588,239.3921568627451,0.0,0.9215686274509803,0.0015470743149433024,0.0009866875742434286,0.0003347474278188219,0.0002463947315061209,21.05025546829908
train,area_bin,medium,78,0.6188176993256835,0.7585863070285631,0.2181464214750995,2.9795871181539173,340.5128205128205,410.85897435897436,0.0,0.8205128205128205,0.0014725007185704155,0.0016415792708404553,0.0008479409660093295,0.0003789903040832052,13.407463505109243
train,area_bin,large,88,0.5546072152631811,0.7061315239306634,0.3831363353385969,2.670507322454012,367.3863636363636,607.0,0.0,0.5454545454545454,0.0012011881304355094,0.0017282959729941053,0.001085394771176983,0.0004686690649991347,21.361110521338485
val,overall,rect_rot,66,0.5628289976296902,0.7128746592807926,0.23230534704510017,3.426675592516118,304.5,319.8181818181818,0.0,0.6666666666666666,0.0016797991053103757,0.002127551262012937,0.0007714745094717452,0.00039749098306691104,18.928704959933626
val,defect_type,rectangular_notch,33,0.5893654456532289,0.7361897007069478,0.29795965597463114,3.0433845151227326,328.8181818181818,342.6060606060606,0.0,0.6666666666666666,0.001467111931454893,0.0030367870278882256,0.0010629638916615284,0.00045819639468170476,nan
val,defect_type,rotated_rect,33,0.5362925496061514,0.6895596178546375,0.16665103811556914,3.809966669909503,280.1818181818182,297.030303030303,0.0,0.6666666666666666,0.001892486279165858,0.0012183154961376479,0.00047998512728196204,0.0003367855714521173,18.928704959933626
val,source_pack,pilot_v2_rectangular_notch,19,0.6008898586089638,0.7466682664783946,0.29976121642938836,2.8927667165674804,384.42105263157896,349.05263157894734,0.0,1.0,0.0013369584464372913,0.0033749896346738466,0.0012912321345586526,0.00041577025733299946,nan
val,source_pack,pilot_v3_rotated_rect,9,0.5622621985044856,0.7145000714355898,0.3672077922077922,3.6974051629696754,389.8888888888889,448.6666666666667,0.0,0.0,0.0016752825454094055,0.002040055063035753,0.0010755723859700891,0.0004501769370916817,17.889059256502147
val,source_pack,pilot_v7_topup_rotated_rect,8,0.5214125151826295,0.6817436070435332,0.07499600325815842,3.7255846685205074,224.75,240.0,0.0,1.0,0.0018119643184033114,0.0007869197288528085,0.00021480186842381954,0.00033328006975352764,20.15955411231709
val,source_pack,pilot_v8_topup_rotated_rect,8,0.638357423255083,0.7764193285995569,0.06658591798922964,2.8254026896633126,229.375,240.375,0.0,1.0,0.0011539383657252302,0.0007654840592294931,0.0002273055724799633,0.0002931407652795315,17.655549893642856
val,source_pack,pilot_v9_topup_rectangular_notch,14,0.5737251709275888,0.7219687900171271,0.29551468107174633,3.247794384590575,253.35714285714286,333.85714285714283,0.0,0.21428571428571427,0.0016437488039787811,0.0025777977758220266,0.0007531712763011456,0.000515774723940662,nan
val,source_pack,pilot_v9_topup_rotated_rect,8,0.41989185537011586,0.5824579076422509,0.13274484474556852,5.005544346851996,263.0,240.125,0.0,0.75,0.002955910353845041,0.0011780856875702739,0.00032781227491796017,0.00025637059297878295,20.14061229020135
val,area_bin,small,24,0.5111877042590897,0.6664985481068048,0.1915787677293126,3.9695047920369437,265.9583333333333,239.20833333333334,0.0,0.8333333333333334,0.002056486961237026,0.0015331275450686614,0.000611616182141006,0.0003355370378509785,20.119737856278416
val,area_bin,medium,21,0.5773725690011267,0.7281572542228565,0.2726086885810884,3.155996166183689,302.0952380952381,284.8095238095238,0.0,0.6666666666666666,0.001569869776532331,0.002775262730817,0.0006842491039562793,0.0003873441046813414,15.936303166469827
val,area_bin,large,21,0.6073040472532255,0.7505933342518576,0.2385466675842977,3.076978790824747,350.95238095238096,446.95238095238096,0.0,0.47619047619047616,0.0013592280273151053,0.002159181184002331,0.0010413951462223416,0.0004784423702706893,17.055252501222583
test,overall,rect_rot,66,0.5702269019808123,0.7206809971954216,0.23264032144671468,3.076403840389035,317.8181818181818,352.8787878787879,0.0,0.6060606060606061,0.0014875884073190474,0.0020301997464037304,0.0009107566297505841,0.0004085099666774499,19.115770463969742
test,defect_type,rectangular_notch,33,0.5575980862721412,0.7106576007166916,0.25423395751745886,3.0510456368381864,336.06060606060606,399.6060606060606,0.0,0.6666666666666666,0.0015284254995824235,0.002587119597151424,0.0013243991063173974,0.0004884591502504367,nan
test,defect_type,rotated_rect,33,0.5828557176894834,0.7307043936741517,0.21104668537597043,3.1017620439398836,299.57575757575756,306.1515151515151,0.0,0.5454545454545454,0.0014467513150556715,0.0014732798956560366,0.0004971141531837709,0.00032856078310446304,19.115770463969742
test,source_pack,pilot_v2_rectangular_notch,20,0.5935350582131323,0.7395559830614061,0.16383698849956183,3.074623270178027,390.35,383.25,0.0,0.95,0.00149949222100016,0.0029619634617120026,0.0013049049535766243,0.0004827533499337733,nan
test,source_pack,pilot_v3_rotated_rect,9,0.5740095557394191,0.7250841627895656,0.3279753385191629,3.531260289179903,404.0,484.6666666666667,0.0,0.0,0.0017187824038864576,0.002219516576992141,0.000932735184000598,0.0004880261452247699,19.89305088148392
test,source_pack,pilot_v7_topup_rotated_rect,8,0.6737036782419616,0.8024865554337814,0.0940886396399564,2.457379025854143,216.625,239.125,0.0,1.0,0.0008403402961928522,0.0007485662354156375,0.00020004331599920988,0.000336233017151244,18.88140647420189
test,source_pack,pilot_v8_topup_rotated_rect,8,0.5001312563943239,0.6637750628805313,0.1360685461423063,4.284948685447745,265.0,239.375,0.0,0.75,0.0020888349354714914,0.001164735178463161,0.00032522843685001135,0.00024886400206014514,18.868140994594643
test,source_pack,pilot_v9_topup_rectangular_notch,13,0.5023104371321551,0.666198550955592,0.39330621754499273,3.0147723547768925,252.53846153846155,424.7692307692308,0.0,0.23076923076923078,0.001572938235862829,0.0020104367285966873,0.001354390110533971,0.000497237304583765,nan
test,source_pack,pilot_v9_topup_rotated_rect,8,0.5846841506259872,0.7321743224533017,0.2714381355595572,2.079772894622741,299.625,239.125,0.0,0.5,0.0011050437385680362,0.001667022006586194,0.0004759970470331609,0.00022118679771665484,18.72332345340925
test,area_bin,small,25,0.5779046787124987,0.725505973537546,0.18351050282938236,3.0771055469116697,265.12,239.24,0.0,0.72,0.0014474536672560738,0.001310136318206787,0.00040127115324139595,0.0002807164005935192,19.218927537435853
test,area_bin,medium,19,0.5750133638138728,0.7249668956007816,0.23377288427395618,3.108430814646301,345.8421052631579,339.42105263157896,0.0,0.6842105263157895,0.0015381575713436524,0.002995231335884646,0.0011638765664477098,0.0004386785195062035,19.23990123637543
test,area_bin,large,22,0.5573683932026166,0.7114966118201966,0.28749153834288366,3.047946787027493,353.5,493.6363636363636,0.0,0.4090909090909091,0.0014895226975511775,0.0020150172693485565,0.001271113816818053,0.0005276752688752657,18.729619376961406
