candidate,seed,split,group_type,group,threshold,n,iou,dice,area_error,center_error,pred_area_zero,pred_area_lt_true,pred_area_gt_true,composite,macro_area_composite,vertex_mae,vertex_rmse,invalid_count,out_of_image_count
oracle_quad_supervised_screening,42,val,overall,all,0.5,129,0.35953759426949,0.5131770764192027,0.9216375186493307,1.1034198350222535,0,2,127,-0.04892284796063795,-0.048922847960638206,0.18185984766356242,0.2581149452012177,0,0
oracle_quad_supervised_screening,42,val,area_bin,small,0.5,43,0.2430512649045709,0.3740548881164607,1.5616512371606563,1.231673746954563,0,0,43,-0.9445450841396248,-0.048922847960638206,0.18485675804143728,0.2629121439748032,0,0
oracle_quad_supervised_screening,42,val,area_bin,medium,0.5,43,0.3777701502087973,0.5438604505519476,0.8492611215241619,1.0425644967445107,0,0,43,0.07236947923658299,-0.048922847960638206,0.1866337812917177,0.26611135570808897,0,0
oracle_quad_supervised_screening,42,val,area_bin,large,0.5,43,0.45779136769510165,0.6216158905891996,0.35400019726317405,1.036021261367687,0,2,41,0.7254070610211272,-0.048922847960638206,0.1740890036575323,0.2453213359207608,0,0
oracle_quad_supervised_screening,42,val,signal_bin,low_signal,0.5,43,0.2788897257403701,0.4162606168624543,1.3163244688910123,1.1443880723659383,0,1,42,-0.6211741262881879,-0.048922847960638206,0.17114215812017752,0.23708149392244426,0,0
oracle_quad_supervised_screening,42,val,signal_bin,non_low_signal,0.5,86,0.39986152853404994,0.561635306197577,0.72429404352849,1.0829357163504112,0,1,85,0.2372027912031368,-0.048922847960638206,0.18721869243525488,0.26863167084060435,0,0
oracle_quad_supervised_screening,42,val,defect_type,polygon,0.5,72,0.30355393546042575,0.4478344464784937,1.17586133883224,1.1373927402827475,0,1,71,-0.42447295689332065,-0.048922847960638206,0.19633622964223227,0.2773524991547068,0,0
oracle_quad_supervised_screening,42,val,defect_type,rotated_rect,0.5,57,0.43025379487041315,0.5957151352916772,0.6005126931551297,1.0605066915353139,0,1,56,0.42545623700696056,-0.048922847960638206,0.16357389147997947,0.23381487704944193,0,0
oracle_quad_supervised_screening,42,val,overall,all,0.6,129,0.3603413033219187,0.5134931491426385,0.8496933221381138,1.1036965174730433,0,2,127,0.024141130326443494,0.02414113032644342,0.18185984766356242,0.2581149452012177,0,0
oracle_quad_supervised_screening,42,val,area_bin,small,0.6,43,0.24259328552527898,0.3727235412314322,1.4479403467292118,1.2343887596629386,0,0,43,-0.8326235199725006,0.02414113032644342,0.18485675804143728,0.2629121439748032,0,0
oracle_quad_supervised_screening,42,val,area_bin,medium,0.6,43,0.38043966466899715,0.5462933222267101,0.7886050774268984,1.0414903950552608,0,0,43,0.13812790946880882,0.02414113032644342,0.1866337812917177,0.26611135570808897,0,0
