observation_config,sample_count,feature_dim,shape_nn_consistency,burial_depth_bin_nn_consistency,size_bin_nn_consistency,aspect_bin_nn_consistency,cuboid_ellipsoid_cross_nn_rate,elongated_x_y_cross_nn_rate,ambiguous_neighbor_rate,mean_nn_center_distance_mm,median_nn_center_distance_mm,mean_nn_burial_distance_mm,median_nn_burial_distance_mm,mean_nn_feature_distance
mag_x_5line_only,30,29,0.7,0.5333333333333333,0.26666666666666666,0.5666666666666667,0.391304347826087,0.5,0.9,6.194127559661865,5.002998352050781,0.8466665744781494,0.0,0.48742514848709106
dual_mag_xy_5line,30,58,0.7,0.5333333333333333,0.3333333333333333,0.5,0.391304347826087,0.3333333333333333,0.8666666666666667,8.59256362915039,8.814413070678711,0.873333215713501,0.0,0.5641140341758728
mag_x_9line_only,30,29,0.6,0.7,0.3,0.6666666666666666,0.5217391304347826,0.3333333333333333,0.8666666666666667,6.417502403259277,6.001666069030762,0.47999995946884155,0.0,0.46955442428588867
dual_mag_xy_9line,30,58,0.7666666666666667,0.5333333333333333,0.3,0.5666666666666667,0.30434782608695654,0.25,0.9,8.600714683532715,6.708949089050293,0.7533332705497742,0.0,0.5182343125343323
