candidate,split,rows,base_samples,oracle_pair_count,surrogate_pair_count,oracle_ordering_accuracy,surrogate_ordering_accuracy,mismatch_rate,oracle_residual_error_correlation,surrogate_residual_error_correlation,oracle_residual_error_spearman,surrogate_residual_error_spearman,surrogate_vs_oracle_residual_correlation,mean_oracle_residual,mean_surrogate_residual,mean_quality_iou,mean_quality_dice,mean_quality_area_error,rows_by_variant,rows_by_source_defect_type
COMSOL_oracle,train,192,24,671,0,0.44709388971684055,nan,nan,-0.08349028878926049,nan,-0.1511919847429358,nan,nan,0.464013473256923,nan,0.6448176136420394,0.777890795718137,0.1640097668601097,"{""centerline_offset_small"": 24, ""half_width_expand_local"": 24, ""half_width_shrink_local"": 24, ""mixed_profile_perturbation"": 24, ""profile_extracted_reference"": 24, ""roughness_noise"": 24, ""smooth_global_width_scale"": 24, ""true_reference"": 24}","{""rectangular_notch"": 96, ""rotated_rect"": 96}"
COMSOL_oracle,val,48,6,166,0,0.5120481927710844,nan,nan,-0.1511011178268771,nan,-0.4688274411124675,nan,nan,0.3776085244602399,nan,0.6640336588045876,0.7947731831938998,0.1736076405353056,"{""centerline_offset_small"": 6, ""half_width_expand_local"": 6, ""half_width_shrink_local"": 6, ""mixed_profile_perturbation"": 6, ""profile_extracted_reference"": 6, ""roughness_noise"": 6, ""smooth_global_width_scale"": 6, ""true_reference"": 6}","{""rectangular_notch"": 24, ""rotated_rect"": 24}"
COMSOL_oracle,test,48,6,167,0,0.5029940119760479,nan,nan,0.40120074214453644,nan,0.41046415421232074,nan,nan,0.49057644013606677,nan,0.6607114433850659,0.7905932954971906,0.21258307566456391,"{""centerline_offset_small"": 6, ""half_width_expand_local"": 6, ""half_width_shrink_local"": 6, ""mixed_profile_perturbation"": 6, ""profile_extracted_reference"": 6, ""roughness_noise"": 6, ""smooth_global_width_scale"": 6, ""true_reference"": 6}","{""rectangular_notch"": 24, ""rotated_rect"": 24}"
EPPF1_profile_station_mlp,train,192,24,671,671,0.44709388971684055,0.5290611028315947,0.4709388971684053,-0.08349028878926049,0.0313047338765136,-0.1511919847429358,-0.09211245218279587,0.6933858308191614,0.464013473256923,0.4536210907375562,0.6448176136420394,0.777890795718137,0.1640097668601097,"{""centerline_offset_small"": 24, ""half_width_expand_local"": 24, ""half_width_shrink_local"": 24, ""mixed_profile_perturbation"": 24, ""profile_extracted_reference"": 24, ""roughness_noise"": 24, ""smooth_global_width_scale"": 24, ""true_reference"": 24}","{""rectangular_notch"": 96, ""rotated_rect"": 96}"
EPPF1_profile_station_mlp,val,48,6,166,166,0.5120481927710844,0.536144578313253,0.463855421686747,-0.1511011178268771,-0.3944706568291532,-0.4688274411124675,-0.5751506277810119,0.5344915726026741,0.3776085244602399,0.3395224622672597,0.6640336588045876,0.7947731831938998,0.1736076405353056,"{""centerline_offset_small"": 6, ""half_width_expand_local"": 6, ""half_width_shrink_local"": 6, ""mixed_profile_perturbation"": 6, ""profile_extracted_reference"": 6, ""roughness_noise"": 6, ""smooth_global_width_scale"": 6, ""true_reference"": 6}","{""rectangular_notch"": 24, ""rotated_rect"": 24}"
EPPF1_profile_station_mlp,test,48,6,167,167,0.5029940119760479,0.5568862275449101,0.44311377245508987,0.40120074214453644,0.23358053384738844,0.41046415421232074,0.4168046246819519,0.23106687827980757,0.49057644013606677,0.4973897424095884,0.6607114433850659,0.7905932954971906,0.21258307566456391,"{""centerline_offset_small"": 6, ""half_width_expand_local"": 6, ""half_width_shrink_local"": 6, ""mixed_profile_perturbation"": 6, ""profile_extracted_reference"": 6, ""roughness_noise"": 6, ""smooth_global_width_scale"": 6, ""true_reference"": 6}","{""rectangular_notch"": 24, ""rotated_rect"": 24}"
EPPF2_profile_raster_sequence,train,192,24,671,671,0.44709388971684055,0.5275707898658718,0.4724292101341282,-0.08349028878926049,0.05930615601393339,-0.1511919847429358,-0.06035287011651146,0.6590108649899571,0.464013473256923,0.45505992737521184,0.6448176136420394,0.777890795718137,0.1640097668601097,"{""centerline_offset_small"": 24, ""half_width_expand_local"": 24, ""half_width_shrink_local"": 24, ""mixed_profile_perturbation"": 24, ""profile_extracted_reference"": 24, ""roughness_noise"": 24, ""smooth_global_width_scale"": 24, ""true_reference"": 24}","{""rectangular_notch"": 96, ""rotated_rect"": 96}"
EPPF2_profile_raster_sequence,val,48,6,166,166,0.5120481927710844,0.46987951807228917,0.5301204819277108,-0.1511011178268771,-0.40060321412036815,-0.4688274411124675,-0.5737936283760925,0.5181105412065565,0.3776085244602399,0.3429801366712654,0.6640336588045876,0.7947731831938998,0.1736076405353056,"{""centerline_offset_small"": 6, ""half_width_expand_local"": 6, ""half_width_shrink_local"": 6, ""mixed_profile_perturbation"": 6, ""profile_extracted_reference"": 6, ""roughness_noise"": 6, ""smooth_global_width_scale"": 6, ""true_reference"": 6}","{""rectangular_notch"": 24, ""rotated_rect"": 24}"
EPPF2_profile_raster_sequence,test,48,6,167,167,0.5029940119760479,0.46706586826347307,0.5329341317365269,0.40120074214453644,0.2200263004014205,0.41046415421232074,0.2127717318339955,0.2741097255637805,0.49057644013606677,0.498777754971582,0.6607114433850659,0.7905932954971906,0.21258307566456391,"{""centerline_offset_small"": 6, ""half_width_expand_local"": 6, ""half_width_shrink_local"": 6, ""mixed_profile_perturbation"": 6, ""profile_extracted_reference"": 6, ""roughness_noise"": 6, ""smooth_global_width_scale"": 6, ""true_reference"": 6}","{""rectangular_notch"": 24, ""rotated_rect"": 24}"
