model,split,sample_count,normalized_param_mae_mean_mean,dimension_param_mae_norm_mean,curvature_param_mae_norm_mean,L_mae_mm_mean,W_mae_mm_mean,D_mae_mm_mean,wLD_abs_error_mean,wWD_abs_error_mean,wLW_abs_error_mean,curvature_mae_mean_mean,projected_mask_iou_mean,projected_mask_dice_mean,projected_mask_area_error_mean,profile_depth_rmse_m_mean,volume_proxy_rel_error_mean,clip_applied_mean,selection_metric,selected_by_val
mean_train_target,train,76,0.8872435900725817,0.8538176628123773,0.9206694984122327,5.476304528744597,3.7938907299386826,1.3189205659651442,0.21745295822620392,0.199019434420686,0.20455747215371384,0.2070099548681786,0.5657355473674708,0.7036456659589979,0.7977964172038364,0.0006098725893695557,1.8459743403902653,0.0,0.8872435900725817,False
mean_train_target,val,18,0.8347781598567963,0.8347688474588923,0.8347874714268578,5.14799455470509,3.310337429245313,1.4749703192048602,0.20410816537009346,0.17994154161877102,0.1798011130756802,0.1879502741826905,0.5912629495279159,0.716882615730091,0.8210230668379052,0.0007160685365508673,1.8177590168320081,0.0,0.8347781598567963,False
mean_train_target,test,18,0.8803059591187371,0.9130267401536306,0.847585141658783,5.884612997372945,3.942250632577472,1.442289748125606,0.2060029539797041,0.18577197856373256,0.18067977494663662,0.19081823610597187,0.5375491788754506,0.6872347642509892,0.7903888594212967,0.0006968767035383886,1.8920354472706866,0.0,0.8803059591187371,False
ridge_alpha_100,train,76,0.4467151042466101,0.31950782964888375,0.5739223766385725,1.4773613283116567,1.5131433454195136,0.6014937591788015,0.13988218182011655,0.1263451646817358,0.12145769831381346,0.1292283478389053,0.8093489139135208,0.8900023946391518,0.2295970904499231,0.00028437010860216105,0.43595863374496563,0.05263157894736842,0.4467151042466101,False
ridge_alpha_100,val,18,0.756057717733913,0.5177347597976526,0.9943806611829333,2.728690981037087,1.721879278620084,1.1403206826912031,0.2563556995656755,0.22633997599283853,0.19079148107104832,0.22449571722083622,0.7395646288579429,0.8401736596174324,0.363231056325728,0.0005836382871267335,0.897978790570868,0.05555555555555555,0.756057717733913,False
ridge_alpha_100,test,18,0.673229671186871,0.5078697428107262,0.838589614464177,2.4411693803138204,2.6128298847211733,0.8630832557876905,0.22810145219167074,0.17795406778653464,0.16282791230413649,0.18962781151963604,0.7198184064247579,0.827102631855894,0.3987102212433127,0.0004116264772164868,0.6324763062025048,0.2777777777777778,0.673229671186871,False
svr_rbf_C10,train,76,0.029659467626755174,0.0295492811373582,0.029769653920084238,0.18343817148553698,0.13496310763845318,0.04589074070712453,0.007142968083682813,0.006530462126982839,0.006422786336196096,0.006698738857123412,0.9760501380581968,0.9878296372683367,0.023300647195039666,2.033870217880911e-05,0.03162749025193843,0.0,0.029659467626755174,True
svr_rbf_C10,val,18,0.703319306174914,0.49427100519339245,0.9123676121234894,2.5172138437628746,1.8733468825618427,1.0323120878181524,0.2522304488552941,0.19316795799467298,0.17397018604808384,0.20645619970228937,0.7364587981574535,0.8411326031536502,0.33034973759583836,0.0005329479354259092,0.686345458371909,0.0,0.703319306174914,True
svr_rbf_C10,test,18,0.7676585896147622,0.6361858314938016,0.8991313808494144,3.3017116685708365,3.370316250456704,0.9886660561896861,0.23046726650661892,0.20343992445203993,0.17488253116607666,0.20292990861667526,0.6416513832033265,0.7717151121041651,0.5210235025775385,0.00047099058368379093,0.9680021221093319,0.0,0.7676585896147622,True
