split,group_name,group_value,sample_count,initial_iou_mean,refined_iou_mean,delta_iou_mean,initial_dice_mean,refined_dice_mean,delta_dice_mean,initial_area_error_mean,refined_area_error_mean,delta_area_error_mean,initial_forward_nrmse_mean,refined_forward_nrmse_mean,forward_nrmse_reduction_mean,initial_angle_mae_deg,refined_angle_mae_deg,angle_error_delta_mean,parameter_drift_norm_mean
train,overall,rect_rot,268,0.6961936279459551,0.6915545454172062,-0.004639082528748979,0.8181925265895916,0.8146624495069213,-0.003530077082670221,0.14162255137949212,0.13364364469769222,-0.007978906681799873,0.47489186550236545,0.4161042620826329,0.058787603419732534,20.069571078751686,20.15534366986323,0.08577259111153746,0.41337588749026866
train,defect_type,rectangular_notch,134,0.711245169605268,0.7033561649091397,-0.007889004696128318,0.827823697553445,0.8220474253507597,-0.005776272202685108,0.19664514090404764,0.2044060829777021,0.007760942073654399,0.5110552357099862,0.4616432889148617,0.04941194679512459,nan,nan,nan,0.4442937418074862
train,defect_type,rotated_rect,134,0.6811420862866422,0.6797529259252725,-0.0013891603613696419,0.8085613556257382,0.807277473663083,-0.0012838819626553343,0.08659996185493653,0.06288120641768238,-0.023718755437254144,0.43872849529474456,0.3705652352504041,0.06816326004434048,20.069571078751686,20.15534366986323,0.08577259111153746,0.38245803317305116
train,source_pack,pilot_v2_rectangular_notch,81,0.7322001425838918,0.7375826412224178,0.005382498638526007,0.8429041282471194,0.8469810790587344,0.004076950811615284,0.17168066575365118,0.15188097767445566,-0.019799688079195504,0.385966787420063,0.36159803119077955,0.024368756229283462,nan,nan,nan,0.43209127308029655
train,source_pack,pilot_v3_rotated_rect,30,0.6556335449405227,0.6688353460328618,0.013201801092339104,0.7901545216236754,0.7995328461474488,0.009378324523773495,0.15369853827104984,0.11813385916103267,-0.035564679110017185,0.415765593021218,0.3882921574130816,0.02747343560813644,20.178224577510022,20.571424707045864,0.39320012953583755,0.4304459959170802
train,source_pack,pilot_v7_topup_rotated_rect,16,0.7030613815473001,0.7088864328874162,0.005825051340116093,0.8241051557838011,0.8279428562906971,0.0038377005068960246,0.05845687298077432,0.03577670674222764,-0.022680166238546684,0.3917806771733254,0.31513287035594134,0.076647806817384,20.111943426503032,20.41852923727023,0.3065858107671966,0.39436674920830495
train,source_pack,pilot_v8_topup_rotated_rect,24,0.7032493489004686,0.6998695704362241,-0.003379778464244689,0.8244436554743699,0.8222718415555769,-0.002171813918793078,0.06769736749241068,0.03946313304451811,-0.028234234447892567,0.3123102451400194,0.2792451164105761,0.03306512872944333,19.940177377118175,19.41921284147795,-0.5209645356402266,0.3130201875233846
train,source_pack,pilot_v9_topup_rectangular_notch,53,0.6792196448643523,0.6510477765812994,-0.02817186828305285,0.8047762468706594,0.7839412753442323,-0.02083497152642721,0.23479839537918193,0.2846803005166258,0.04988190513744387,0.7022281472474162,0.6145426450592136,0.08768550218820256,nan,nan,nan,0.4629427977867759
train,source_pack,pilot_v9_topup_rotated_rect,64,0.6793291677472865,0.6700434230676975,-0.009285744679588908,0.8073477465814527,0.8001185341944477,-0.007229212387005034,0.06927174926437113,0.052539427878037205,-0.016732321386333918,0.5086361540738369,0.4103588762752002,0.09827727779863663,20.05656930238345,20.170558352476593,0.11398905009314353,0.3830256887465991
val,overall,rect_rot,66,0.6774553461882845,0.6752848532994576,-0.002170492888826696,0.805482977173386,0.8036022386062949,-0.0018807385670913063,0.15169980540634018,0.13872133032953504,-0.012978475076805154,0.4653650291062371,0.4086793639408314,0.056685665165405776,19.5283409088842,20.857504129924383,1.3291632210401834,0.3997323681854168
