variant,seed,feature_set,selected_by_validation,split,group_field,group_value,sample_count,normalized_param_mae,L_mae_mm,W_mae_mm,D_mae_mm,curvature_mae,wLD_abs_error,wWD_abs_error,wLW_abs_error,projected_mask_iou,projected_mask_dice,profile_depth_rmse_m
H3_curv_fusion_F0F1F2_w1p0,2026,FS_basic_physical,True,train,curvature_template,LD_dominant,31,0.22284223812241707,0.8121830970048904,0.7703305360290312,0.33717266350023206,0.06027901539158437,0.09787749090502339,0.039738828136074926,0.043220727674422726,0.8901770057185016,0.9403905503765133,0.00017525371884168577
H3_curv_fusion_F0F1F2_w1p0,2026,FS_basic_physical,True,train,curvature_template,WD_dominant,34,0.2143739006098579,0.737307261894731,0.5707629238638807,0.2953565204516053,0.0626444299979245,0.06000732499010423,0.09350081401712754,0.03442515169872957,0.9161624253878242,0.9550414728819274,0.00014722529072862337
H3_curv_fusion_F0F1F2_w1p0,2026,FS_basic_physical,True,train,curvature_template,boxy,32,0.30723962746560574,1.2103704831097275,0.8767300253966823,0.344971027050633,0.08891406032489613,0.06698851473629475,0.10233502648770809,0.09741863794624805,0.866028522134315,0.9251593605089555,0.00019433155080150755
H3_curv_fusion_F0F1F2_w1p0,2026,FS_basic_physical,True,train,curvature_template,round,33,0.251846624933409,0.8180180589358012,0.7003747285767035,0.29431685534390534,0.07533093464250366,0.0794573173378453,0.07664625572435783,0.06988923116163774,0.8815303664722394,0.9336908509920756,0.0001797694852333128
H3_curv_fusion_F0F1F2_w1p0,2026,FS_basic_physical,True,train,curvature_template,sharp,32,0.21548717084806412,0.7950260490179062,0.7656823962461203,0.35178986424580216,0.055502258117485326,0.052649425342679024,0.05446210317313671,0.05939524620771408,0.8882465630513043,0.9384676328351106,0.00015837465844015242
H3_curv_fusion_F0F1F2_w1p0,2026,FS_basic_physical,True,train,depth_bin,deep,49,0.28793968313506674,1.043794367082265,0.8231677534628887,0.3866440697135974,0.08214596054535739,0.081458182967439,0.09237515926361084,0.07260453944303552,0.8884544061182287,0.9387129330347699,0.0002436516903001074
H3_curv_fusion_F0F1F2_w1p0,2026,FS_basic_physical,True,train,depth_bin,medium,57,0.24257432211909377,0.8844092740562924,0.6351220098634561,0.2969453347225984,0.07151864511532742,0.07913141292438172,0.07091800790084035,0.06450651507628591,0.8960712994472108,0.9438431764488052,0.0001454696952382699
H3_curv_fusion_F0F1F2_w1p0,2026,FS_basic_physical,True,train,depth_bin,shallow,56,0.20177209530291812,0.7117170585053307,0.7574745550352547,0.29699706279539634,0.05364443378805715,0.053982416433947425,0.06051886933190482,0.04643201508692333,0.8814640087803405,0.9334890041628651,0.00013262163257162944
H3_curv_fusion_F0F1F2_w1p0,2026,FS_basic_physical,True,train,aspect_bin,balanced,44,0.22277045156806707,1.0346689400347797,0.6171712789007209,0.3391462569548325,0.05919156985526735,0.05522302334958857,0.06866550310091539,0.053686183961954986,0.8954231988850796,0.942837557892357,0.000174614289996746
H3_curv_fusion_F0F1F2_w1p0,2026,FS_basic_physical,True,train,aspect_bin,compact,43,0.21680642291903496,0.9491565943110821,0.6589458434907502,0.24928248829619828,0.06148903681571747,0.061158891334090124,0.07459679038025611,0.04871142880861149,0.8575332051879387,0.9199867205745627,0.00012599172860486865
H3_curv_fusion_F0F1F2_w1p0,2026,FS_basic_physical,True,train,aspect_bin,narrow,33,0.20462560868172935,0.641704057653745,0.7789994224228642,0.28855406176863296,0.055737888757986104,0.0592922026460821,0.05745239149440418,0.05046907157608957,0.8897461684286552,0.9389009966790083,0.00015831920443981124
H3_curv_fusion_F0F1F2_w1p0,2026,FS_basic_physical,True,train,aspect_bin,wide,42,0.31804278643713113,0.8070954063108989,0.8990133590996265,0.4128431588233936,0.0956665510644338,0.10734925667444865,0.0912593546367827,0.08839104147184462,0.9128129125669718,0.9534134425483071,0.00022219785811709394
H3_curv_fusion_F0F1F2_w1p0,2026,FS_basic_physical,True,val,curvature_template,LD_dominant,7,0.5599387096507209,1.7434107235499792,2.102518832044942,0.9286818227597645,0.14900971257260867,0.22324259792055404,0.1431857602936881,0.08060077258518764,0.751129306899064,0.8511841031070698,0.00047278752858151814
H3_curv_fusion_F0F1F2_w1p0,2026,FS_basic_physical,True,val,curvature_template,WD_dominant,8,0.5643910877406597,2.5957104563713074,2.4104021191596985,1.4626900553703308,0.1095051090233028,0.10742388665676117,0.17674437165260315,0.044347070157527924,0.7052202515856224,0.8219022282485935,0.0006951922023290535
H3_curv_fusion_F0F1F2_w1p0,2026,FS_basic_physical,True,val,curvature_template,boxy,8,0.8369446322321892,3.1243856251239777,1.8956375047564507,1.6691841818392277,0.21869158931076527,0.21546607464551926,0.219711035490036,0.22089766710996628,0.7446144044779069,0.8423830612482139,0.000820093926449772
H3_curv_fusion_F0F1F2_w1p0,2026,FS_basic_physical,True,val,curvature_template,round,8,0.6770309414714575,2.026202403008938,2.6765075773000717,0.6902796346694231,0.1966984812170267,0.22073742747306824,0.18966301530599594,0.1796950027346611,0.7336065896109003,0.8297857907940231,0.0003836282976408256
H3_curv_fusion_F0F1F2_w1p0,2026,FS_basic_physical,True,val,curvature_template,sharp,8,0.993527252227068,2.1863891631364822,2.4078421369194984,1.3085702247917652,0.30713368696160614,0.31606511771678925,0.29256854951381683,0.3127673864364624,0.6799267027890268,0.7983196646980926,0.0005753244495281251
H3_curv_fusion_F0F1F2_w1p0,2026,FS_basic_physical,True,val,depth_bin,deep,15,0.732328403989474,2.759855691591899,2.555642867088318,1.5182021856307983,0.17447650941709678,0.18945764303207396,0.1738580266634623,0.1601138671239217,0.7331459374317923,0.8370556263093827,0.0007343989602910975
H3_curv_fusion_F0F1F2_w1p0,2026,FS_basic_physical,True,val,depth_bin,medium,11,0.6421312540769577,1.9233501987023787,1.8804195496169003,0.5929061093113639,0.2004245174202052,0.22709730538454923,0.19603382457386365,0.1781424175609242,0.7479889135475951,0.8515938680634938,0.0003193255582697351
H3_curv_fusion_F0F1F2_w1p0,2026,FS_basic_physical,True,val,depth_bin,shallow,13,0.8035655709413382,2.23928374510545,2.3708837290222826,1.4039665804459498,0.22134473747931993,0.2384848640515254,0.251350279037769,0.17419906304432795,0.6876755096538977,0.7980036721785927,0.0006596044740245605
H3_curv_fusion_F0F1F2_w1p0,2026,FS_basic_physical,True,val,aspect_bin,balanced,11,0.7126853235743262,2.1788900548761543,2.598523670976812,0.8656214015050367,0.20319397307255052,0.21622538566589355,0.20495610345493664,0.18840042569420554,0.7427199059169325,0.8437609906407545,0.00039050903499380433
