split,group_name,group_value,sample_count,initial_forward_mse_mean,refined_forward_mse_mean,forward_mse_delta_mean,initial_forward_nrmse_mean,refined_forward_nrmse_mean,forward_nrmse_reduction_mean,initial_forward_correlation_mean,refined_forward_correlation_mean,forward_correlation_delta_mean
train,overall,rect_rot,268,0.19255147089681296,0.15788481923848835,-0.03466665165832461,0.47489186550236545,0.4161042620826329,0.058787603419732534,0.9378644123192741,0.9426776368796557,0.004813224560381449
train,defect_type,rectangular_notch,134,0.25100168082585084,0.21159297302921318,-0.039408707796637694,0.5110552357099862,0.4616432889148617,0.04941194679512459,0.9328876613192173,0.9363754048526147,0.003487743533397283
train,defect_type,rotated_rect,134,0.13410126096777505,0.10417666544776354,-0.029924595520011525,0.43872849529474456,0.3705652352504041,0.06816326004434048,0.9428411633193307,0.9489798689066964,0.006138705587365615
train,source_pack,pilot_v2_rectangular_notch,81,0.27879045590942286,0.24421681298149955,-0.03457364292792332,0.385966787420063,0.36159803119077955,0.024368756229283462,0.9493850932051008,0.9518868705354298,0.002501777330328891
train,source_pack,pilot_v3_rotated_rect,30,0.32470496197541554,0.28150152961413066,-0.04320343236128489,0.415765593021218,0.3882921574130816,0.02747343560813644,0.9428542714396653,0.9454466780123764,0.0025924065727112146
train,source_pack,pilot_v7_topup_rotated_rect,16,0.0751399090513587,0.048785528633743525,-0.026354380417615175,0.3917806771733254,0.31513287035594134,0.076647806817384,0.9476013819004664,0.9557839206727305,0.008182538772264214
train,source_pack,pilot_v8_topup_rotated_rect,24,0.046491863283639155,0.03713451597529153,-0.009357347308347622,0.3123102451400194,0.2792451164105761,0.03306512872944333,0.9589305480175709,0.9642896033336351,0.005359055316064121
train,source_pack,pilot_v9_topup_rectangular_notch,53,0.20853204343397663,0.16173389687571885,-0.04679814655825777,0.7022281472474162,0.6145426450592136,0.08768550218820256,0.9076746050407921,0.9126692025826525,0.004994597541860298
train,source_pack,pilot_v9_topup_rotated_rect,64,0.09234963823109865,0.06004422562546097,-0.032305412605637684,0.5086361540738369,0.4103588762752002,0.09827727779863663,0.9356114449808,0.9431938887867982,0.007582443805998276
val,overall,rect_rot,66,0.19689619100906633,0.1617746859732451,-0.03512150503582123,0.4653650291062371,0.4086793639408314,0.056685665165405776,0.9323755880336617,0.9383852125834173,0.006009624549755601
val,defect_type,rectangular_notch,33,0.25684154214281024,0.21372922882437706,-0.04311231331843318,0.5371059347833239,0.4769280198269502,0.060177914956373715,0.9203836788370758,0.9262849193325337,0.005901240495457812
val,defect_type,rotated_rect,33,0.1369508398753224,0.1098201431221131,-0.027130696753209286,0.3936241234291504,0.3404307080547125,0.05319341537443786,0.9443674972302473,0.9504855058343006,0.006118008604053389
val,source_pack,pilot_v2_rectangular_notch,19,0.34521884824100296,0.29830936460118546,-0.046909483639817486,0.45590477005086044,0.42437251534723375,0.0315322547036267,0.9201218914399132,0.9255744106360608,0.005452519196147538
val,source_pack,pilot_v3_rotated_rect,9,0.31642809013525647,0.27282298107941944,-0.043605109055837,0.42467195837560445,0.39564804412756616,0.02902391424803832,0.9367331401054878,0.9397776107551769,0.0030444706496889472
val,source_pack,pilot_v7_topup_rotated_rect,8,0.0796747193671763,0.05079310340806842,-0.028881615959107876,0.407140490894038,0.3239987719148051,0.08314171897923288,0.9494472410963648,0.9563663146119306,0.0069190735155657546
val,source_pack,pilot_v8_topup_rotated_rect,8,0.0622198018245399,0.04347622976638377,-0.018743572058156133,0.37104012638827766,0.3119548234262189,0.05908530296205875,0.9504209211961671,0.956802975747687,0.0063820545515198834
val,source_pack,pilot_v9_topup_rectangular_notch,14,0.13690091243812016,0.09894190169870853,-0.037959010739411624,0.6473075154916671,0.5482533473351369,0.09905416815653036,0.920738961733225,0.9272491811348897,0.006510219401664614
val,source_pack,pilot_v9_topup_rotated_rect,8,0.0670460918918252,0.05181290348991752,-0.015233188401907682,0.3677629386903746,0.3232190257411532,0.04454391294922141,0.9418229811635643,0.9503336091072989,0.008510627943734528
test,overall,rect_rot,66,0.21689119602017332,0.1798905564867186,-0.03700063953345472,0.4632480058289897,0.4048733052829213,0.05837470054606844,0.936986964518666,0.9424558130984064,0.005468848579740122
