stage,candidate,seed,threshold,type_accuracy,iou,dice,area_error,center_error,pred_area_zero,small_iou,small_dice,small_area_error,low_signal_iou,low_signal_dice,low_signal_area_error,polygon_iou,polygon_dice,polygon_area_error,rotated_rect_iou,rotated_rect_dice,rotated_rect_area_error,multi_defect_iou,multi_defect_dice,multi_defect_area_error,positive_signal,checkpoint
stage_a,shape_type_conditional_screening_predicted_mean,42,0.8,0.645,0.34062053752350896,0.48043877937547436,0.30007453616826935,1.2833515382371843,0.0,0.2626587508766824,0.38030420775473667,0.44737713257520473,0.2687531620078518,0.386608048426831,0.40295961145898834,0.27029242043368484,0.388188027225755,0.3794810074558916,0.4128256468487829,0.5652096720804698,0.22371196554994793,0.3539717093393784,0.5059333324824468,0.2808548262039808,False,checkpoints\shape_type_conditional_boundary_candidate\best_shape_type_conditional_seed42.pt
stage_a_oracle_upper_bound,shape_type_conditional_screening_oracle_mean,42,0.8,0.645,0.3429844562487102,0.48394286178383994,0.3126947578396543,1.267872094232589,0.0,0.27106905947156995,0.3926581283620503,0.4775120403477967,0.27734643825826566,0.3988397639816949,0.42747958251578505,0.27356846975462873,0.3945685185714005,0.42057683436818416,0.4172296452325522,0.569985949953113,0.21298366879385744,0.3537728401289199,0.5054991531309817,0.2833429629883342,diagnostic_only,checkpoints\shape_type_conditional_boundary_candidate\best_shape_type_conditional_seed42.pt
