bucket,sample_id,split,curvature_template,depth_bin,aspect_bin,profile_depth_rmse_m,er_like_profile_error,projected_mask_dice,L_mae_mm,W_mae_mm,D_mae_mm,wLD_abs_error,wWD_abs_error,wLW_abs_error
worst_profile,rbc_v3topup_126_test_boxy_deep_wide,test,boxy,deep,wide,0.0016182089457288384,0.6060698979631832,0.8385598141695703,3.6400203704833984,1.7276965379714966,2.908716917037964,0.4284769296646118,0.4149603843688965,0.4071940779685974
worst_profile,rbc_pilot_036_deep_elongated_boxy,test,boxy,deep,narrow,0.0011872889008373022,0.407443629291888,0.8875968992248062,3.4474618434906006,2.763258218765259,1.879901647567749,0.39699816703796387,0.303364634513855,0.37103796005249023
worst_profile,rbc_v3topup_114_test_sharp_deep_balanced,test,sharp,deep,balanced,0.0010615326464176178,0.5393138753714803,0.7795527156549521,4.635566711425781,3.1744577884674072,2.9139115810394287,0.24082720279693604,0.22105848789215088,0.266757071018219
worst_profile,rbc_pilot_045_deep_small_compact_LD_dominant,test,LD_dominant,deep,compact,0.0010588181903585792,0.5008995929638306,0.8026315789473685,3.6000170707702637,0.8410839438438416,2.237416982650757,0.26794737577438354,0.15296387672424316,0.03944694995880127
worst_profile,rbc_v2topup_058_deep_elongated_LD_dominant,test,LD_dominant,deep,narrow,0.0010356438579037786,0.4161469043211306,0.7474226804123711,8.67172908782959,1.3508070707321167,2.1226391792297363,0.2630772590637207,0.04571300745010376,0.07101273536682129
worst_profile,rbc_v3topup_122_test_boxy_deep_balanced,test,boxy,deep,balanced,0.0008871674654074013,0.36937834650601836,0.9469214437367304,1.2877751588821411,1.1914074420928955,1.5818146467208862,0.21256321668624878,0.22057855129241943,0.20424532890319824
worst_profile,rbc_pilot_009_deep_small_compact_sharp,test,sharp,deep,compact,0.0007914689485915005,0.4485131240469864,0.88268156424581,0.9334301352500916,0.1942366361618042,2.2986273765563965,0.33051204681396484,0.33969998359680176,0.33805960416793823
worst_profile,rbc_v3topup_120_test_round_deep_narrow,test,round,deep,narrow,0.0007847915403544903,0.32962562779477367,0.8635437881873728,4.709907054901123,3.2782535552978516,1.976244330406189,0.05160039663314819,0.08750021457672119,0.08270388841629028
worst_profile,rbc_v2topup_043_deep_medium_balanced_LD_dominant,test,LD_dominant,deep,balanced,0.0007488140254281461,0.325454276179946,0.75,3.4986958503723145,3.5305497646331787,1.5273005962371826,0.24594897031784058,0.06540191173553467,0.05315136909484863
worst_profile,rbc_v3topup_115_test_round_deep_compact,test,round,deep,compact,0.0007339395233429968,0.3913151545200903,0.9696969696969697,1.228431224822998,0.17649215459823608,1.9578957557678223,0.2499712109565735,0.25228917598724365,0.2449004054069519
