group_type,split,source_defect_type,variant_type,residual_method,axis_combo,base_count,row_count,pair_count,ordering_accuracy,mismatch_rate,expected_rank_ordering_accuracy,expected_rank_pair_count,residual_error_correlation,spearman_residual_error,kendall_residual_error,mean_residual,mean_quality_error
split_source_defect_type,train,rectangular_notch,all,Bx_By_Bz_raw_concat,Bx+By+Bz,8.0,64.0,224.0,0.5,0.5,0.6145833333333334,192.0,-0.010851671386978077,0.06453094331277975,0.035211267605633804,0.35431872795097974,0.8407365427680006
split_source_defect_type,train,rotated_rect,all,Bx_By_Bz_raw_concat,Bx+By+Bz,8.0,64.0,224.0,0.48214285714285715,0.5178571428571428,0.65625,192.0,0.07223652540051656,0.36124908917208554,0.24647887323943662,0.3665143429446958,0.7309889497384509
split_source_defect_type,val,rectangular_notch,all,Bx_By_Bz_raw_concat,Bx+By+Bz,2.0,16.0,56.0,0.625,0.375,0.75,48.0,-0.014695850924784688,-0.2575423802460513,-0.12605042016806722,0.35613736322683753,0.8049592217720121
split_source_defect_type,val,rotated_rect,all,Bx_By_Bz_raw_concat,Bx+By+Bz,2.0,16.0,55.0,0.5636363636363636,0.4363636363636364,0.6808510638297872,47.0,0.07151305083141225,0.2120765832106038,0.1016949152542373,0.35794100077418417,0.6877902616447815
split_source_defect_type,test,rectangular_notch,all,Bx_By_Bz_raw_concat,Bx+By+Bz,2.0,16.0,56.0,0.5178571428571429,0.4821428571428571,0.6875,48.0,0.10153737315160512,0.2604857217345777,0.21008403361344538,0.3640452415437869,0.5801108388056886
split_source_defect_type,test,rotated_rect,all,Bx_By_Bz_raw_concat,Bx+By+Bz,2.0,16.0,55.0,0.38181818181818183,0.6181818181818182,0.7021276595744681,47.0,-0.12619104200846099,-0.15905743740795286,-0.1016949152542373,0.35493382487522807,0.5592113823842872
split_source_defect_type,train,rectangular_notch,all,Bx_By_Bz_trainstd_normalized,Bx+By+Bz,8.0,64.0,224.0,0.4419642857142857,0.5580357142857143,0.5885416666666666,192.0,-0.03983042652688,-0.10564192069315152,-0.08350100603621731,0.5464390933160845,0.8407365427680006
split_source_defect_type,train,rotated_rect,all,Bx_By_Bz_trainstd_normalized,Bx+By+Bz,8.0,64.0,224.0,0.5267857142857143,0.4732142857142857,0.59375,192.0,-0.04611413207779535,0.10046409584689313,0.07344064386317907,0.5589094721027801,0.7309889497384509
split_source_defect_type,val,rectangular_notch,all,Bx_By_Bz_trainstd_normalized,Bx+By+Bz,2.0,16.0,56.0,0.5357142857142857,0.4642857142857143,0.6041666666666666,48.0,0.0983565386557599,-0.027961744140999858,-0.04201680672268908,0.5490379899026783,0.8049592217720121
split_source_defect_type,val,rotated_rect,all,Bx_By_Bz_trainstd_normalized,Bx+By+Bz,2.0,16.0,55.0,0.5818181818181818,0.4181818181818182,0.7872340425531915,47.0,0.05660133000516223,0.12076583210603829,0.06779661016949153,0.6003760174748642,0.6877902616447815
split_source_defect_type,test,rectangular_notch,all,Bx_By_Bz_trainstd_normalized,Bx+By+Bz,2.0,16.0,56.0,0.5,0.5,0.75,48.0,0.1386081709354143,0.29874916108541955,0.21008403361344538,0.5098570412468055,0.5801108388056886
