metric,B2_reference,H2_reference,freeze_shape_candidate,delta_vs_B2,delta_vs_H2,passes_gate,notes
total_normalized_mae,0.5150468945503235,0.4217822849750519,0.5100083351135254,-0.005038559436798096,0.08822605013847351,False,mean total guard
L_mae_mm,0.9150260090827942,0.7921104431152344,1.0139871835708618,0.09896117448806763,0.22187674045562744,False,L guard
W_mae_mm,1.3080086708068848,1.0381202697753906,1.3268694877624512,0.018860816955566406,0.28874921798706055,False,W guard
D_mae_mm,0.11060803383588791,0.07965001463890076,0.10919539630413055,-0.0014126375317573547,0.029545381665229797,False,D guard
burial_depth_mae_mm,0.5575736165046692,0.5313616991043091,0.5874515175819397,0.029877901077270508,0.056089818477630615,False,burial mean guard
center_xyz_component_mae_mm,2.1744518280029297,1.7092565298080444,1.9700713157653809,-0.20438051223754883,0.2608147859573364,False,center mean guard
shape_macro_f1,0.8411425176131058,0.7781625781625782,0.8241719520789288,-0.016970565534176973,0.04600937391635063,True,shape branch must be preserved
center_p95_mm,12.077329635620117,8.886297225952148,8.940112113952637,-3.1372175216674805,0.05381488800048828,False,center p95 should improve
center_max_mm,22.544387817382812,14.608484268188477,22.01708221435547,-0.5273056030273438,7.408597946166992,False,center max should improve
burial_p95_mm,1.6929956674575806,1.5986099243164062,1.8406275510787964,0.14763188362121582,0.24201762676239014,False,burial p95 should not regress
burial_max_mm,2.096271514892578,2.8612265586853027,2.489889621734619,0.393618106842041,-0.3713369369506836,False,burial max should not regress
catastrophic_failure_count,12,9,11,-1.0,2.0,False,catastrophic below both references
geometry_branch_failure_count,3,2,4,1.0,2.0,False,geometry branch below both references
