seed,group,split,sample_count,iou_mean,dice_mean,area_error_mean,center_error_mean,pred_area_mean,true_area_mean,pred_area_zero_sum,total_loss_mean,pred_connected_component_count_mean,predicted_component_count_is_3_rate,missed_component_rate,merged_component_rate,split_component_rate,extra_fragment_rate,component_recall_mean
all,component_types=rectangular_notch+rectangular_notch+rectangular_notch,train,60,0.7607873463147068,0.8541666677080131,0.0662792725260212,1.987915410560631,424.6666666666667,411.45,0,0.20965069029480218,3.0166666666666666,0.9833333333333333,0.016666666666666666,0.0,0.016666666666666666,0.016666666666666666,0.9944444444444444
all,component_types=rectangular_notch+rectangular_notch+rotated_rect,train,60,0.7364907223836054,0.8360651089277619,0.0583318154879831,2.1479867582230936,433.15,443.95,0,0.22436225044851502,3.0833333333333335,0.9166666666666666,0.0,0.0,0.08333333333333333,0.08333333333333333,1.0
all,component_types=rectangular_notch+rotated_rect+rotated_rect,train,60,0.7440420852266753,0.8452334901535224,0.06804488525189885,1.6760748233246996,425.95,421.85,0,0.21838748827576637,3.0,1.0,0.016666666666666666,0.0,0.0,0.0,0.9944444444444444
all,component_types=rotated_rect+rotated_rect+rotated_rect,train,60,0.7327038125490372,0.8369834056688951,0.04663892736814763,1.7870955163966367,435.15,447.65,0,0.23113889371355376,3.066666666666667,0.9666666666666667,0.03333333333333333,0.0,0.03333333333333333,0.03333333333333333,0.9888888888888888
all,component_types=rectangular_notch+rectangular_notch+rectangular_notch,val,15,0.6285867418629316,0.755574116180629,0.06788983614711633,2.9478378817991815,426.93333333333334,411.2,0,0.36632567743460337,3.0,1.0,0.06666666666666667,0.0,0.0,0.0,0.9777777777777777
all,component_types=rectangular_notch+rectangular_notch+rotated_rect,val,15,0.732926507998705,0.8430321619537218,0.08192931292169618,1.9163159067070334,434.26666666666665,440.2,0,0.23385297904411953,3.2,0.9333333333333333,0.0,0.0,0.06666666666666667,0.06666666666666667,1.0
all,component_types=rectangular_notch+rotated_rect+rotated_rect,val,15,0.6888116566032582,0.8124131035454706,0.09642799563404089,1.870405479269612,428.8,422.6,0,0.2812740683555603,3.0,1.0,0.0,0.0,0.0,0.0,1.0
all,component_types=rotated_rect+rotated_rect+rotated_rect,val,15,0.7102083901577986,0.827981937228519,0.07536336656786012,2.092036344705963,426.8666666666667,452.6,0,0.2580502539873123,3.0,1.0,0.0,0.0,0.0,0.0,1.0
all,component_types=rectangular_notch+rectangular_notch+rectangular_notch,test,15,0.6361210384478126,0.763882028294333,0.07821972145451565,2.8998027483814903,430.06666666666666,419.0,0,0.3414692183335622,3.066666666666667,0.9333333333333333,0.06666666666666667,0.0,0.06666666666666667,0.06666666666666667,0.9777777777777777
all,component_types=rectangular_notch+rectangular_notch+rotated_rect,test,15,0.6075727847551456,0.7423253715541046,0.10547788812377062,3.0001087010521346,435.0,447.2,0,0.39292201697826384,3.0,1.0,0.13333333333333333,0.0,0.0,0.0,0.9555555555555555
all,component_types=rectangular_notch+rotated_rect+rotated_rect,test,15,0.6616913788678743,0.7922157378407465,0.10602984647966057,3.542789853246004,439.53333333333336,414.0,0,0.30310153365135195,3.0,1.0,0.0,0.0,0.0,0.0,1.0
all,component_types=rotated_rect+rotated_rect+rotated_rect,test,15,0.5896498332820166,0.7303451919248103,0.05525065898211797,2.3892843165757096,432.6,452.4,0,0.3981998215119044,3.0,1.0,0.0,0.0,0.0,0.0,1.0
all,component_types=rectangular_notch+rectangular_notch+rectangular_notch,all,90,0.7179761942615954,0.8226871358845023,0.06853777461761945,2.2998837120705327,425.94444444444446,412.6666666666667,0,0.2577329428245624,3.022222222222222,0.9777777777777777,0.03333333333333333,0.0,0.022222222222222223,0.022222222222222223,0.9888888888888889
all,component_types=rectangular_notch+rectangular_notch+rotated_rect,all,90,0.7144103637147119,0.8216029948698121,0.07012241049956655,2.251395273441924,433.64444444444445,443.8666666666667,0,0.2540373329694072,3.088888888888889,0.9333333333333333,0.022222222222222223,0.0,0.06666666666666667,0.06666666666666667,0.9925925925925926
all,component_types=rectangular_notch+rotated_rect+rotated_rect,all,90,0.7211118960629722,0.8309271336667177,0.07910623052021615,2.0195824376357354,428.68888888888887,420.6666666666667,0,0.24298759251832963,3.0,1.0,0.011111111111111112,0.0,0.0,0.0,0.9962962962962962
all,component_types=rotated_rect+rotated_rect+rotated_rect,all,90,0.7051122456059941,0.8177101253048181,0.052861622503761425,1.93828378781137,433.34444444444443,449.26666666666665,0,0.2634676083922386,3.0444444444444443,0.9777777777777777,0.022222222222222223,0.0,0.022222222222222223,0.022222222222222223,0.9925925925925926
