group_field,group_value,sample_count,normalized_param_mae_mean,dimension_param_mae_norm,curvature_param_mae_norm,L_mae_mm,W_mae_mm,D_mae_mm,wLD_abs_error,wWD_abs_error,wLW_abs_error,curvature_mae_mean,projected_mask_iou,projected_mask_dice,profile_depth_rmse_m,notes
curvature_template,LD_dominant,8,0.534515630453825,0.31542294658720493,0.7536082938313484,1.3322089686989784,1.5220104530453682,0.5988151694182307,0.3515332564711571,0.04386572539806366,0.11072002351284027,0.16870633698999882,0.8239252853336293,0.9008601317873146,0.00030040049568924587,
curvature_template,WD_dominant,8,0.5945873335003853,0.38593729957938194,0.8032373934984207,1.5125284045934677,2.072053261101246,0.6903284024447203,0.05294199287891388,0.3336680680513382,0.14006945490837097,0.17555983737111092,0.7628549076288234,0.8555611478283319,0.0003001750992552843,
curvature_template,boxy,7,1.0129569683756148,0.6720889466149467,1.3538250071661813,2.8708948769739697,3.7378687347684587,1.0998829613838876,0.3269965137754168,0.280102048601423,0.28341409989765715,0.2968375576393945,0.6856646136162109,0.8056992182341187,0.0006749187720872994,
curvature_template,round,8,0.48412548936903477,0.5317787155508995,0.4364722464233637,2.5307678282260895,2.9484304636716843,0.809567965567112,0.06711205840110779,0.10287594795227051,0.11355682462453842,0.09451494412496686,0.7040140414097327,0.8090204753659364,0.00032250385265797377,
curvature_template,sharp,8,0.8057541735470295,0.31785764906089753,1.2936507016420364,1.3354333294555545,0.8424502350389957,0.8400186910293996,0.26330818235874176,0.2712879106402397,0.31059564650058746,0.2817305736243725,0.7686691759088267,0.8622412203628355,0.00037658578730770387,
depth_bin,deep,11,0.8449912585995414,0.7091377242044969,0.9808447659015656,2.5404307517138394,2.9875698035413567,1.6056505712595852,0.2481958053328774,0.20425039529800415,0.1942500959743153,0.2155654328790578,0.7236289175070953,0.831895652371663,0.0007695775711908937,
depth_bin,medium,11,0.5919377898628061,0.3295312306251038,0.8543443964286284,1.537653538313779,2.282412252642892,0.35451955043456773,0.18070148337971081,0.19187862222844904,0.18763710152019153,0.18673906949433414,0.7769713650023706,0.8592070843925845,0.00019225778206336227,
depth_bin,shallow,17,0.6256670741473928,0.3345433534944759,0.9167907851583817,1.7014614821356886,1.6044019898947548,0.567479483454543,0.20295702008640065,0.21275743316201604,0.18721618371851304,0.2009768773089437,0.7511033217622026,0.8505428368227916,0.0002671508469468202,
aspect_bin,balanced,9,0.6584528949525621,0.35192714134852093,0.9649786684248183,1.8952029546101887,1.1421854727798038,0.7563907868332334,0.23248430093129477,0.19656086630291408,0.20532946454154122,0.2114582078324424,0.8190929765735532,0.8975372401462215,0.00036364109109854326,
aspect_bin,compact,9,0.7641062074237399,0.48156961301962536,1.0466427736812167,3.0353415053751736,1.391526738802592,0.9845049911075168,0.22451243135664198,0.23426165845659044,0.2278508808877733,0.22887498802608913,0.6468879869873565,0.7794648406823323,0.0004155142475307609,
aspect_bin,narrow,9,0.7286640173859067,0.6532594545019997,0.8040685918596056,1.870572159687678,5.347712755203247,0.7129629066007005,0.20875583092371622,0.16865371333228218,0.1535030272271898,0.17697085936864218,0.6095719926699947,0.7484987873118312,0.00037920713253293396,
aspect_bin,wide,12,0.5901293096443018,0.31098246939169866,0.8692761523028215,1.0478102341294289,1.1926509787638981,0.7603578663741549,0.1813638707002004,0.21491745114326477,0.17527366181214651,0.19051832860956588,0.8829485809569525,0.935987543094226,0.00039137425361938466,
size_bin,elongated,9,0.7286640173859067,0.6532594545019997,0.8040685918596056,1.870572159687678,5.347712755203247,0.7129629066007005,0.20875583092371622,0.16865371333228218,0.1535030272271898,0.17697085936864218,0.6095719926699947,0.7484987873118312,0.00037920713253293396,
size_bin,large_wide,12,0.5901293096443018,0.31098246939169866,0.8692761523028215,1.0478102341294289,1.1926509787638981,0.7603578663741549,0.1813638707002004,0.21491745114326477,0.17527366181214651,0.19051832860956588,0.8829485809569525,0.935987543094226,0.00039137425361938466,
size_bin,medium_balanced,9,0.6584528949525621,0.35192714134852093,0.9649786684248183,1.8952029546101887,1.1421854727798038,0.7563907868332334,0.23248430093129477,0.19656086630291408,0.20532946454154122,0.2114582078324424,0.8190929765735532,0.8975372401462215,0.00036364109109854326,
size_bin,small_compact,9,0.7641062074237399,0.48156961301962536,1.0466427736812167,3.0353415053751736,1.391526738802592,0.9845049911075168,0.22451243135664198,0.23426165845659044,0.2278508808877733,0.22887498802608913,0.6468879869873565,0.7794648406823323,0.0004155142475307609,
correlation,curvature_vs_D_mae_mm,39,,,,,,,,,,0.21790502311678875,,,,Pearson correlation on selected test samples
correlation,curvature_vs_projected_mask_dice,39,,,,,,,,,,-0.0812145744317575,,,,negative means higher Dice tends to lower curvature error
correlation,curvature_vs_projected_mask_iou,39,,,,,,,,,,-0.1010891051399926,,,,negative means higher IoU tends to lower curvature error
correlation,curvature_vs_profile_depth_rmse,39,,,,,,,,,,0.3582433693011835,,,,positive means depth RMSE rises with curvature error
