sample_id,split,subset,row_origin,inference_status,risk_score,risk_threshold,risk_reason,true_shape_type,pred_shape_type,shape_correct,burial_depth_level,size_level,aspect_bin,hardcase_target_id,pred_L_mm,pred_W_mm,pred_D_mm,pred_burial_depth_mm,pred_center_x_mm,pred_center_y_mm,pred_center_z_mm,L_error_mm,W_error_mm,D_error_mm,burial_depth_error_mm,center_xyz_error_mm,total_abs_normalized_error,center_outlier,burial_outlier,catastrophic_failure,geometry_branch_failure,bad_tail_target,failure_tags,stable_prediction_claim
internal_pilot_006,test,source_v2,source_v2_240,abstain_need_review,0.286459479853594,0.07046389,center_pairwise_max_mm=4.550; burial_pairwise_max_mm=0.914; feature_abs_z_max=1.663,internal_sphere,internal_sphere,True,shallow,large,compact,,1.4911856651306152,1.2386499643325806,1.210955262184143,1.859673261642456,-8.386366844177246,1.5202269554138184,-2.8072550296783447,0.09118567407131195,0.16135001182556152,0.18904462456703186,1.0596733093261719,4.117886543273926,0.5377960205078125,True,True,True,False,True,center_outlier|burial_outlier|full_shift_failure|visual_suspect,False
internal_pilot_016,test,source_v2,source_v2_240,abstain_need_review,0.7179767198913783,0.07046389,center_pairwise_max_mm=3.962; burial_pairwise_max_mm=0.395; feature_abs_z_max=3.307,internal_sphere,internal_sphere,True,deep,medium,compact,,2.0370609760284424,1.7819684743881226,1.1508779525756836,2.3536977767944336,-8.248906135559082,-0.7882294058799744,-2.33321213722229,0.8370608687400818,0.5819684863090515,0.04912214353680611,0.8463021516799927,5.529272556304932,0.5750415921211243,True,False,False,False,True,center_outlier|dimension_outlier|visual_suspect,False
internal_pilot_019,test,source_v2,source_v2_240,abstain_need_review,0.16608328209141565,0.07046389,center_pairwise_max_mm=2.685; burial_pairwise_max_mm=0.420; feature_abs_z_max=2.054,internal_sphere,internal_sphere,True,deep_plus,small,compact,,1.5420087575912476,1.6048656702041626,1.172906756401062,3.5740537643432617,-7.966013431549072,-2.92098069190979,-4.190576076507568,0.542008638381958,0.6048656105995178,0.17290666699409485,0.6259461045265198,4.066792964935303,0.4011727273464203,True,False,False,False,True,center_outlier|dimension_outlier|visual_suspect,False
internal_pilot_024,test,source_v2,source_v2_240,abstain_need_review,0.8411116157078466,0.07046389,center_pairwise_max_mm=6.063; burial_pairwise_max_mm=0.444; feature_abs_z_max=2.118,internal_sphere,internal_sphere,True,deep_plus,large,compact,,1.4725879430770874,1.5847795009613037,1.273085355758667,3.791285276412964,-10.682657241821289,-2.122579336166382,-4.24894905090332,0.0725879818201065,0.18477952480316162,0.1269145905971527,0.4087146520614624,5.329172611236572,0.4582691192626953,True,False,False,False,True,center_outlier|visual_suspect,False
internal_pilot_033,test,source_v2,source_v2_240,accepted_prediction,0.025693779950027223,0.07046389,center_pairwise_max_mm=1.134; burial_pairwise_max_mm=0.190; feature_abs_z_max=2.257,internal_ellipsoid,internal_ellipsoid,True,shallow,large,elongated_y,,3.431893825531006,3.7890572547912598,1.1827330589294434,1.1484557390213013,0.9546441435813904,-1.7031924724578857,-1.4649747610092163,0.3181060254573822,4.210943222045898,0.21726684272289276,0.3484557867050171,4.799228191375732,0.7214146256446838,True,False,False,False,True,center_outlier|dimension_outlier|visual_suspect,True
internal_pilot_042,test,source_v2,source_v2_240,abstain_need_review,0.6300862949899465,0.07046389,center_pairwise_max_mm=3.524; burial_pairwise_max_mm=0.284; feature_abs_z_max=2.721,internal_ellipsoid,internal_ellipsoid,True,medium,large,elongated_y,,3.783412456512451,3.069706439971924,1.1923872232437134,3.2520592212677,2.338954210281372,0.015354598872363567,-3.544935941696167,0.033412594348192215,4.930294036865234,0.2076127529144287,1.2520591020584106,3.8849363327026367,0.8698102235794067,True,True,True,False,True,center_outlier|burial_outlier|dimension_outlier|full_shift_failure|visual_suspect,False
internal_pilot_045,test,source_v2,source_v2_240,abstain_need_review,0.3826717345107947,0.07046389,center_pairwise_max_mm=3.230; burial_pairwise_max_mm=0.713; feature_abs_z_max=4.039,internal_ellipsoid,internal_ellipsoid,True,deep,small,elongated_y,,5.804032325744629,3.651904821395874,1.2874250411987305,2.819568634033203,-2.119405508041382,0.4175608158111572,-3.671529769897461,4.304032802581787,0.45190495252609253,0.2874250113964081,0.38043129444122314,3.3409104347229004,0.7648479342460632,True,False,False,False,True,center_outlier|dimension_outlier|visual_suspect,False
internal_pilot_048,test,source_v2,source_v2_240,accepted_prediction,0.02506030454225246,0.07046389,center_pairwise_max_mm=1.598; burial_pairwise_max_mm=0.290; feature_abs_z_max=2.179,internal_ellipsoid,internal_ellipsoid,True,deep,medium,elongated_y,,3.5876495838165283,3.3502085208892822,1.1974189281463623,3.6794185638427734,2.7577877044677734,-0.3177602291107178,-3.211798667907715,0.9626497030258179,2.249791383743286,0.0025811605155467987,0.47941854596138,4.354182720184326,0.4853074848651886,True,False,False,False,True,center_outlier|dimension_outlier|visual_suspect,True
internal_pilot_054,test,source_v2,source_v2_240,abstain_need_review,0.47416247799000355,0.07046389,center_pairwise_max_mm=4.580; burial_pairwise_max_mm=0.585; feature_abs_z_max=3.404,internal_ellipsoid,internal_ellipsoid,True,deep_plus,small,elongated_y,,5.436723232269287,3.6754119396209717,1.2858705520629883,3.892916202545166,8.034343719482422,-0.10182833671569824,-4.2368927001953125,3.936722755432129,0.4754120111465454,0.2858705222606659,0.3070836067199707,8.624760627746582,0.857379138469696,True,False,False,False,True,center_outlier|dimension_outlier|visual_suspect,False
internal_pilot_057,test,source_v2,source_v2_240,abstain_need_review,0.28140698190051766,0.07046389,center_pairwise_max_mm=2.399; burial_pairwise_max_mm=0.661; feature_abs_z_max=1.442,internal_ellipsoid,internal_ellipsoid,True,deep_plus,medium,elongated_y,,3.742739677429199,3.9666574001312256,1.2449674606323242,3.4223883152008057,2.2794113159179688,-0.18869628012180328,-3.350435733795166,1.1177395582199097,1.6333423852920532,0.044967398047447205,0.777611494064331,4.179083347320557,0.6107388734817505,True,False,False,False,True,center_outlier|dimension_outlier|visual_suspect,False
