seed,split,best_epoch,selected_threshold,best_val_score,initial_train_loss,final_train_loss,train_loss_decreased,sample_count,iou_mean,dice_mean,area_error_mean,center_error_mean,pred_area_zero_sum,total_loss_mean,pred_connected_component_count_mean,predicted_component_count_correct_rate,predicted_component_count_is_1_rate,predicted_component_count_is_2_rate,predicted_component_count_is_3_rate,missed_component_rate,merged_component_rate,split_component_rate,extra_fragment_rate,component_recall_mean
42,train,24,0.6,1.211063084452272,0.8678479946411408,0.00037580060008032297,True,882,0.6852990406242477,0.805367746684002,0.1319124151764811,2.4812152903527744,0,0.27462377987143133,1.9342403628117915,0.971655328798186,0.4557823129251701,0.17800453514739228,0.3526077097505669,0.013605442176870748,0.0,0.022675736961451247,0.022675736961451247,0.9907407407407408
42,val,24,0.6,1.211063084452272,0.8678479946411408,0.00037580060008032297,True,219,0.6225372974577461,0.75468504942592,0.16609951306769802,3.1888169394041936,0,0.3481598948234837,1.9589041095890412,0.958904109589041,0.4520547945205479,0.1643835616438356,0.3698630136986301,0.0502283105022831,0.0,0.0365296803652968,0.0365296803652968,0.969558599695586
42,test,24,0.6,1.211063084452272,0.8678479946411408,0.00037580060008032297,True,219,0.6060813952016216,0.7329356615725485,0.18739438327142258,3.097040183993852,0,0.3799145451691597,1.9269406392694064,0.9178082191780822,0.4611872146118721,0.1689497716894977,0.3515981735159817,0.0821917808219178,0.0,0.0502283105022831,0.0502283105022831,0.936834094368341
123,train,26,0.7,1.2072052656311971,0.8179566591709584,0.001822410261157275,True,882,0.6899652695405232,0.8099326486119357,0.12803615230152035,2.4419737001672583,0,0.26538515039413424,1.9308390022675737,0.9795918367346939,0.4523809523809524,0.17800453514739228,0.35941043083900226,0.007936507936507936,0.0,0.018140589569160998,0.018140589569160998,0.9948979591836735
123,val,26,0.7,1.2072052656311971,0.8179566591709584,0.001822410261157275,True,219,0.6182720599698904,0.7520835546303525,0.1631619691070347,3.2813851705773596,0,0.3548831650859689,1.9908675799086757,0.9315068493150684,0.4520547945205479,0.1735159817351598,0.3378995433789954,0.0273972602739726,0.0,0.0547945205479452,0.0547945205479452,0.9832572298325724
123,test,26,0.7,1.2072052656311971,0.8179566591709584,0.001822410261157275,True,219,0.6120929301055202,0.7408224256198122,0.17690730717329145,2.902414502915186,0,0.37170981061240854,1.9360730593607305,0.9178082191780822,0.4611872146118721,0.1735159817351598,0.3470319634703196,0.0684931506849315,0.0,0.0502283105022831,0.0502283105022831,0.9558599695585998
2026,train,23,0.7,1.222956383527077,0.8351798940886248,0.0012370026560929218,True,882,0.6652964340159786,0.7873644897725635,0.1446655706079105,2.646032570716593,0,0.2980625633141892,2.002267573696145,0.9342403628117913,0.4501133786848073,0.14852607709750568,0.373015873015873,0.027210884353741496,0.0,0.06349206349206349,0.06349206349206349,0.9799697656840515
2026,val,23,0.7,1.222956383527077,0.8351798940886248,0.0012370026560929218,True,219,0.6233314052220711,0.7559934117187925,0.15638609259976452,3.1901669326068585,0,0.3492514547555958,2.009132420091324,0.9269406392694064,0.4520547945205479,0.1324200913242009,0.3881278538812785,0.0319634703196347,0.0,0.0730593607305936,0.0730593607305936,0.9764079147640792
2026,test,23,0.7,1.222956383527077,0.8351798940886248,0.0012370026560929218,True,219,0.611878057282003,0.7394440835282157,0.18972130723717767,2.9719125662299755,0,0.3760243793396645,1.995433789954338,0.908675799086758,0.4611872146118721,0.1552511415525114,0.3515981735159817,0.0593607305936073,0.0,0.0684931506849315,0.0684931506849315,0.9505327245053273
