group_field,group_value,sample_count,refinement_applied_count,target_count,negative_control_count,baseline_profile_rmse_mean_m,refined_profile_rmse_mean_m,oracle_profile_rmse_mean_m,profile_rmse_improvement_mean_m,baseline_Dice_mean,refined_Dice_mean,oracle_Dice_mean,Dice_improvement_mean,baseline_IoU_mean,refined_IoU_mean,oracle_IoU_mean,IoU_improvement_mean,feature_residual_before_mean,feature_residual_after_mean,feature_residual_improvement_mean,profile_improved_rate,dice_improved_rate,not_suitable_count,interpretation
shape_type,asymmetric_corrosion,16,16,12,0,0.00047975019436148495,0.0001732450732001103,7.305768088976471e-05,0.00030650512116137466,0.5591292713575559,0.7323359640033564,0.9731884356863416,0.17320669264580058,0.4210122662136537,0.613500840909377,0.9478157662770268,0.19248857469572328,94.73450365208919,0.5234545915578523,94.21104906053134,0.875,0.6875,0,refinement improves this group
shape_type,elongated_crack_like_surface_defect,16,16,16,0,0.0004978291595028021,0.0003046729528887464,0.00010605021444061776,0.00019315620661405572,0.4720649636862832,0.7364219595740735,0.9209788156890242,0.2643569958877903,0.31034970697732434,0.6048385558818912,0.853598694928803,0.29448884890456684,16.313212522094496,0.6112314532565972,15.701981068837899,0.8125,0.9375,0,refinement improves this group
shape_type,flat_bottom_pit,16,16,11,0,0.00040448075825141573,0.00029735785960064494,9.562374974294125e-05,0.00010712289865077079,0.571939140615269,0.6572312468827648,0.9534184325488283,0.08529210626749584,0.4235342179058014,0.51944318839388,0.9110272700156351,0.09590897048807862,47.60105929847262,0.7091149246440237,46.89194437382859,0.5625,0.5625,0,refinement improves this group
shape_type,irregular_corrosion_non_rbc,16,16,12,0,0.0004553191161735761,0.00023503100238965748,0.00011839952586880639,0.00022028811378391864,0.5978387932465905,0.7166011215026851,0.8973080685328433,0.11876232825609456,0.44488014257034547,0.5863865089522914,0.8137953722615016,0.14150636638194591,59.7891189949745,0.48313813312990445,59.305980861844596,0.8125,0.625,0,refinement improves this group
shape_type,multi_pit_two_component_surface_defect,16,0,0,16,0.0007183633569005014,0.000707711936309516,0.00028126370737191405,1.065142059098541e-05,0.33422720299978764,0.33422720299978764,0.34303849580876594,0.0,0.2024194458689453,0.2024194458689453,0.22804941108398244,0.0,82.12331600328562,82.12331600328562,0.0,0.1875,0.0,16,representation failure / negative control; route to component-set branch
shape_type,rbc_like_smooth_pit,24,24,21,0,0.0005011810231545006,0.00016519893431601588,4.089406676058101e-05,0.0003359820888384847,0.49355620883261464,0.6897547432153187,0.9656262234493874,0.19619853438270407,0.3467146514673433,0.5551283321622771,0.933662999355637,0.20841368069493377,96.96658157833303,0.5604883829954823,96.40609319533755,0.8333333333333334,0.75,0,refinement improves this group
shape_type,sharp_wall_boxy_corrosion,16,16,10,0,0.000370406391981249,0.0003376412355889493,0.0001271319868667392,3.276515639229969e-05,0.6314647302901455,0.7061002172064509,0.916778543044861,0.0746354869163054,0.4767242501148736,0.5608130887232949,0.8463962001433251,0.08408883860842131,49.880862386185136,0.7240672939614875,49.156795092223646,0.5625,0.6875,0,refinement improves this group
representation_target,component_set,16,0,0,16,0.0007183633569005014,0.000707711936309516,0.00028126370737191405,1.065142059098541e-05,0.33422720299978764,0.33422720299978764,0.34303849580876594,0.0,0.2024194458689453,0.2024194458689453,0.22804941108398244,0.0,82.12331600328562,82.12331600328562,0.0,0.1875,0.0,16,representation failure / negative control; route to component-set branch
representation_target,depth_grid,16,16,12,0,0.0004553191161735761,0.00023503100238965748,0.00011839952586880639,0.00022028811378391864,0.5978387932465905,0.7166011215026851,0.8973080685328433,0.11876232825609456,0.44488014257034547,0.5863865089522914,0.8137953722615016,0.14150636638194591,59.7891189949745,0.48313813312990445,59.305980861844596,0.8125,0.625,0,refinement improves this group
representation_target,polygon_or_contour,48,48,37,0,0.00042423876991182235,0.00031322401602611356,0.00010960198368343273,0.00011101475388570879,0.5584896115305659,0.699917807887763,0.9303919304275712,0.14142819635719717,0.4035360583326664,0.5616982776663554,0.870340721695921,0.15816221933368896,37.931711402250755,0.6814712239540363,37.25024017829672,0.6458333333333334,0.7291666666666666,0,refinement improves this group
