method,split,sample_count,artifact_level,normalized_param_mae_mean_mean,dimension_param_mae_norm_mean,curvature_param_mae_norm_mean,L_mae_mm_mean,W_mae_mm_mean,D_mae_mm_mean,wLD_abs_error_mean,wWD_abs_error_mean,wLW_abs_error_mean,curvature_mae_mean_mean,projected_mask_iou_mean,projected_mask_dice_mean,profile_depth_rmse_m_mean
20.77_neural_selected_seed,test,39,per_sample_error_rows,0.6780143536818333,0.4387845003213256,0.9172442085467852,1.8918915996566796,2.1857599088778863,0.8002313476246901,0.2094394748027508,0.20446911683449379,0.18931882809369993,0.20107580616306037,0.7506502455785019,0.8477271366767738,0.0003877372636895579
20.81_feature_fusion_selected,test,39,per_sample_error_rows,0.667888397971789,0.4522588877723767,0.8835179191082716,2.0303866893817215,1.8066299970333393,0.9566183099761988,0.21707869340211916,0.20230379012914804,0.1640675358283214,0.19448333899848735,0.77454093657963,0.8665725224434271,0.00044529733223988354
20.80_piao_feature_only_aggregate,train,162,aggregate_only,0.029486884983877342,0.029214844303090633,0.029758925630170623,0.17980566662218836,0.1302405633262278,0.04522645987432312,0.006916235994409632,0.006670685829939666,0.0060025740552831575,0.006529831962751938,0.9768015563994866,0.9882124364664563,2.0548183886289117e-05
20.80_piao_feature_only_aggregate,val,39,aggregate_only,0.7038563031416672,0.5417720006826596,0.8659406250868088,2.6683220874804716,2.272306262682646,1.0511456157725592,0.21342633932064742,0.19014941270534808,0.16758292454939622,0.19038622539777023,0.7317806372699618,0.8309009010499545,0.0005227636752235226
20.80_piao_feature_only_aggregate,test,39,aggregate_only,0.6957241464883853,0.5258658971541967,0.8655824088133298,2.5945624946019588,2.3609011820875683,0.9663975906486695,0.2096490095823239,0.1947971781094869,0.1664652182505681,0.1903038014872716,0.7145338928326161,0.8262715758785393,0.0004496398864713951
