feature_set,model,split,group_field,group_value,sample_count,normalized_param_mae_mean,dimension_mae_norm,curvature_mae_norm,L_mae_mm,W_mae_mm,D_mae_mm,curvature_mae_mean,wLD_abs_error,wWD_abs_error,wLW_abs_error,projected_mask_iou,projected_mask_dice,profile_depth_rmse_m
F0_F1_F2_basic_physical,svr_rbf_C10_eps0.03,train,curvature_template,LD_dominant,31,0.02930367557752517,0.029011500758990165,0.029595850215804194,0.18192734593345272,0.12731442300062026,0.0447677331225526,0.006500406265859643,0.006957946285124748,0.00673193508578885,0.005811337501771988,0.9785933645467537,0.9891388675202508,2.1420241057879344e-05
F0_F1_F2_basic_physical,svr_rbf_C10_eps0.03,train,curvature_template,WD_dominant,34,0.029624207712271634,0.029455112512497342,0.02979330291204593,0.1818203264299561,0.1301418512183077,0.04586393561433343,0.0065327818806776225,0.00677529678625219,0.006727737538954791,0.0060953112209544465,0.9753139983114425,0.9874148317616106,2.214467525952975e-05
F0_F1_F2_basic_physical,svr_rbf_C10_eps0.03,train,curvature_template,boxy,32,0.029425666958559304,0.029407614725641906,0.029443719133269042,0.18640400981530547,0.12795915291644633,0.04526019946206361,0.006462549165007658,0.0069425068795681,0.0065293088555336,0.00591583177447319,0.9748652621345737,0.987240283743401,2.2312133552304658e-05
F0_F1_F2_basic_physical,svr_rbf_C10_eps0.03,train,curvature_template,round,33,0.029436265936855114,0.028929023015679733,0.029943508970918076,0.17747847397219052,0.13053441047668457,0.044391105911045364,0.006568293369403391,0.006959906130126028,0.006646076838175456,0.006098897168130586,0.9763801783606796,0.9880038746025566,1.8812029827930736e-05
F0_F1_F2_basic_physical,svr_rbf_C10_eps0.03,train,curvature_template,sharp,32,0.02963188261492178,0.02925853116903454,0.030005234002601355,0.17141128797084093,0.13515852391719818,0.04582125262822956,0.006582823290955275,0.006954271346330643,0.006717488169670105,0.006076710298657417,0.9790171130928009,0.9893496435271931,1.8033565623909453e-05
F0_F1_F2_basic_physical,svr_rbf_C10_eps0.03,train,depth_bin,deep,49,0.029521967987624968,0.029351501630581155,0.029692434534734607,0.17844957843118783,0.1312931801895706,0.04582798906735012,0.006517966990644226,0.006959219368136659,0.0066657930004353425,0.005928888612863969,0.9806728899151685,0.9901928175237462,2.072797184266573e-05
F0_F1_F2_basic_physical,svr_rbf_C10_eps0.03,train,depth_bin,medium,57,0.029446253749100787,0.02903392875011553,0.029858578715408056,0.18101074468148382,0.13014338381196322,0.044134951768475664,0.006549922005975978,0.006949569049634431,0.0066231510095429,0.006077045934242115,0.9781059620435727,0.9888881518700176,2.0012149789500543e-05
F0_F1_F2_basic_physical,svr_rbf_C10_eps0.03,train,depth_bin,shallow,56,0.029497544148138592,0.02927941532938608,0.029715672734060457,0.17976564647895948,0.12941843843353645,0.0458111211524478,0.006519765019350286,0.006844697254044669,0.0067233507122312275,0.005991247083459582,0.9720864409712485,0.9857918212912741,2.093647555869081e-05
F0_F1_F2_basic_physical,svr_rbf_C10_eps0.03,train,aspect_bin,balanced,44,0.029460040852427483,0.028994109862568705,0.029925971884619106,0.18123617700555109,0.1268257928842848,0.04502419445833022,0.006564252311363816,0.006886601448059082,0.006726917895403775,0.00607923756946217,0.9799209252164947,0.989833584403048,2.0658156420888023e-05
F0_F1_F2_basic_physical,svr_rbf_C10_eps0.03,train,aspect_bin,compact,43,0.029197477237429728,0.02879289684947147,0.029602057798657308,0.1775542242928993,0.12758601534851763,0.04475108360828355,0.006498071570815735,0.006881889908812767,0.00671741574309593,0.005894909071367841,0.9678636278963698,0.9836082778551686,2.018796145992298e-05
