selection_bucket,sample_id,split,curvature_template,depth_bin,aspect_bin,profile_depth_rmse_m,er_like_profile_error,projected_mask_iou,projected_mask_dice,L_mae_mm,W_mae_mm,D_mae_mm,wLD_abs_error,wWD_abs_error,wLW_abs_error,png_path
best_profile,rbc_v3topup_107_test_WD_dominant_shallow_balanced,test,WD_dominant,shallow,balanced,7.230234768940136e-05,0.11901780247159337,0.6666666666666666,0.8,2.8501617908477783,1.5199007987976074,0.06076239421963692,0.012429773807525635,0.30791670083999634,0.1594005823135376,C:\Users\19166\Desktop\PINN_project\results\previews\true_3d_rbc_profile_primary_loss_gallery\01_best_profile_rbc_v3topup_107_test_WD_dominant_shallow_balanced.png
best_profile,rbc_v3topup_109_test_WD_dominant_shallow_narrow,test,WD_dominant,shallow,narrow,7.273768278537318e-05,0.0853455474252436,0.7410714285714286,0.8512820512820513,2.1989493370056152,2.5552659034729004,0.18372154235839844,0.0011954903602600098,0.3105412721633911,0.14426374435424805,C:\Users\19166\Desktop\PINN_project\results\previews\true_3d_rbc_profile_primary_loss_gallery\02_best_profile_rbc_v3topup_109_test_WD_dominant_shallow_narrow.png
best_profile,rbc_pilot_002_shallow_medium_balanced_sharp,test,sharp,shallow,balanced,8.17986874608323e-05,0.16045631637452834,0.6601941747572816,0.7953216374269005,3.7554874420166016,1.886833906173706,0.23897260427474976,0.25016093254089355,0.31071364879608154,0.2781558036804199,C:\Users\19166\Desktop\PINN_project\results\previews\true_3d_rbc_profile_primary_loss_gallery\03_best_profile_rbc_pilot_002_shallow_medium_balanced_sharp.png
worst_profile,rbc_v3topup_126_test_boxy_deep_wide,test,boxy,deep,wide,0.0016182089457288384,0.6060698979631832,0.722,0.8385598141695703,3.6400203704833984,1.7276965379714966,2.908716917037964,0.4284769296646118,0.4149603843688965,0.4071940779685974,C:\Users\19166\Desktop\PINN_project\results\previews\true_3d_rbc_profile_primary_loss_gallery\04_worst_profile_rbc_v3topup_126_test_boxy_deep_wide.png
worst_profile,rbc_pilot_036_deep_elongated_boxy,test,boxy,deep,narrow,0.0011872889008373022,0.407443629291888,0.7979094076655052,0.8875968992248062,3.4474618434906006,2.763258218765259,1.879901647567749,0.39699816703796387,0.303364634513855,0.37103796005249023,C:\Users\19166\Desktop\PINN_project\results\previews\true_3d_rbc_profile_primary_loss_gallery\05_worst_profile_rbc_pilot_036_deep_elongated_boxy.png
worst_profile,rbc_v3topup_114_test_sharp_deep_balanced,test,sharp,deep,balanced,0.0010615326464176178,0.5393138753714803,0.6387434554973822,0.7795527156549521,4.635566711425781,3.1744577884674072,2.9139115810394287,0.24082720279693604,0.22105848789215088,0.266757071018219,C:\Users\19166\Desktop\PINN_project\results\previews\true_3d_rbc_profile_primary_loss_gallery\06_worst_profile_rbc_v3topup_114_test_sharp_deep_balanced.png
best_dice,rbc_v3topup_116_test_round_medium_wide,test,round,medium,wide,0.0004486377874854952,0.34722666985642325,0.9645776566757494,0.9819694868238558,1.093247890472412,0.5688592791557312,1.074831247329712,0.010506093502044678,0.0019995570182800293,0.03984630107879639,C:\Users\19166\Desktop\PINN_project\results\previews\true_3d_rbc_profile_primary_loss_gallery\07_best_dice_rbc_v3topup_116_test_round_medium_wide.png
best_dice,rbc_pilot_015_shallow_large_wide_round,test,round,shallow,wide,0.00011575710232136771,0.17156461665950512,0.9550173010380623,0.9769911504424779,0.2992004156112671,0.2783359885215759,0.23767293989658356,0.0011186003684997559,0.05583453178405762,0.07144570350646973,C:\Users\19166\Desktop\PINN_project\results\previews\true_3d_rbc_profile_primary_loss_gallery\08_best_dice_rbc_pilot_015_shallow_large_wide_round.png
best_dice,rbc_pilot_051_shallow_large_wide_WD_dominant,test,WD_dominant,shallow,wide,0.000169957333127968,0.22366769343728704,0.9466666666666667,0.9726027397260274,0.2578943967819214,0.09713787585496902,0.4880625009536743,0.11712813377380371,0.4069511294364929,0.20881563425064087,C:\Users\19166\Desktop\PINN_project\results\previews\true_3d_rbc_profile_primary_loss_gallery\09_best_dice_rbc_pilot_051_shallow_large_wide_WD_dominant.png
curvature_risk,rbc_v3topup_123_test_boxy_medium_wide,test,boxy,medium,wide,0.0004557305364869535,0.30604289519255734,0.9081885856079405,0.951885565669701,0.3132503628730774,0.9925961494445801,0.43610647320747375,0.4234240651130676,0.4263952970504761,0.4127170443534851,C:\Users\19166\Desktop\PINN_project\results\previews\true_3d_rbc_profile_primary_loss_gallery\10_curvature_risk_rbc_v3topup_123_test_boxy_medium_wide.png
curvature_risk,rbc_pilot_032_medium_elongated_boxy,test,boxy,medium,narrow,0.0003559849283192307,0.20942375436913416,0.5,0.6666666666666666,2.0599029064178467,8.137539863586426,0.1254749894142151,0.4010685682296753,0.3538013696670532,0.3798061013221741,C:\Users\19166\Desktop\PINN_project\results\previews\true_3d_rbc_profile_primary_loss_gallery\11_curvature_risk_rbc_pilot_032_medium_elongated_boxy.png
