split,stage,group,n,iou,dice,area_error,center_error_px,forward_nrmse
train,pre_refine,all,268,0.6751424669405799,0.803474297872113,0.16972513352442734,2.28372508606629,0.465546683700227
train,pre_refine,rectangular_notch,134,0.6925647381363653,0.8150206606158528,0.19810118500957336,2.1131544887519182,0.5226818834667775
train,pre_refine,rotated_rect,134,0.6577201957447947,0.7919279351283733,0.14134908203928132,2.454295683380663,0.40841148393367654
train,post_refine,all,268,0.6689508896783174,0.7989695462153323,0.15419398658909925,2.323801532956265,0.46871071486775556
train,post_refine,rectangular_notch,134,0.6813625128148915,0.8071235365500019,0.1892012609925921,2.1460445124509904,0.5244520980475554
train,post_refine,rotated_rect,134,0.6565392665417435,0.7908155558806628,0.1191867121856064,2.5015585534615394,0.4129693316879557
val,pre_refine,all,66,0.6842892936156588,0.8106566364327246,0.1663972342205602,2.278823387517665,0.4841320356636336
val,pre_refine,rectangular_notch,33,0.6926354807797245,0.8161223610666487,0.2040689467152679,2.3290334224924893,0.5618030469525944
val,pre_refine,rotated_rect,33,0.6759431064515931,0.8051909117988004,0.12872552172585253,2.228613352542841,0.40646102437467285
val,post_refine,all,66,0.6738176628013544,0.8033980943042853,0.1480539428401858,2.442848869242422,0.48698194076617557
val,post_refine,rectangular_notch,33,0.6798922330931529,0.8073107354938504,0.19126558134339433,2.3652601104039706,0.5590158547415878
val,post_refine,rotated_rect,33,0.6677430925095559,0.7994854531147203,0.10484230433697729,2.5204376280808742,0.41494802679076337
test,pre_refine,all,66,0.6588795630886902,0.7920894007101739,0.21703560095098332,2.278041681047825,0.4840764979069883
test,pre_refine,rectangular_notch,33,0.6660204204731045,0.7966548447154609,0.23601496203044212,2.0788555175304477,0.5588897191213839
test,pre_refine,rotated_rect,33,0.6517387057042761,0.7875239567048865,0.19805623987152457,2.477227844565201,0.4092632766925927
test,post_refine,all,66,0.6619721652483872,0.7938341322219705,0.22426195758129092,2.460918061773609,0.4967522630185792
test,post_refine,rectangular_notch,33,0.6737399214454779,0.8025860834509211,0.2361209800659756,2.099256475953738,0.5658536724972002
test,post_refine,rotated_rect,33,0.6502044090512964,0.7850821809930201,0.2124029350966062,2.822579647593479,0.42765085353995813
