seed,source_index,sample_id,split,defect_group,task_group,defect_type,component_count,component_types,component_type_combination,source_dataset,source_pack,angle_deg,vertex_count,distance_bin,threshold,iou,dice,area_error,center_error,pred_area,true_area,pred_area_zero,bce_loss,dice_loss,total_loss,residual_l2_loss,base_abs_mean,weighted_residual_abs_mean,scaled_residual_abs_mean,residual_to_base_abs_ratio,residual_dominates_base,prob_min,prob_max,prob_mean,true_task_label,pred_task_label,task_gate_correct,gate_prob_single,gate_prob_cc2,gate_prob_cc3,true_count_label,pred_count_label,count_head_correct,true_connected_component_count,pred_connected_component_count,predicted_component_count_correct,predicted_component_count_is_1,predicted_component_count_is_2,predicted_component_count_is_3,component_count_error,missed_component_flag,merged_component_flag,split_component_flag,extra_fragment_flag,largest_component_area_ratio,second_largest_component_area_ratio,third_largest_component_area_ratio,component_recall_heuristic,polygon_component_present,notes
42,782,cc2_sample_183,val,multi_defect,multi_defect_cc2,multi_defect,2,rotated_rect+rotated_rect,rotated_rect+rotated_rect,multi_defect_pilot_v3,multi_defect_pilot_v3,,,,0.6,0.6648936170212766,0.7987220447284346,0.00641025641025641,1.0009036519252503,628,624,0,0.09019550681114197,0.22294777631759644,0.3256795406341553,31.361175537109375,27.37948226928711,2.9536147117614746,1.033765149116516,0.03775692830671749,0,0.0,0.9999963045120239,0.08181477338075638,1,1,1,3.2266106586575916e-07,0.9382128715515137,0.06178678572177887,1,1,1,2,2,1,0,1,0,0,0,0,0,0,0.552547770700637,0.44745222929936307,0.0,1.0,no,topology_gated_v2_candidate_eval
42,783,cc2_sample_184,val,multi_defect,multi_defect_cc2,multi_defect,2,rectangular_notch+polygon,rectangular_notch+polygon,multi_defect_pilot_v3,multi_defect_pilot_v3,,,,0.6,0.5051334702258727,0.6712141882673943,0.22303030303030302,9.295465853960893,641,825,0,0.16026043891906738,0.34347599744796753,0.5040774941444397,1.3396904468536377,24.922649383544922,0.6223229169845581,0.21781302094459531,0.008739561255811169,0,0.0,0.9974853992462158,0.08492381125688553,1,1,1,3.786843549846708e-08,0.9990083575248718,0.000991629553027451,1,1,1,2,2,1,0,1,0,0,0,0,0,0,0.5117004680187207,0.48829953198127923,0.0,1.0,yes,topology_gated_v2_candidate_eval
42,784,cc2_sample_185,val,multi_defect,multi_defect_cc2,multi_defect,2,rotated_rect+polygon,rotated_rect+polygon,multi_defect_pilot_v3,multi_defect_pilot_v3,,,,0.6,0.541507024265645,0.7025683512841756,0.16308243727598568,0.7580150363510048,649,558,0,0.1290886551141739,0.31881779432296753,0.4479683041572571,0.6105351448059082,40.8492317199707,0.45806944370269775,0.1603243052959442,0.003924781410700647,0,0.0,0.9999366998672485,0.08367496728897095,1,1,1,3.49712550584691e-11,0.999997615814209,2.3722670903225662e-06,1,1,1,2,2,1,0,1,0,0,0,0,0,0,0.5531587057010786,0.44684129429892144,0.0,1.0,yes,topology_gated_v2_candidate_eval
42,785,cc2_sample_186,val,multi_defect,multi_defect_cc2,multi_defect,2,rectangular_notch+rectangular_notch,rectangular_notch+rectangular_notch,multi_defect_pilot_v3,multi_defect_pilot_v3,,,,0.6,0.5513361462728551,0.7107887579329103,0.03505535055350553,4.178405690963172,561,542,0,0.11518128961324692,0.3132290840148926,0.42883801460266113,4.226977348327637,33.25104904174805,1.0617625713348389,0.3716168999671936,0.01117609551207282,0,0.0,0.9993877410888672,0.07435519993305206,1,1,1,1.58998841870428e-10,0.9999790191650391,2.102339749399107e-05,1,1,1,2,2,1,0,1,0,0,0,0,0,0,0.5614973262032086,0.4385026737967914,0.0,1.0,no,topology_gated_v2_candidate_eval
42,786,cc2_sample_187,val,multi_defect,multi_defect_cc2,multi_defect,2,rectangular_notch+rotated_rect,rectangular_notch+rotated_rect,multi_defect_pilot_v3,multi_defect_pilot_v3,,,,0.6,0.6781883194278904,0.8082386363636364,0.12516644474034622,1.6446299756422709,657,751,0,0.06814107298851013,0.2432432770729065,0.5029834508895874,4.89079475402832,27.67575454711914,1.2178936004638672,0.4262627601623535,0.01540202849525288,0,0.0,0.9981337189674377,0.08875662833452225,1,2,0,5.8989147788679475e-08,0.2518271207809448,0.7481728196144104,1,2,0,2,5,0,0,0,0,3,0,0,1,1,0.5083713850837138,0.487062404870624,0.0015220700152207,1.0,no,topology_gated_v2_candidate_eval
42,787,cc2_sample_188,val,multi_defect,multi_defect_cc2,multi_defect,2,rotated_rect+rotated_rect,rotated_rect+rotated_rect,multi_defect_pilot_v3,multi_defect_pilot_v3,,,,0.6,0.5555555555555556,0.7142857142857143,0.2055084745762712,7.736011615754341,750,944,0,0.1642354279756546,0.29018962383270264,0.45489636063575745,3.640564203262329,17.509145736694336,0.9264439344406128,0.3242553770542145,0.018519200304253833,0,0.0,0.9998472929000854,0.09953559190034866,1,1,1,2.2878060690345592e-07,0.9994414448738098,0.000558303901925683,1,1,1,2,2,1,0,1,0,0,0,0,0,0,0.572,0.428,0.0,1.0,no,topology_gated_v2_candidate_eval
42,788,cc2_sample_189,val,multi_defect,multi_defect_cc2,multi_defect,2,rectangular_notch+polygon,rectangular_notch+polygon,multi_defect_pilot_v3,multi_defect_pilot_v3,,,,0.6,0.5308924485125858,0.6935724962630793,0.017777777777777778,6.1077149800767305,663,675,0,0.17685118317604065,0.31096261739730835,0.4879375398159027,1.237044334411621,36.39189147949219,0.5812651515007019,0.20344280302524564,0.00559033330652492,0,0.0,0.9999963045120239,0.08389618992805481,1,1,1,4.32651978073172e-15,0.9999997615814209,2.6388485707684595e-07,1,1,1,2,2,1,0,1,0,0,0,0,0,0,0.5987933634992458,0.40120663650075417,0.0,1.0,yes,topology_gated_v2_candidate_eval
42,789,cc2_sample_190,val,multi_defect,multi_defect_cc2,multi_defect,2,rotated_rect+polygon,rotated_rect+polygon,multi_defect_pilot_v3,multi_defect_pilot_v3,,,,0.6,0.5255570117955439,0.6890034364261168,0.16759776536312848,6.220519139646297,627,537,0,0.1301865577697754,0.33956748247146606,0.4699343144893646,1.78025484085083,25.73453140258789,0.6821470260620117,0.2387514591217041,0.009277474510287567,0,0.0,0.9989396929740906,0.08172101527452469,1,1,1,6.568012245189436e-10,0.9999874830245972,1.2545790923468303e-05,1,1,1,2,2,1,0,1,0,0,0,0,0,0,0.5279106858054227,0.47208931419457734,0.0,1.0,yes,topology_gated_v2_candidate_eval
42,790,cc2_sample_191,val,multi_defect,multi_defect_cc2,multi_defect,2,rectangular_notch+rectangular_notch,rectangular_notch+rectangular_notch,multi_defect_pilot_v3,multi_defect_pilot_v3,,,,0.6,0.6239406779661016,0.7684279191128506,0.014248704663212436,4.541039511242421,761,772,0,0.10810758173465729,0.2471299171447754,0.35533761978149414,1.001190423965454,26.451465606689453,0.54837965965271,0.19193288087844848,0.0072560395606173726,0,0.0,0.9997876286506653,0.09822851419448853,1,1,1,2.2249728643709832e-13,1.0,4.029853073461709e-08,1,1,1,2,2,1,0,1,0,0,0,0,0,0,0.5374507227332457,0.46254927726675427,0.0,1.0,no,topology_gated_v2_candidate_eval
42,791,cc2_sample_192,val,multi_defect,multi_defect_cc2,multi_defect,2,rectangular_notch+rotated_rect,rectangular_notch+rotated_rect,multi_defect_pilot_v3,multi_defect_pilot_v3,,,,0.6,0.61795166858458,0.7638691322901849,0.09538002980625931,6.036932539589977,735,671,0,0.11240623146295547,0.25669682025909424,0.3693163990974426,2.1334004402160645,32.65542984008789,0.7537780404090881,0.2638223141431808,0.008078972331251075,0,0.0,0.9999178647994995,0.09511658549308777,1,1,1,1.0056895366396951e-13,1.0,2.7366031218889475e-08,1,1,1,2,2,1,0,1,0,0,0,0,0,0,0.5306122448979592,0.46938775510204084,0.0,1.0,no,topology_gated_v2_candidate_eval
