split,group_name,group_value,sample_count,dense_iou_mean,dense_dice_mean,dense_area_error_mean,geometry_iou_mean,geometry_dice_mean,geometry_area_error_mean,angle_mae_deg,empty_count,fallback_count
train,overall,rect_rot,268,0.7093096648354792,0.8273175459855923,0.12770759815374427,0.6961936279459551,0.8181925265895916,0.14162255137949212,20.069571073996755,0,0
train,defect_type,rectangular_notch,134,0.7220537888340743,0.8354220263075762,0.18566191388802203,0.711245169605268,0.827823697553445,0.19664514090404764,nan,0,0
train,defect_type,rotated_rect,134,0.6965655408368842,0.8192130656636084,0.06975328241946653,0.6811420862866422,0.8085613556257382,0.08659996185493653,20.069571073996755,0,0
train,source_pack,pilot_v2_rectangular_notch,81,0.740323239774237,0.8486379931021516,0.16501350272565565,0.7322001425838918,0.8429041282471194,0.17168066575365118,nan,0,0
train,source_pack,pilot_v3_rotated_rect,30,0.6821377316775219,0.80917331616082,0.11032838936789854,0.6556335449405227,0.7901545216236754,0.15369853827104984,20.178224590641722,0,0
train,source_pack,pilot_v7_topup_rotated_rect,16,0.7117517062627705,0.8301337914622849,0.059500636111258234,0.7030613815473001,0.8241051557838011,0.05845687298077432,20.11194341556696,0,0
train,source_pack,pilot_v8_topup_rotated_rect,24,0.7181338244243158,0.8341697050550021,0.04573912810547163,0.7032493489004686,0.8244436554743699,0.06769736749241068,19.94017740730543,0,0
train,source_pack,pilot_v9_topup_rectangular_notch,53,0.6941325524915616,0.8152240393196404,0.21721891962673287,0.6792196448643523,0.8047762468706594,0.23479839537918193,nan,0,0
train,source_pack,pilot_v9_topup_rotated_rect,64,0.691443928678577,0.8155802770215989,0.062302170482189216,0.6793291677472865,0.8073477465814527,0.06927174926437113,20.056569277686123,0,0
val,overall,rect_rot,66,0.6760053781115819,0.8038285869528501,0.15756468878391328,0.6774553461882845,0.805482977173386,0.15169980540634018,19.528340909516306,0,0
val,defect_type,rectangular_notch,33,0.6682151516206245,0.7977029673113623,0.23219748283767538,0.684361237566556,0.8102067669221201,0.2022128851270475,nan,0,0
val,defect_type,rotated_rect,33,0.6837956046025395,0.8099542065943381,0.08293189473015115,0.6705494548100128,0.8007591874246521,0.10118672568563292,19.528340909516306,0,0
val,source_pack,pilot_v2_rectangular_notch,19,0.6708828499599727,0.7992917704729902,0.2370313188654322,0.6763466347704955,0.8046626466256971,0.21359787074128314,nan,0,0
val,source_pack,pilot_v3_rotated_rect,9,0.6908878110370953,0.8154923058612232,0.08722600151171579,0.6679335951262948,0.799363922528785,0.10750017178588606,16.78310620912951,0,0
val,source_pack,pilot_v7_topup_rotated_rect,8,0.6930605627365136,0.8156802223918092,0.061445529291596496,0.6827715702604076,0.8089491833474209,0.05728979488937887,22.676840485304936,0,0
val,source_pack,pilot_v8_topup_rotated_rect,8,0.6917165183430913,0.8161564225432643,0.09143585305492584,0.6931703388840555,0.8175930006043498,0.09968586868343954,17.27808035343928,0,0
val,source_pack,pilot_v9_topup_rectangular_notch,14,0.6645947038743661,0.7955467344491528,0.22563727680000542,0.695238198504067,0.8177309301815515,0.1867618332220134,nan,0,0
val,source_pack,pilot_v9_topup_rotated_rect,8,0.658631000489138,0.7917956131726946,0.09108343171467098,0.6386492974297576,0.7773050513300364,0.13948188662129551,21.718490927739836,0,0
test,overall,rect_rot,66,0.6683641809764549,0.7981602444883208,0.1898151354730596,0.6725581527673428,0.8017130887704693,0.19446731397193992,19.398328587812824,0,0
test,defect_type,rectangular_notch,33,0.6576556955984045,0.7897610881590366,0.26158225585279066,0.6756097268465386,0.8039150823460862,0.2320454622511572,nan,0,0
test,defect_type,rotated_rect,33,0.679072666354505,0.8065594008176052,0.11804801509332856,0.669506578688147,0.7995110951948523,0.15688916569272265,19.398328587812824,0,0
test,source_pack,pilot_v2_rectangular_notch,20,0.6973381731127122,0.8187520202466884,0.2029900864200295,0.7044524986369105,0.8244193354859645,0.18316865316455727,nan,0,0
test,source_pack,pilot_v3_rotated_rect,9,0.6868978432606124,0.8127983014328475,0.09404235274771369,0.6714976044450284,0.8016127876016507,0.1350609016412119,21.0196839243656,0,0
test,source_pack,pilot_v7_topup_rotated_rect,8,0.6865617196809919,0.8122614490175751,0.06269649596240169,0.6752469500225007,0.8042641949745647,0.09253720054967593,16.123885993138128,0,0
test,source_pack,pilot_v8_topup_rotated_rect,8,0.6647665971534582,0.7970530619998036,0.10230803095296696,0.6654139324873343,0.7966342143669594,0.1424693151319105,22.311981410785382,0,0
test,source_pack,pilot_v9_topup_rectangular_notch,13,0.5966057301917775,0.7451596541780334,0.3517240549801155,0.6312362317844283,0.7723700775155046,0.30724055315361853,nan,0,0
test,source_pack,pilot_v9_topup_rotated_rect,8,0.6770863582096938,0.8033449282432893,0.21614588850343378,0.6656189495781144,0.7952704722853848,0.260217778454531,17.935093605893087,0,0
