sample_id,source_index,split,defect_type,source_pack,threshold,pred_defect_type,type_prob_rectangular_notch,type_prob_rotated_rect,initial_iou,refined_iou,delta_iou,initial_dice,refined_dice,delta_dice,initial_area_error,refined_area_error,delta_area_error,initial_center_error_px,refined_center_error_px,initial_pred_area,refined_pred_area,true_area,initial_forward_mse,refined_forward_mse,initial_forward_nrmse,refined_forward_nrmse,forward_nrmse_reduction,initial_forward_correlation,refined_forward_correlation,true_center_x,true_center_y,initial_center_x,initial_center_y,refined_center_x,refined_center_y,center_drift_m,true_width,initial_width,refined_width,width_drift_m,true_length,initial_length,refined_length,length_drift_m,true_depth,initial_depth,refined_depth,depth_drift_m,true_angle_deg,initial_angle_deg,refined_angle_deg,initial_angle_abs_error_deg,refined_angle_abs_error_deg,angle_error_delta,parameter_drift_norm,refinement_category,notes,dense_threshold,geometry_threshold,dense_iou,dense_dice,dense_area_error,dense_center_error_px,dense_pred_area
rect_v9_0050,169,test,rectangular_notch,pilot_v9_topup_rectangular_notch,0.5,rectangular_notch,0.7780131697654724,0.22198686003684998,0.7153652392947103,0.6243654822335025,-0.09099975706120778,0.8340675477239354,0.76875,-0.06531754772393539,0.06534090909090909,0.18181818181818182,0.11647727272727273,3.0694761800539374,3.8633336928386366,329.0,288.0,352.0,0.36643555760383606,0.2746089994907379,1.4707532905007104,1.2732052094302662,0.1975480810704442,0.8750182247724567,0.8802993411485777,-0.0022499999031424522,0.0010000000474974513,-0.0020818128250539303,-2.7100270017399453e-05,-0.0017554424703121185,-0.0002186341444030404,0.00037842150517889317,0.009999999776482582,0.009528378024697304,0.009069637395441532,-0.00045874062925577164,0.007000000216066837,0.006784556433558464,0.006491010542958975,-0.0002935458905994892,0.0024999999441206455,0.001500000013038516,0.001586060505360365,8.606049232184887e-05,0.0,-2.237624186722714,4.916464079676266,nan,nan,nan,0.48532500822560615,surrogate_mismatch,,0.8,0.5,0.6794871794871795,0.8091603053435115,0.13920454545454544,3.2553075929218473,303.0
rect_v9_0049,168,test,rectangular_notch,pilot_v9_topup_rectangular_notch,0.5,rotated_rect,0.4354371130466461,0.5645629167556763,0.6274509803921569,0.5480769230769231,-0.07937405731523373,0.7710843373493976,0.7080745341614907,-0.06300980318790694,0.10285714285714286,0.16,0.05714285714285715,3.826134583910094,4.47213595499958,314.0,294.0,350.0,0.14356990158557892,0.09974201023578644,0.6507051424622711,0.5423649253850867,0.10834021707718433,0.9108138518364448,0.9179001560205198,0.0,0.0010000000474974513,0.0007635409128852189,-7.696008105995134e-05,0.0011429032310843468,-0.00020572240464389324,0.0004006189040945155,0.008999999612569809,0.009131977334618568,0.00871395505964756,-0.0004180222749710083,0.00800000037997961,0.0069174859672784805,0.00662081828340888,-0.0002966676838696003,0.002199999988079071,0.001500000013038516,0.0015814932994544506,8.149328641593456e-05,0.0,-6.77910405077611,-0.5565345924649229,nan,nan,nan,0.440328575199852,surrogate_mismatch,,0.8,0.5,0.6373056994818653,0.7784810126582279,0.19428571428571428,3.7387458340261785,282.0
rect_v9_0010,129,test,rectangular_notch,pilot_v9_topup_rectangular_notch,0.5,rotated_rect,0.49195629358291626,0.5080437064170837,0.5882352941176471,0.5294117647058824,-0.05882352941176472,0.7407407407407407,0.6923076923076923,-0.04843304843304841,0.4117647058823529,0.47058823529411764,0.05882352941176472,1.9942612110197029,1.704222948249088,300.0,270.0,510.0,0.04164779186248779,0.02664673514664173,0.30513184579796704,0.24406952089814993,0.06106232489981711,0.9664241818335946,0.9719932598481451,0.001500000013038516,-0.0005000000237487257,0.0021143867634236813,-2.830072662618477e-05,0.001801891252398491,-8.196430280804634e-05,0.00031706974629369525,0.010999999940395355,0.009072461165487766,0.008674243465065956,-0.00039821770042181015,0.009499999694526196,0.006513997912406921,0.006254243198782206,-0.0002597547136247158,0.0015999999595806003,0.001500000013038516,0.0014667350333184004,-3.326497972011566e-05,0.0,6.0965329380522935,10.829422023406128,nan,nan,nan,0.32899020023091735,surrogate_mismatch,,0.8,0.5,0.5647058823529412,0.7218045112781954,0.43529411764705883,2.209828721506505,288.0
rect_v9_0054,173,test,rectangular_notch,pilot_v9_topup_rectangular_notch,0.5,rotated_rect,0.14468879997730255,0.8553112149238586,0.7207446808510638,0.6720430107526881,-0.04870167009837567,0.8377125193199382,0.8038585209003215,-0.03385399841961667,0.2418478260869565,0.30978260869565216,0.06793478260869565,1.5462003757794862,1.2039007013677647,279.0,254.0,368.0,0.07223145663738251,0.05256492272019386,0.39017755516839514,0.33284888904993926,0.057328666118455884,0.9301754603338064,0.9434260906122173,0.003000000026077032,0.0005000000237487257,0.0022398701403290033,0.00024729204596951604,0.0025603389367461205,0.0003035040572285652,0.00032536139858136694,0.009999999776482582,0.00852834340184927,0.008182818070054054,-0.0003455253317952156,0.007499999832361937,0.006532990373671055,0.006272569298744202,-0.0002604210749268532,0.0015999999595806003,0.001500000013038516,0.0014808952109888196,-1.9104802049696445e-05,0.0,11.33064008772188,16.176172652867564,nan,nan,nan,0.32206840670820824,surrogate_mismatch,,0.8,0.5,0.6802168021680217,0.8096774193548387,0.31521739130434784,1.4673420591562496,252.0
rect_v9_0014,133,test,rectangular_notch,pilot_v9_topup_rectangular_notch,0.5,rotated_rect,0.2295534759759903,0.7704465389251709,0.6368286445012787,0.5923076923076923,-0.04452095219358643,0.778125,0.7439613526570048,-0.03416364734299515,0.358974358974359,0.4076923076923077,0.04871794871794871,2.3430202730663665,2.7943756475881982,250.0,231.0,390.0,0.16097736358642578,0.09152837842702866,0.7893445574364797,0.5951988695865513,0.19414568784992836,0.924560053834085,0.9335518619511884,-0.0022499999031424522,0.0010000000474974513,-0.00247511500492692,0.0001976639759959653,-0.0021983918268233538,3.948109224438667e-05,0.0003187436932893001,0.00800000037997961,0.007460585329681635,0.007229549810290337,-0.0002310355193912983,0.009499999694526196,0.006749869789928198,0.006462391931563616,-0.00028747785836458206,0.0015999999595806003,0.001500000013038516,0.001539895893074572,3.989588003605604e-05,0.0,12.811622321492928,18.2779328510545,nan,nan,nan,0.3830424933722277,surrogate_mismatch,,0.8,0.5,0.549367088607595,0.7091503267973857,0.4307692307692308,2.5238413540842832,222.0
rot_v7_0017,264,test,rotated_rect,pilot_v7_topup_rotated_rect,0.5,rectangular_notch,0.8728325963020325,0.12716738879680634,0.6271186440677966,0.5827814569536424,-0.04433718711415424,0.7708333333333334,0.7364016736401674,-0.03443165969316597,0.0,0.008333333333333333,0.008333333333333333,2.671808194421479,3.467943850771684,240.0,238.0,240.0,0.1931000053882599,0.15009282529354095,0.6026656871643797,0.5313311637148923,0.07133452344948743,0.8591194241109611,0.8710344643818623,-0.001500000013038516,0.0010000000474974513,-0.00277136592194438,0.00019352033268660307,-0.002530981320887804,7.938826456665993e-06,0.0003036861074855109,0.00800000037997961,0.007597584743052721,0.007345458492636681,-0.0002521262504160404,0.006000000052154064,0.006374563556164503,0.006114767398685217,-0.0002597961574792862,0.0010000000474974513,0.001500000013038516,0.0014147476758807898,-8.525233715772629e-05,-20.000000659393134,-0.786979892336717,5.950701995970174,19.21302076705642,25.9507026553633,6.737681888306881,0.43289976654687773,surrogate_mismatch,,0.8,0.5,0.5868852459016394,0.7396694214876033,0.016666666666666666,3.267884393832803,244.0
rect_v9_0017,136,test,rectangular_notch,pilot_v9_topup_rectangular_notch,0.5,rectangular_notch,0.6504920721054077,0.3495079278945923,0.604040404040404,0.56,-0.04404040404040399,0.7531486146095718,0.717948717948718,-0.03519989666085388,0.3662551440329218,0.3950617283950617,0.028806584362139898,3.325418760730988,4.0,308.0,294.0,486.0,0.20975175499916077,0.14431284368038177,0.978125870806749,0.8113242117512962,0.16680165905545274,0.89363145933851,0.9001713623310199,0.0,0.0010000000474974513,-0.00044139643432572484,2.218808549514506e-05,-3.174273297190666e-05,-0.00016050529666244984,0.00044854545913537936,0.010999999940395355,0.009002014063298702,0.008592833764851093,-0.00040918029844760895,0.008500000461935997,0.006785611622035503,0.006494857836514711,-0.000290753785520792,0.0024999999441206455,0.001500000013038516,0.0015831774799153209,8.317746687680483e-05,0.0,-4.1363915896636945,2.848230078473749,nan,nan,nan,0.48567820443184484,surrogate_mismatch,,0.8,0.5,0.59026369168357,0.7423469387755102,0.3868312757201646,3.443417423576919,298.0
rect_v9_0055,174,test,rectangular_notch,pilot_v9_topup_rectangular_notch,0.5,rectangular_notch,0.7788681387901306,0.221131831407547,0.6019607843137255,0.5588235294117647,-0.04313725490196074,0.7515299877600979,0.7169811320754716,-0.03454885568462629,0.3980392156862745,0.4411764705882353,0.0431372549019608,0.5472530823945221,0.5913738172169545,307.0,285.0,510.0,0.13028545677661896,0.10103639960289001,0.4443533995122441,0.39130866786758667,0.05304473164465745,0.9244686952165853,0.9301349025272049,-0.003000000026077032,0.0,-0.0028591561131179333,4.755728514282964e-05,-0.0026332188863307238,-0.0001384490169584751,0.00029265333796673287,0.010999999940395355,0.008861511945724487,0.008466874249279499,-0.00039463769644498825,0.009499999694526196,0.00673494441434741,0.006448808591812849,-0.00028613582253456116,0.0010000000474974513,0.001500000013038516,0.0015296170022338629,2.9616989195346832e-05,0.0,-2.2227518766918344,3.7926678692115035,nan,nan,nan,0.4118862969632886,surrogate_mismatch,,0.8,0.5,0.5568627450980392,0.7153652392947103,0.44313725490196076,0.1684998044226125,284.0
rect_v9_0016,135,test,rectangular_notch,pilot_v9_topup_rectangular_notch,0.5,rotated_rect,0.22567379474639893,0.7743262052536011,0.5542986425339367,0.5158371040723982,-0.038461538461538436,0.7132459970887919,0.6805970149253732,-0.032648982163418716,0.4457013574660634,0.4841628959276018,0.038461538461538436,1.4687257579060484,0.9393033082195821,245.0,228.0,442.0,0.11556724458932877,0.05951649695634842,0.6447744481826873,0.46271024963142743,0.18206419855125983,0.9551045451471621,0.9592602896913145,-0.001500000013038516,0.0,-0.0024247446563094854,0.00020733653218485415,-0.0021441697608679533,5.773082375526428e-05,0.0003179687719678556,0.010999999940395355,0.007322471588850021,0.007111769635230303,-0.00021070195361971855,0.008500000461935997,0.006752863992005587,0.0064667025581002235,-0.0002861614339053631,0.0019000000320374966,0.001500000013038516,0.0015393381472676992,3.93381342291832e-05,0.0,12.976684088070042,18.370927584151516,nan,nan,nan,0.37476705055020737,surrogate_mismatch,,0.8,0.5,0.47737556561085975,0.6462480857580398,0.5226244343891403,1.5071555776881005,211.0
rect_v9_0038,157,test,rectangular_notch,pilot_v9_topup_rectangular_notch,0.5,rectangular_notch,0.8444035053253174,0.15559647977352142,0.5604395604395604,0.5231607629427792,-0.0372787974967812,0.7183098591549296,0.6869409660107334,-0.03136889314419622,0.32941176470588235,0.3558823529411765,0.026470588235294135,3.5355339059327378,3.9762206010661725,228.0,219.0,340.0,0.08257739245891571,0.05730539932847023,0.5671729496105429,0.472479204901506,0.09469374470903685,0.9185230451039682,0.9229261430449264,-0.001500000013038516,0.0010000000474974513,-0.0001503865933045745,9.438009146833792e-05,0.0001395191065967083,-6.436114199459553e-05,0.00033052093992150825,0.010999999940395355,0.007604237645864487,0.00735514797270298,-0.00024908967316150665,0.006500000134110451,0.006081854458898306,0.005851819179952145,-0.00023003527894616127,0.002199999988079071,0.001500000013038516,0.0014183726161718369,-8.162739686667919e-05,0.0,0.9259063135807465,7.274154027384519,nan,nan,nan,0.40364288480865373,surrogate_mismatch,,0.8,0.5,0.5679347826086957,0.7244367417677643,0.3029411764705882,3.4048626410746956,237.0
