candidate,seed,split,group_type,group,threshold,n,iou,dice,area_error,center_error,pred_area_zero,pred_area_lt_true,pred_area_gt_true,bz_mse,composite,macro_area_composite,active_component_count,collapsed_component_count,out_of_image_center_count,avg_scale_x,avg_scale_y
anisotropic_basis_forward_screening,42,val,overall,all,0.5,129,0.3733212192915892,0.5215089870633038,0.6484917833575401,1.107401633187551,0,5,124,0.1836040294296,0.24633842299735287,0.24633842299735284,0.0,0.0,0.0,2.4345795692399492,1.9191615609235542
anisotropic_basis_forward_screening,42,val,area_bin,small,0.5,43,0.2450851344792146,0.36754217892736835,0.9545835344305104,1.2465035158187845,0,1,42,0.20922663057396232,-0.3419562210239274,0.24633842299735284,0.0,0.0,0.0,2.4619103975074235,1.872853584067766
anisotropic_basis_forward_screening,42,val,area_bin,medium,0.5,43,0.3946582038787621,0.5569506769603858,0.6769809626268202,1.0528163442084955,0,0,43,0.19788664562064548,0.2746279182123277,0.24633842299735284,0.0,0.0,0.0,2.3674853153006974,1.8519330246503962
anisotropic_basis_forward_screening,42,val,area_bin,large,0.5,43,0.480220319516791,0.6400341053021573,0.31391085301529015,1.0228850395353728,0,4,39,0.14369881209419216,0.8063435718036582,0.24633842299735284,0.0,0.0,0.0,2.474342994911726,2.0326980740525
anisotropic_basis_forward_screening,42,val,signal_bin,low_signal,0.5,43,0.2763494448345393,0.40760254980453786,0.7678517892149954,1.1599501492672188,0,3,40,0.21982575878284352,-0.08389979457591823,0.24633842299735284,0.0,0.0,0.0,2.474948539290317,1.8727573433587716
anisotropic_basis_forward_screening,42,val,signal_bin,non_low_signal,0.5,86,0.4218071065201142,0.5784622056926868,0.5888117804288122,1.0811273751477168,0,2,84,0.16549316475297823,0.4114575317839888,0.24633842299735284,0.0,0.0,0.0,2.414395084214765,1.9423636697059454
anisotropic_basis_forward_screening,42,val,defect_type,polygon,0.5,72,0.31250140830579426,0.4506078604157908,0.80229874426938,1.1675951044178672,0,2,70,0.18393322522105235,-0.03918947554779495,0.24633842299735284,0.0,0.0,0.0,2.4035111880964704,1.8615685833825006
anisotropic_basis_forward_screening,42,val,defect_type,rotated_rect,0.5,57,0.4501462436946987,0.6110683049338465,0.45420930641626867,1.031367774791362,0,3,54,0.1831882031667128,0.6070052422122765,0.24633842299735284,0.0,0.0,0.0,2.4738238401580275,1.9919105851859378
anisotropic_basis_forward_screening,42,val,overall,all,0.6,129,0.36953763753850066,0.5129939859224181,0.4694147910703782,1.1159603325722292,0,18,110,0.1836040294296,0.41311683239054053,0.4131168323905403,0.0,0.0,0.0,2.4345795692399492,1.9191615609235542
anisotropic_basis_forward_screening,42,val,area_bin,small,0.6,43,0.23557616252587232,0.34733102100147156,0.704131186725811,1.2705629175139028,0,6,36,0.20922663057396232,-0.12122400319846716,0.4131168323905403,0.0,0.0,0.0,2.4619103975074235,1.872853584067766
anisotropic_basis_forward_screening,42,val,area_bin,medium,0.6,43,0.3976557880119143,0.5574499723329509,0.48706492084772707,1.0553704572971476,0,1,42,0.19788664562064548,0.4680408394971381,0.4131168323905403,0.0,0.0,0.0,2.3674853153006974,1.8519330246503962
anisotropic_basis_forward_screening,42,val,area_bin,large,0.6,43,0.47538096207771524,0.6342009644328314,0.2170482656375967,1.021947622905637,0,11,32,0.14369881209419216,0.8925336608729499,0.4131168323905403,0.0,0.0,0.0,2.474342994911726,2.0326980740525
anisotropic_basis_forward_screening,42,val,signal_bin,low_signal,0.6,43,0.2644794387677194,0.38606527836281584,0.5562194682841439,1.1838771326597346,0,10,32,0.21982575878284352,0.09432524884639126,0.4131168323905403,0.0,0.0,0.0,2.474948539290317,1.8727573433587716
anisotropic_basis_forward_screening,42,val,signal_bin,non_low_signal,0.6,86,0.42206673692389135,0.576458339702219,0.4260124524634955,1.0820019325284764,0,8,78,0.16549316475297823,0.572512624162615,0.4131168323905403,0.0,0.0,0.0,2.414395084214765,1.9423636697059454
anisotropic_basis_forward_screening,42,val,defect_type,polygon,0.6,72,0.30517921152379185,0.43675197464380056,0.6000325259556545,1.1833730683558517,0,9,62,0.18393322522105235,0.14189866021193787,0.4131168323905403,0.0,0.0,0.0,2.4035111880964704,1.8615685833825006
anisotropic_basis_forward_screening,42,val,defect_type,rotated_rect,0.6,57,0.4508324914518171,0.609299684379619,0.3044239680573975,1.0308074031613375,0,9,48,0.1831882031667128,0.7557082077740387,0.4131168323905403,0.0,0.0,0.0,2.4738238401580275,1.9919105851859378
anisotropic_basis_forward_screening,42,val,overall,all,0.7,129,0.36032231252267266,0.499473889011451,0.3335674447711635,1.1176192880889704,0,39,89,0.1836040294296,0.5262287567629601,0.5262287567629601,0.0,0.0,0.0,2.4345795692399492,1.9191615609235542
anisotropic_basis_forward_screening,42,val,area_bin,small,0.7,43,0.22301152269094812,0.32562973242045495,0.529316085855549,1.2728011228663976,0,12,30,0.20922663057396232,0.019325169255854036,0.5262287567629601,0.0,0.0,0.0,2.4619103975074235,1.872853584067766
anisotropic_basis_forward_screening,42,val,area_bin,medium,0.7,43,0.3940143170803237,0.5505562759672443,0.3064798303457262,1.0580275478058083,0,7,36,0.19788664562064548,0.638090762701842,0.5262287567629601,0.0,0.0,0.0,2.3674853153006974,1.8519330246503962
anisotropic_basis_forward_screening,42,val,area_bin,large,0.7,43,0.4639410977967461,0.6222356586466538,0.1649064181122154,1.0220291935947052,0,20,23,0.14369881209419216,0.9212703383311845,0.5262287567629601,0.0,0.0,0.0,2.474342994911726,2.0326980740525
anisotropic_basis_forward_screening,42,val,signal_bin,low_signal,0.7,43,0.2476888095411243,0.36118463864926925,0.44455817221430666,1.1864775966766268,0,20,22,0.21982575878284352,0.16431527597608692,0.5262287567629601,0.0,0.0,0.0,2.474948539290317,1.8727573433587716
anisotropic_basis_forward_screening,42,val,signal_bin,non_low_signal,0.7,86,0.41663906401344686,0.5686185141925418,0.2780720810495919,1.0831901337951422,0,19,67,0.16549316475297823,0.7071854971563968,0.5262287567629601,0.0,0.0,0.0,2.414395084214765,1.9423636697059454
anisotropic_basis_forward_screening,42,val,defect_type,polygon,0.7,72,0.29551357686882207,0.4211311943270812,0.43057583801775984,1.1855033048325114,0,15,56,0.18393322522105235,0.28606893317814336,0.5262287567629601,0.0,0.0,0.0,2.4035111880964704,1.8615685833825006
anisotropic_basis_forward_screening,42,val,defect_type,rotated_rect,0.7,57,0.4421859786117471,0.5984330822969709,0.21103052698598926,1.0318710564129185,0,24,33,0.1831882031667128,0.8295885339227288,0.5262287567629601,0.0,0.0,0.0,2.4738238401580275,1.9919105851859378
anisotropic_basis_forward_screening,42,val,overall,all,0.8,129,0.3373500827419224,0.4715117869852831,0.2727086481743913,1.098581599265337,4,79,49,0.1836040294296,0.5361532215528142,0.5361532215528141,0.0,0.0,0.0,2.4345795692399492,1.9191615609235542
anisotropic_basis_forward_screening,42,val,area_bin,small,0.8,43,0.19779360418771416,0.2901810392777241,0.43255568389983595,1.2215559432903926,4,24,19,0.20922663057396232,0.05541895956560233,0.5361532215528141,0.0,0.0,0.0,2.4619103975074235,1.872853584067766
anisotropic_basis_forward_screening,42,val,area_bin,medium,0.8,43,0.37831754762721664,0.530081755507524,0.1935139091758617,1.06312203303326,0,21,21,0.19788664562064548,0.7148853939588788,0.5361532215528141,0.0,0.0,0.0,2.3674853153006974,1.8519330246503962
anisotropic_basis_forward_screening,42,val,area_bin,large,0.8,43,0.4359390964108363,0.5942725661706012,0.19205635144747626,1.0225062953351542,0,34,9,0.14369881209419216,0.8381553111339612,0.5361532215528141,0.0,0.0,0.0,2.474342994911726,2.0326980740525
anisotropic_basis_forward_screening,42,val,signal_bin,low_signal,0.8,43,0.21660487693466185,0.32040681801210924,0.4484753302961214,1.1277084064025145,4,31,12,0.21982575878284352,0.08853636465064973,0.5361532215528141,0.0,0.0,0.0,2.474948539290317,1.8727573433587716
anisotropic_basis_forward_screening,42,val,signal_bin,non_low_signal,0.8,86,0.39772268564555263,0.54706427147187,0.1848253071135263,1.085372930912431,0,48,37,0.16549316475297823,0.7599616500038963,0.5361532215528141,0.0,0.0,0.0,2.414395084214765,1.9423636697059454
anisotropic_basis_forward_screening,42,val,defect_type,polygon,0.8,72,0.2754929903791264,0.3942521553397319,0.3246963202653934,1.1535598909591926,4,36,35,0.18393322522105235,0.34504882545346494,0.5361532215528141,0.0,0.0,0.0,2.4035111880964704,1.8615685833825006
anisotropic_basis_forward_screening,42,val,defect_type,rotated_rect,0.8,57,0.41548535730545416,0.5691029006428213,0.2070400097436519,1.0329934618060004,0,43,14,0.1831882031667128,0.7775482482046235,0.5361532215528141,0.0,0.0,0.0,2.4738238401580275,1.9919105851859378
anisotropic_basis_forward_screening,42,val,overall,all,0.85,129,0.3115476271632697,0.4407224257403036,0.3102061407779655,1.1009968970788688,6,102,27,0.1836040294296,0.4420639121256078,0.44206391212560775,0.0,0.0,0.0,2.4345795692399492,1.9191615609235542
anisotropic_basis_forward_screening,42,val,area_bin,small,0.85,43,0.16751173235698796,0.24860813902202014,0.4467641445209463,1.2332257672741607,6,31,12,0.20922663057396232,-0.03064427314193824,0.44206391212560775,0.0,0.0,0.0,2.4619103975074235,1.872853584067766
anisotropic_basis_forward_screening,42,val,area_bin,medium,0.85,43,0.3588418051222384,0.5072000988384034,0.21166906521688894,1.0654767157379972,0,31,12,0.19788664562064548,0.6543728387437528,0.44206391212560775,0.0,0.0,0.0,2.3674853153006974,1.8519330246503962
anisotropic_basis_forward_screening,42,val,area_bin,large,0.85,43,0.40828934401058276,0.5663590393604871,0.2721852125960613,1.0227387482516987,0,40,3,0.14369881209419216,0.7024631707750086,0.44206391212560775,0.0,0.0,0.0,2.474342994911726,2.0326980740525
anisotropic_basis_forward_screening,42,val,signal_bin,low_signal,0.85,43,0.1822040235767193,0.27413196259109146,0.5157143999336828,1.1345714427329399,6,37,6,0.21982575878284352,-0.05937841376587205,0.44206391212560775,0.0,0.0,0.0,2.474948539290317,1.8727573433587716
anisotropic_basis_forward_screening,42,val,signal_bin,non_low_signal,0.85,86,0.37621942895654487,0.5240176573149097,0.2074520112001068,1.0865520344137451,0,65,21,0.16549316475297823,0.6927850750713478,0.44206391212560775,0.0,0.0,0.0,2.414395084214765,1.9423636697059454
anisotropic_basis_forward_screening,42,val,defect_type,polygon,0.85,72,0.25360930173021967,0.36530544493814154,0.3226475431309573,1.1599142743331012,6,50,22,0.18393322522105235,0.29626720353740393,0.44206391212560775,0.0,0.0,0.0,2.4035111880964704,1.8615685833825006
anisotropic_basis_forward_screening,42,val,defect_type,rotated_rect,0.85,57,0.38473288034185915,0.5359859804377716,0.2944906851741864,1.0327767760476523,0,52,5,0.1831882031667128,0.6262281756054443,0.44206391212560775,0.0,0.0,0.0,2.4738238401580275,1.9919105851859378
anisotropic_basis_forward_screening,42,val,overall,all,0.9,129,0.2658558668063651,0.3868674207088826,0.4265686126370641,1.098354056321022,10,123,6,0.1836040294296,0.22615467487818358,0.2261546748781836,0.0,0.0,0.0,2.4345795692399492,1.9191615609235542
anisotropic_basis_forward_screening,42,val,area_bin,small,0.9,43,0.12380131485184794,0.1901250574643396,0.5358112016095232,1.2316836507031412,10,40,3,0.20922663057396232,-0.2218848292933357,0.2261546748781836,0.0,0.0,0.0,2.4619103975074235,1.872853584067766
anisotropic_basis_forward_screening,42,val,area_bin,medium,0.9,43,0.316638188722738,0.458665791199568,0.332804361597581,1.0719976598440215,0,40,3,0.19788664562064548,0.44249961832472506,0.2261546748781836,0.0,0.0,0.0,2.3674853153006974,1.8519330246503962
anisotropic_basis_forward_screening,42,val,area_bin,large,0.9,43,0.35712809684450914,0.5118114134627402,0.4110902747040878,1.0223877408303494,0,43,0,0.14369881209419216,0.45784923560316143,0.2261546748781836,0.0,0.0,0.0,2.474342994911726,2.0326980740525
anisotropic_basis_forward_screening,42,val,signal_bin,low_signal,0.9,43,0.13029220854280213,0.20378549314429817,0.6385191254083868,1.1235715466918368,10,41,2,0.21982575878284352,-0.3044414237212866,0.2261546748781836,0.0,0.0,0.0,2.474948539290317,1.8727573433587716
