epoch,train_loss,train_bce,train_dice_loss,val_loss,val_bce,val_dice_loss,val_iou_at_0_5,val_dice_at_0_5,val_area_error_at_0_5,val_score_at_0_5,best_val_threshold,best_val_iou,best_val_dice,best_val_area_error,best_val_score
1,1.541617602109909,0.6531194746494293,0.8884981125593185,1.3527286052703857,0.4538893699645996,0.8988392949104309,nan,nan,nan,nan,0.5,0.03261555097937581,0.06314997954709234,0.09663808656006166,-0.0008725560335935134
2,1.2341275215148926,0.3396275117993355,0.8945000171661377,0.9887101650238037,0.21250316500663757,0.7762069702148438,nan,nan,nan,nan,0.4,0.2557838382603926,0.402948352207701,0.21059930844778546,0.44813288202030815
3,0.8493633270263672,0.15138565748929977,0.6979776620864868,0.6580221652984619,0.10286261886358261,0.5551595687866211,nan,nan,nan,nan,0.3,0.6096918907396724,0.7558783591921012,0.1086297000427563,1.2569405498890174
4,0.6788648217916489,0.10643028281629086,0.5724345296621323,0.6080681085586548,0.08771779388189316,0.5203503370285034,nan,nan,nan,nan,0.4,0.6299594724095988,0.7717096947631172,0.21109337181832857,1.1905757953543876
5,0.6375061869621277,0.09510425478219986,0.542401909828186,0.5824320912361145,0.0862165167927742,0.4962155818939209,nan,nan,nan,nan,0.4,0.649564654916561,0.7863244252662686,0.22046098335861794,1.2154280968242117
6,0.6241894513368607,0.09635802172124386,0.527831420302391,0.5765952467918396,0.08653143793344498,0.49006378650665283,nan,nan,nan,nan,0.4,0.6416300084072282,0.7802619584078007,0.25858629780022635,1.1633056690148025
7,0.6180429309606552,0.09716543555259705,0.520877480506897,0.5700283050537109,0.08600558340549469,0.48402273654937744,nan,nan,nan,nan,0.4,0.6370786636691055,0.7767622709866048,0.25559427387993944,1.1582466607757707
8,0.6117034554481506,0.09438823908567429,0.517315223813057,0.566480278968811,0.0837644636631012,0.4827158451080322,nan,nan,nan,nan,0.4,0.6368823066061264,0.7774938633690003,0.3013825853680481,1.1129935846070786
9,0.6088140308856964,0.09352419152855873,0.515289843082428,0.5614974498748779,0.08363738656044006,0.4778600335121155,nan,nan,nan,nan,0.4,0.6399061177683276,0.7800654046441187,0.28592516690090997,1.1340463555115363
10,0.6008428484201431,0.09221805445849895,0.508624792098999,0.5541654825210571,0.08314195275306702,0.4710235595703125,nan,nan,nan,nan,0.4,0.6345692224258124,0.7759184854350845,0.2959443260148963,1.1145433818460004
