seed,candidate,group_type,group,threshold,n,mse,mae,iou,dice,area_error,center_error,pred_area_zero,pred_area_lt_true,pred_area_gt_true,composite,macro_area_composite
42,current_baseline_composite,overall,all,500,200,21158.920823974608,48.59307155609131,0.3216848805074674,0.4537062894596947,0.3475024467431085,1.2120649095057794,16,131,67,0.4278887232240536,0.4282327857812874
42,current_baseline_composite,area_bin,small,500,67,14569.093017578125,36.969518718434806,0.2147079655229421,0.31174388731013636,0.48258143590351976,1.204856552324205,14,35,32,0.04387041692955873,0.4282327857812874
42,current_baseline_composite,area_bin,medium,500,66,19482.30301550663,45.705984780282684,0.3320368544658089,0.4733530427965,0.3083446000342558,1.337747581419535,2,50,14,0.497045297228053,0.4282327857812874
42,current_baseline_composite,area_bin,large,500,67,29400.34229244403,63.06062032215631,0.4184643286076563,0.5763151733968777,0.25099685881828365,1.0977119532094073,0,46,21,0.7437826431862504,0.4282327857812874
42,current_baseline_composite,signal_bin,low_signal,500,67,17057.717507433536,41.58859341180147,0.18128291954467904,0.2754640334067431,0.5466754474157349,1.485622780434057,16,53,14,-0.08992849446431284,0.4282327857812874
42,current_baseline_composite,signal_bin,non_low_signal,500,133,23224.940539826126,52.12164325283882,0.39241368790977427,0.5434975011555425,0.24716717572757493,1.1071667785483195,0,78,53,0.6887440133377418,0.4282327857812874
123,current_baseline_composite,overall,all,500,200,21701.699974365234,48.183811383247374,0.3143685815224847,0.4463300471411402,0.34982548385615786,1.2360381859096246,9,133,66,0.41087314480746706,0.4112353112779857
123,current_baseline_composite,area_bin,small,500,67,14042.360173011893,35.76169274458245,0.2168792560421094,0.3162268454776738,0.4365064440279319,1.1828237134268729,8,36,31,0.09659965749185134,0.4112353112779857
123,current_baseline_composite,area_bin,medium,500,66,20200.749363754734,45.623899055249765,0.32428904886110094,0.46488040901195665,0.3055008524913351,1.372728038751162,1,50,16,0.4836686053817225,0.4112353112779857
123,current_baseline_composite,area_bin,large,500,67,30839.588138409516,63.127634703223386,0.4020855063409394,0.5581597580064889,0.30680759338704505,1.1502891328018994,0,47,19,0.6534376709603833,0.4112353112779857
123,current_baseline_composite,signal_bin,low_signal,500,67,17673.599503702193,41.484445899280146,0.20108796572809645,0.302145709802062,0.5258679638878669,1.5076012060303112,9,49,18,-0.02263428835770842,0.4112353112779857
123,current_baseline_composite,signal_bin,non_low_signal,500,133,23730.893444548874,51.55867970975718,0.37143475639634943,0.5189642621916531,0.26114243000559767,1.1176122072103776,0,84,48,0.629256588582405,0.4112353112779857
2026,current_baseline_composite,overall,all,500,200,21471.158256225586,50.7656289100647,0.3289214613248653,0.4636183694500884,0.31498802692760286,1.2288849423111408,6,132,68,0.47755180384735085,0.4778276413465276
2026,current_baseline_composite,area_bin,small,500,67,14765.379531177123,37.632861578642434,0.2341307731838781,0.33908357927827343,0.44898704927723126,1.256074749406368,4,35,32,0.12422730318492031,0.4778276413465276
2026,current_baseline_composite,area_bin,medium,500,66,20168.466397372158,48.45705737489642,0.33400773920438365,0.47669794764540857,0.2777105456679135,1.3308201768086292,2,43,23,0.5329951411818787,0.4778276413465276
2026,current_baseline_composite,area_bin,large,500,67,29460.185678055037,66.17251148508556,0.41870178618155096,0.5752687990115878,0.21771010552035516,1.1059474370150424,0,54,13,0.7762604796727836,0.4778276413465276
2026,current_baseline_composite,signal_bin,low_signal,500,67,17731.24048033757,43.857253999852425,0.21030942549612933,0.3143622246244696,0.4880186125742295,1.4368633823316606,6,48,19,0.036653037546369394,0.4778276413465276
2026,current_baseline_composite,signal_bin,non_low_signal,500,133,23355.176985432332,54.24578769941975,0.38867338914836386,0.5388075551893099,0.22782224318080607,1.1334963344821805,0,84,49,0.6996587011568676,0.4778276413465276
42,best_composite,overall,all,500,200,21158.922513427733,48.59309724330902,0.3216848805074674,0.4537062894596947,0.3475024467431085,1.2120649095057794,16,131,67,0.4278887232240536,0.4282327857812874
