seed,source_index,sample_id,split,defect_group,defect_type,component_types,component_type_combination,source_dataset,source_pack,angle_deg,vertex_count,threshold,iou,dice,area_error,center_error,pred_area,true_area,pred_area_zero,bce_loss,dice_loss,total_loss,prob_min,prob_max,prob_mean,true_connected_component_count,pred_connected_component_count,predicted_component_count_correct,predicted_component_count_is_1,predicted_component_count_is_2,component_count_error,missed_component_flag,merged_component_flag,split_component_flag,largest_component_area_ratio,second_largest_component_area_ratio,component_recall_heuristic,polygon_component_present,notes
42,11,single_rect_p2_0012,train,single_defect,rectangular_notch,rectangular_notch,rectangular_notch,single_pilot_v9,pilot_v2_rectangular_notch,0.0,0,0.5,0.7369255150554676,0.8485401459854015,0.1076923076923077,2.93289240853043,576,520,0,0.07975266873836517,0.16332179307937622,0.2430744618177414,0.0,0.9999991655349731,0.06928785145282745,1,1,1,1,0,0,0,0,0,1.0,0.0,1.0,no,combined_baseline_v2_candidate_eval
42,12,single_rect_p2_0013,train,single_defect,rectangular_notch,rectangular_notch,rectangular_notch,single_pilot_v9,pilot_v2_rectangular_notch,0.0,0,0.5,0.6697819314641744,0.8022388059701493,0.1356521739130435,3.72267658437691,497,575,0,0.0906098484992981,0.20648032426834106,0.29709017276763916,0.0,0.9999918937683105,0.06058257073163986,1,1,1,1,0,0,0,0,0,1.0,0.0,1.0,no,combined_baseline_v2_candidate_eval
42,13,single_rect_p2_0014,val,single_defect,rectangular_notch,rectangular_notch,rectangular_notch,single_pilot_v9,pilot_v2_rectangular_notch,0.0,0,0.5,0.7115749525616698,0.8314855875831486,0.23828125,3.555837123137859,390,512,0,0.08490915596485138,0.17911022901535034,0.2640193700790405,0.0,0.9999899864196777,0.047922175377607346,1,1,1,1,0,0,0,0,0,1.0,0.0,1.0,no,combined_baseline_v2_candidate_eval
42,14,single_rect_p2_0015,train,single_defect,rectangular_notch,rectangular_notch,rectangular_notch,single_pilot_v9,pilot_v2_rectangular_notch,0.0,0,0.5,0.8434959349593496,0.9151047409040793,0.09052631578947369,1.225000787351723,432,475,0,0.025508075952529907,0.09873360395431519,0.12424167990684509,0.0,0.9999992847442627,0.05160790681838989,1,1,1,1,0,0,0,0,0,1.0,0.0,1.0,no,combined_baseline_v2_candidate_eval
42,15,single_rect_p2_0016,train,single_defect,rectangular_notch,rectangular_notch,rectangular_notch,single_pilot_v9,pilot_v2_rectangular_notch,0.0,0,0.5,0.7229166666666667,0.8391777509068924,0.15401785714285715,1.8339201930327582,379,448,0,0.057021401822566986,0.17376911640167236,0.23079052567481995,0.0,0.9999955892562866,0.04707452282309532,1,1,1,1,0,0,0,0,0,1.0,0.0,1.0,no,combined_baseline_v2_candidate_eval
42,16,single_rect_p2_0017,train,single_defect,rectangular_notch,rectangular_notch,rectangular_notch,single_pilot_v9,pilot_v2_rectangular_notch,0.0,0,0.5,0.6745886654478976,0.8056768558951966,0.3161764705882353,2.531595922836452,372,544,0,0.0776381641626358,0.19393277168273926,0.27157092094421387,0.0,0.9999979734420776,0.04604031518101692,1,1,1,1,0,0,0,0,0,1.0,0.0,1.0,no,combined_baseline_v2_candidate_eval
42,17,single_rect_p2_0018,val,single_defect,rectangular_notch,rectangular_notch,rectangular_notch,single_pilot_v9,pilot_v2_rectangular_notch,0.0,0,0.5,0.7430555555555556,0.852589641434263,0.14074074074074075,2.9053938381288944,464,540,0,0.05484970659017563,0.14571577310562134,0.20056548714637756,0.0,0.9999988079071045,0.057379692792892456,1,1,1,1,0,0,0,0,0,1.0,0.0,1.0,no,combined_baseline_v2_candidate_eval
42,18,single_rect_p2_0019,train,single_defect,rectangular_notch,rectangular_notch,rectangular_notch,single_pilot_v9,pilot_v2_rectangular_notch,0.0,0,0.5,0.7560192616372392,0.8610603290676416,0.0838095238095238,1.6749788347927455,569,525,0,0.05411715805530548,0.14644396305084229,0.20056112110614777,0.0,0.9999840259552002,0.06880781054496765,1,1,1,1,0,0,0,0,0,1.0,0.0,1.0,no,combined_baseline_v2_candidate_eval
42,19,single_rect_p2_0020,train,single_defect,rectangular_notch,rectangular_notch,rectangular_notch,single_pilot_v9,pilot_v2_rectangular_notch,0.0,0,0.5,0.7806324110671937,0.876803551609323,0.06178489702517163,2.0047436498626676,464,437,0,0.03165943920612335,0.13470333814620972,0.16636277735233307,0.0,0.9999779462814331,0.05656635761260986,1,1,1,1,0,0,0,0,0,1.0,0.0,1.0,no,combined_baseline_v2_candidate_eval
42,20,single_rect_p2_0021,train,single_defect,rectangular_notch,rectangular_notch,rectangular_notch,single_pilot_v9,pilot_v2_rectangular_notch,0.0,0,0.5,0.727580372250423,0.8423114593535749,0.12708333333333333,2.788796139814467,541,480,0,0.07036052644252777,0.16849958896636963,0.2388601154088974,0.0,0.9999958276748657,0.0655466616153717,1,1,1,1,0,0,0,0,0,1.0,0.0,1.0,no,combined_baseline_v2_candidate_eval
