rank_type,rank,sample_id,split,curvature_template,depth_bin,aspect_bin,normalized_param_mae_mean,L_mae_mm,W_mae_mm,D_mae_mm,wLD_abs_error,wWD_abs_error,wLW_abs_error,curvature_mae_mean,projected_mask_dice,profile_depth_rmse_m
highest_total_error,1,rbc_pilot_032_medium_elongated_boxy,test,boxy,medium,narrow,1.3589539527893066,0.717461109161377,1.6620466709136963,0.5281577110290527,0.550000011920929,0.5,0.550000011920929,0.5333333015441895,0.9495548961424333,0.0004109083383809775
highest_total_error,2,rbc_v3topup_125_test_boxy_shallow_balanced,test,boxy,shallow,balanced,1.2766133546829224,3.173928737640381,0.296763151884079,0.6566306352615356,0.4853184223175049,0.48946845531463623,0.48025476932525635,0.485013872385025,0.9469387755102041,0.00021395251678768545
highest_total_error,3,rbc_v3topup_128_test_LD_dominant_shallow_narrow,test,LD_dominant,shallow,narrow,1.236028790473938,2.9656496047973633,2.7257297039031982,0.5048397183418274,0.6320000290870667,0.26440000534057617,0.42350322008132935,0.4399677515029907,0.8260869565217391,0.0001857656316133216
highest_total_error,4,rbc_pilot_009_deep_small_compact_sharp,test,sharp,deep,compact,1.1989728212356567,2.084908962249756,1.4728955030441284,1.9470421075820923,0.41547995805740356,0.35735076665878296,0.37762749195098877,0.3834860622882843,0.8951048951048951,0.0006396204116754234
highest_total_error,5,rbc_v3topup_113_test_sharp_shallow_compact,test,sharp,shallow,compact,1.12222158908844,3.953199863433838,2.5582826137542725,1.5166347026824951,0.3854069113731384,0.2781875729560852,0.32938456535339355,0.33099302649497986,0.6187050359712231,0.0007666611927561462
highest_total_error,6,rbc_v2topup_077_buffer_shallow_small_compact_sharp,test,sharp,shallow,compact,0.994136393070221,1.893248438835144,0.9245509505271912,0.8729231953620911,0.24550080299377441,0.4624859690666199,0.35591500997543335,0.3546339273452759,0.782608695652174,0.0004899278283119202
highest_total_error,7,rbc_v3topup_127_test_LD_dominant_shallow_wide,test,LD_dominant,shallow,wide,0.8777937889099121,2.2563133239746094,3.207031726837158,0.20875629782676697,0.459061861038208,0.14586788415908813,0.2873351573944092,0.2974216341972351,0.795959595959596,9.442079317523167e-05
highest_total_error,8,rbc_v3topup_115_test_round_deep_compact,test,round,deep,compact,0.8579348921775818,0.14259293675422668,0.62962806224823,2.1490638256073,0.2986268401145935,0.23543334007263184,0.2502349615097046,0.2614317238330841,0.9704142011834319,0.0008166054612956941
highest_total_error,9,rbc_v3topup_124_test_boxy_shallow_compact,test,boxy,shallow,compact,0.8143482804298401,3.7891995906829834,2.7803406715393066,1.1510179042816162,0.1977684497833252,0.21583378314971924,0.21960562467575073,0.2110692858695984,0.6891891891891891,0.0004948970745317638
highest_total_error,10,rbc_v3topup_120_test_round_deep_narrow,test,round,deep,narrow,0.8142146468162537,2.614043712615967,4.948996067047119,0.9445319771766663,0.16849595308303833,0.2484617829322815,0.18349677324295044,0.2001515030860901,0.8072072072072072,0.00030924237216822803
highest_curvature_error,1,rbc_pilot_032_medium_elongated_boxy,test,boxy,medium,narrow,1.3589539527893066,0.717461109161377,1.6620466709136963,0.5281577110290527,0.550000011920929,0.5,0.550000011920929,0.5333333015441895,0.9495548961424333,0.0004109083383809775
highest_curvature_error,2,rbc_v3topup_125_test_boxy_shallow_balanced,test,boxy,shallow,balanced,1.2766133546829224,3.173928737640381,0.296763151884079,0.6566306352615356,0.4853184223175049,0.48946845531463623,0.48025476932525635,0.485013872385025,0.9469387755102041,0.00021395251678768545
highest_curvature_error,3,rbc_v3topup_128_test_LD_dominant_shallow_narrow,test,LD_dominant,shallow,narrow,1.236028790473938,2.9656496047973633,2.7257297039031982,0.5048397183418274,0.6320000290870667,0.26440000534057617,0.42350322008132935,0.4399677515029907,0.8260869565217391,0.0001857656316133216
highest_curvature_error,4,rbc_pilot_009_deep_small_compact_sharp,test,sharp,deep,compact,1.1989728212356567,2.084908962249756,1.4728955030441284,1.9470421075820923,0.41547995805740356,0.35735076665878296,0.37762749195098877,0.3834860622882843,0.8951048951048951,0.0006396204116754234
highest_curvature_error,5,rbc_v2topup_077_buffer_shallow_small_compact_sharp,test,sharp,shallow,compact,0.994136393070221,1.893248438835144,0.9245509505271912,0.8729231953620911,0.24550080299377441,0.4624859690666199,0.35591500997543335,0.3546339273452759,0.782608695652174,0.0004899278283119202
highest_curvature_error,6,rbc_v3topup_113_test_sharp_shallow_compact,test,sharp,shallow,compact,1.12222158908844,3.953199863433838,2.5582826137542725,1.5166347026824951,0.3854069113731384,0.2781875729560852,0.32938456535339355,0.33099302649497986,0.6187050359712231,0.0007666611927561462
highest_curvature_error,7,rbc_v3topup_116_test_round_medium_wide,test,round,medium,wide,0.7378883361816406,0.1392010599374771,0.8232221007347107,0.2021060734987259,0.3836076259613037,0.24438226222991943,0.27176356315612793,0.2999178171157837,0.9397905759162304,0.00017998969997279346
highest_curvature_error,8,rbc_v3topup_127_test_LD_dominant_shallow_wide,test,LD_dominant,shallow,wide,0.8777937889099121,2.2563133239746094,3.207031726837158,0.20875629782676697,0.459061861038208,0.14586788415908813,0.2873351573944092,0.2974216341972351,0.795959595959596,9.442079317523167e-05
