sample_index,defect_type,area_bin,num_defects,complexity_level,mse,mae,iou,dice,area_error,center_error,pred_area,true_area,pred_center_x,pred_center_y,true_center_x,true_center_y,pred_area_gt_true
0,rotated_rect,,1.0,2.0,16729.560546875,36.658782958984375,0.38002296211251435,0.5507487520798668,0.5724465558194775,0.6098493933677673,5.48196261797159,12.821701456477996,-2.1612226963043213,4.693041801452637,-2.1501212120056152,5.30279016494751,False
1,polygon,,1.0,2.0,10506.6611328125,28.99004364013672,0.022058823529411766,0.04316546762589928,0.6305418719211823,1.3138740062713623,1.1420755454107478,3.091217809578424,-3.7618095874786377,4.5414137840271,-4.461345672607422,5.653580188751221,False
2,multi_defect,,2.0,3.0,12019.0244140625,32.243492126464844,0.0,0.0,1.0,nan,0.0,7.019957685791397,nan,nan,6.553210258483887,5.320888042449951,False
3,multi_defect,,3.0,3.0,38734.27734375,84.59866333007812,0.2998859749144812,0.4614035087719298,0.39096683133380383,1.9048110246658325,13.141482609193005,21.57761397129373,-1.73943293094635,4.952889442443848,0.1446363478899002,4.6725544929504395,False
4,rotated_rect,,1.0,2.0,23988.466796875,45.99982833862305,0.21868787276341947,0.35889070146818924,0.31824417009602196,1.7819581031799316,7.568153947588556,11.100974301392469,-4.367157459259033,4.898684978485107,-4.4404120445251465,6.679136753082275,False
5,rotated_rect,,1.0,2.0,18716.244140625,44.531314849853516,0.36373507057546145,0.5334394904458599,0.3959131545338442,1.1112269163131714,7.202689773057116,11.923268694088208,5.0155110359191895,5.189100742340088,5.256647109985352,6.273849010467529,False
6,polygon,,1.0,2.0,12288.1953125,29.38479995727539,0.0,0.0,1.0,nan,0.0,5.786516096747789,nan,nan,3.3276913166046143,4.368952751159668,False
7,polygon,,1.0,2.0,37741.08203125,63.16355514526367,0.22926500337154418,0.3730115194733955,0.24879923150816521,2.0385348796844482,11.908041020149398,15.85200857030118,-3.738384962081909,4.964865684509277,-3.7500905990600586,7.003366947174072,False
8,polygon,,1.0,2.0,12497.4404296875,33.772247314453125,0.0,0.0,1.0,nan,0.0,5.3449135525223,nan,nan,6.187131881713867,3.8101816177368164,False
9,rotated_rect,,1.0,2.0,13026.6201171875,32.63107681274414,0.45638629283489096,0.6267379679144385,0.3421985815602837,0.94215989112854,5.649467031298499,8.588408101488824,-0.0871608778834343,4.760543346405029,-0.2835988402366638,5.681997299194336,False
10,rotated_rect,,1.0,2.0,11590.1630859375,33.52197265625,0.6946564885496184,0.8198198198198198,0.18404907975460122,0.27013951539993286,6.075841901585179,7.446332556078076,-3.077228307723999,4.704944133758545,-2.811758279800415,4.654933929443359,False
11,rotated_rect,,1.0,2.0,16853.0390625,36.6310920715332,0.12213740458015267,0.21768707482993196,0.49385245901639346,1.7854914665222168,3.761235462886063,7.431104882139266,-3.0507802963256836,4.551588535308838,-2.832502841949463,6.323687553405762,False
