sample_index,defect_type,mse,mae,iou,dice,area_error,center_error,pred_area,true_area,pred_center_x,pred_center_y,true_center_x,true_center_y
0,polygon,8778.6474609375,23.269834518432617,0.0,0.0,0.125,1.669203281402588,1.7816378508407666,1.583678089636237,3.0878756046295166,4.807044506072998,2.307692289352417,3.331390857696533
1,polygon,51344.828125,85.2275161743164,0.47540983606557374,0.6444444444444445,0.265807962529274,1.3554494380950928,32.92223105570716,26.00886708748743,-3.03759765625,5.3711018562316895,-3.1606216430664062,6.720956802368164
2,multi_defect,73115.09375,127.48950958251953,0.34818684695759067,0.5165260998404376,1.4956175298804781,0.910244345664978,47.69307477635283,19.110730793206514,-3.3638017177581787,4.799947261810303,-4.24038553237915,5.045193195343018
3,polygon,13141.220703125,32.72737121582031,0.07537688442211055,0.14018691588785046,1.6581196581196582,2.2346982955932617,4.735806594969901,1.7816378508407666,6.419154167175293,5.766019821166992,6.144182205200195,3.5483033657073975
4,multi_defect,28208.671875,67.19065856933594,0.6571428571428571,0.7931034482758621,0.43356643356643354,0.058364734053611755,31.21673157456044,21.77557373249826,-4.039980411529541,4.915398120880127,-4.095231056213379,4.896588325500488
5,rotated_rect,29830.4296875,60.0447883605957,0.3148760330578512,0.47894406033940917,2.1758530183727034,1.1490495204925537,18.425485465960065,5.801743770686599,5.0462646484375,4.942733287811279,5.300716400146484,3.822211503982544
6,polygon,5685.666015625,21.624088287353516,0.1111111111111111,0.2,1.3333333333333333,1.3132219314575195,1.7054994811467168,0.7309283490628786,6.6722002029418945,5.135281085968018,6.714824199676514,6.447811126708984
7,multi_defect,67731.03125,114.24465942382812,0.33965458855401287,0.5070778564206269,0.7741935483870968,0.6881265044212341,38.52601506518923,21.71466303674302,-0.3219456970691681,4.757256507873535,-0.697315514087677,5.333984851837158
8,polygon,31646.466796875,64.19513702392578,0.17838312829525482,0.30275913497390006,4.3254716981132075,1.8223612308502197,17.192043876916458,3.228266875027714,4.792942047119141,4.9771409034729,4.711766719818115,6.797693252563477
9,triangle,34318.83984375,60.32982635498047,0.36330498177399756,0.5329768270944741,0.3181818181818182,1.9536880254745483,19.430511945921523,14.740388372768052,-1.5575132369995117,4.954402923583984,-1.6469227075576782,6.906044006347656
10,rect,29966.537109375,59.373992919921875,0.3153846153846154,0.47953216374269003,1.9260204081632653,1.3123091459274292,17.466142007815037,5.969248184013509,-3.1461799144744873,4.988067150115967,-3.3165831565856934,3.68686842918396
11,polygon,5548.00634765625,20.618803024291992,0.13333333333333333,0.23529411764705882,1.1875,1.0214266777038574,1.598905763575047,0.7309283490628786,4.381191730499268,4.987975120544434,3.9604270458221436,4.057239055633545
12,polygon,6031.0400390625,23.342260360717773,0.0,0.0,3.3225806451612905,6.065184116363525,2.040508307800536,0.4720578921031091,-0.6817670464515686,4.746720314025879,-6.548063278198242,3.20625638961792
13,polygon,32974.6328125,60.356056213378906,0.1935483870967742,0.32432432432432434,2.212307692307692,1.9791758060455322,15.89769159211761,4.948994030113241,-1.7193727493286133,5.0798211097717285,-1.8565906286239624,7.054234504699707
14,multi_defect,47229.6640625,83.38905334472656,0.2982456140350877,0.4594594594594595,0.41742286751361163,1.6447370052337646,23.785626692421175,16.78089668056859,2.9968342781066895,5.527813911437988,2.813842296600342,3.8932883739471436
15,multi_defect,63907.45703125,107.18218994140625,0.3822513812154696,0.5530851861104172,0.364441819255759,1.230302095413208,35.175926798651034,25.78045197840528,2.0134437084198,4.807774543762207,1.500280499458313,5.92594575881958
16,rect,36155.07421875,61.3995361328125,0.20440729483282674,0.33943217665615144,0.5564516129032258,1.8956142663955688,14.694705350951622,9.441157842062182,-2.652094602584839,4.971476078033447,-2.788944721221924,3.080808162689209
