model,group,count,mse,mae,iou,dice,area_error,center_error,pred_area_zero,pred_area_lt_true,pred_area_gt_true
fair_single_liftoff,overall,200,22730.472055664064,49.30171539306641,0.28832407823498946,0.41829904141812874,0.42428716577512676,1.338955887979236,19,176,24
fair_single_liftoff,area_bin=small,63,12636.99345858135,32.22167817373124,0.18310379024820433,0.2755145619287162,0.5541675669852575,1.0696476383701614,17,55,8
fair_single_liftoff,area_bin=medium,68,20558.274213005516,45.41314147500431,0.3143400077157134,0.4549987318250896,0.351777196304699,1.202813547104597,2,56,12
fair_single_liftoff,area_bin=large,69,34086.97357620018,68.72874975895536,0.35875588893757254,0.5124996683769644,0.37715981284397954,1.6487178297146508,0,65,4
fair_single_liftoff,low_signal=True,60,16737.203548177084,37.55545117060343,0.14263182990851614,0.22197918164400748,0.7006423786413065,1.34884954155201,18,57,3
multi_liftoff,overall,200,22877.87826660156,48.43551079750061,0.3179075767334147,0.45303836437196393,0.3537722619379655,1.2772088346806796,10,153,46
multi_liftoff,area_bin=small,63,13019.222997271825,31.86591941591293,0.2430442096654384,0.34951438524776984,0.4546361847167355,1.0932184019022517,9,39,24
multi_liftoff,area_bin=medium,68,20837.805147058825,45.34911206189324,0.3408432426104467,0.485131606923186,0.25644228676840747,1.2538786384819158,1,50,17
multi_liftoff,area_bin=large,69,33889.766007133156,66.60593646505605,0.3636578208731876,0.5159321352609659,0.3575985108722764,1.443855305917669,0,64,5
multi_liftoff,low_signal=True,60,16770.857340494793,36.3740891456604,0.20662120442595275,0.30235920543320477,0.5912974414141184,1.2652642457187175,10,53,7
