candidate,seed,candidate_role,feature_count,selected_by_validation,eligible_for_multiseed,split,sample_count,selection_score,best_epoch,test_final_only,normalized_param_mae,dimension_mae_norm,curvature_mae_norm,L_mae_mm,W_mae_mm,D_mae_mm,wLD_abs_error,wWD_abs_error,wLW_abs_error,wMAE,profile_depth_rmse_m,er_like_profile_error,projected_mask_iou,projected_mask_dice,total_delta_vs_20_85,wMAE_delta_vs_20_85,profile_rmse_delta_vs_20_85,dice_delta_vs_20_85,total_delta_vs_24_1,wMAE_delta_vs_24_1,profile_rmse_delta_vs_24_1,dice_delta_vs_24_1,notes
20.85_formal_rerun_20.77_protocol,42,fixed_reference_comparator,,False,False,test,39,,,False,0.6780143536818333,nan,nan,1.8918915996566796,2.1857599088778863,0.8002313476246901,0.2094394748027508,0.20446911683449379,0.18931882809369993,0.20107580616306037,0.0003877372636895579,0.3405436946031375,0.7506502455785019,0.8477271366767738,0.0,0.0,0.0,0.0,0.023967877412453653,0.01535199616008845,-5.744445325735095e-05,-0.01526121648448131,reference only; not trained or selected in Stage C
20.77_original_candidate,42,fixed_reference_comparator,,False,False,test,39,,,False,0.6780143536818333,nan,nan,1.8918915996566796,2.1857599088778863,0.8002313476246901,0.2094394748027508,0.20446911683449379,0.18931882809369993,0.20107580616306037,0.0003877372636895579,nan,0.7506502455785019,0.8477271366767738,0.0,0.0,0.0,0.0,0.023967877412453653,0.01535199616008845,-5.744445325735095e-05,-0.01526121648448131,reference only; not trained or selected in Stage C
24.1_NLS_lite_feature_baseline,42,fixed_reference_comparator,,False,False,test,39,,,False,0.6540464762693796,nan,nan,1.9136665956332133,1.9917513088156016,0.9674908621953084,0.1975561517935533,0.1913395753273597,0.16827570016567522,0.18572381000297192,0.00044518171694690886,0.431187,0.769352875827035,0.8629883531612551,-0.023967877412453653,-0.01535199616008845,5.744445325735095e-05,0.01526121648448131,0.0,0.0,0.0,0.0,reference only; not trained or selected in Stage C
20.81_feature_fusion_visual_comparator,2026,fixed_reference_comparator,,False,False,test,39,,,False,0.667888397971789,nan,nan,2.0303866893817215,1.8066299970333393,0.9566183099761988,0.21707869340211916,0.20230379012914804,0.1640675358283214,0.19448333899848735,0.00044529733223988354,nan,0.77454093657963,0.8665725224434271,-0.010125955710044265,-0.006592467164573013,5.756006855032564e-05,0.01884538576665329,0.013841921702409388,0.008759528995515437,1.1561529297468695e-07,0.0035841692821719784,reference only; not trained or selected in Stage C
F1_late_fusion,42,Conv1D latent + feature MLP concat six-param head,291,True,True,train,162,,43,False,0.09194465008575792,0.11396802455347813,0.06992127498422095,0.7888742317848,0.5167061144739021,0.15197964746757975,0.017693116709038063,0.014554777998983123,0.01385248847949652,0.015366794464945863,6.886428700608807e-05,0.05887499809075423,0.9171679229631908,0.9556281567157231,-0.5860697035960754,-0.1857090116981145,-0.0003188729766834698,0.1079010200389493,-0.5621018261836217,-0.17035701553802607,-0.0003763174299408208,0.09263980355446799,validation screen only
F1_late_fusion,42,Conv1D latent + feature MLP concat six-param head,291,True,True,val,39,1.0479713065861387,43,False,0.7234544861011016,0.53282903192135,0.9140799458210285,2.3011655387205954,2.7321338617266755,0.9443494616888273,0.2298827920204554,0.19399830011221078,0.1789640188217163,0.20094836829827192,0.00047235772375969624,0.41833298698736304,0.704064401370019,0.8137917581572647,0.045440132419268364,-0.00012743786478844332,8.462046007013833e-05,-0.03393537851950912,0.06940800983172202,0.015224558295300006,2.717600681278738e-05,-0.04919659500399043,validation screen only
F2_feature_gated_fusion,42,feature gate controls six-param correction,291,False,False,train,162,,48,False,0.06862767248264985,0.07769143161432887,0.059563913352408064,0.5082428286105026,0.2827318908853663,0.13448090563286785,0.015578109173127163,0.013838644012992765,0.01005314161748062,0.013156631608985158,5.9831497094224395e-05,0.04983350199167214,0.9493986871656879,0.9735484831199696,-0.6093866811991834,-0.1879191745540752,-0.0003279057665953335,0.12582134644319576,-0.5854188037867297,-0.17256717839398675,-0.00038535021985268447,0.11056012995871445,validation screen only
F2_feature_gated_fusion,42,feature gate controls six-param correction,291,False,False,val,39,1.0698821470284516,48,False,0.7365374045494275,0.5077298547212894,0.9653449444912183,2.229741724828879,2.367356384029755,0.9709660301987941,0.24107234141765496,0.2016550898551941,0.19341291066927788,0.21204677968023297,0.00048977879123413,0.40199390130165297,0.7352569552826356,0.8343012798116931,0.05852305086759424,0.010970973517172605,0.00010204152754457213,-0.013425856865080688,0.08249092828004789,0.026322969677261054,4.4597074287221184e-05,-0.028687073349561998,validation screen only
F3_w_head_assisted,42,Conv LWD head with NLS-assisted w head,291,False,False,train,162,,12,False,0.29613421015717367,0.432261698246922,0.16000672417439887,1.8959608107897234,1.8394307431845385,0.8870272384496567,0.03937568892667323,0.034320543945571526,0.031756962890978215,0.03515106529605727,0.0003991492287218815,0.3838020903173328,0.7862120722470871,0.8734009357605327,-0.3818801435246596,-0.1659247408670031,1.14119650323236e-05,0.025673799083758886,-0.35791226611220595,-0.15057274470691465,-4.603248822502735e-05,0.010412582599277576,validation screen only
F3_w_head_assisted,42,Conv LWD head with NLS-assisted w head,291,False,False,val,39,1.0837534493977041,12,False,0.7400299010750575,0.5754845075500317,0.9045753124623727,2.8282349325525455,2.3311405873451476,1.146109707080401,0.22625593191538101,0.19228348212364393,0.17791278240008232,0.19881739827971429,0.0005733762716259569,0.5240705423057079,0.7261962582967101,0.8272040748518078,0.062015547393224235,-0.0022584078833460808,0.00018563900793639896,-0.020523061824965994,0.08598342480567789,0.013093588276742368,0.000128194554679048,-0.035784278309447304,validation screen only
