sample_id,split,shape_type,topology_type,representation_target,rbc_representable,model_pass,baseline_profile_depth_rmse_m,baseline_projected_mask_Dice,baseline_Er_like_error,total_normalized_MAE_vs_oracle,true_component_count,pred_component_count,failure_reason
surf_shape_095_multi_pit_two_component_surface_defect,train,multi_pit_two_component_surface_defect,multi_component,component_set,False,False,0.0009946831784575481,0.40331491712707185,1.9436225460609116,10.093871116638184,2,1,profile_rmse_above_threshold|mask_dice_below_threshold|component_merge_proxy
surf_shape_103_multi_pit_two_component_surface_defect,test,multi_pit_two_component_surface_defect,multi_component,component_set,False,False,0.0009933395655799119,0.35537190082644626,1.931697801691921,10.290268898010254,2,1,profile_rmse_above_threshold|mask_dice_below_threshold|component_merge_proxy
surf_shape_094_multi_pit_two_component_surface_defect,train,multi_pit_two_component_surface_defect,multi_component,component_set,False,False,0.0009329063664854251,0.2935361216730038,2.9602476156132544,2.1625630855560303,2,1,profile_rmse_above_threshold|mask_dice_below_threshold|component_merge_proxy
surf_shape_017_rbc_like_smooth_pit,val,rbc_like_smooth_pit,single_component,six_param_rbc,True,False,0.0009163728988650938,0.2719367588932806,11.76640032702182,1.315084457397461,1,1,profile_rmse_above_threshold|mask_dice_below_threshold
surf_shape_096_multi_pit_two_component_surface_defect,train,multi_pit_two_component_surface_defect,multi_component,component_set,False,False,0.0009100359948061725,0.4330413016270338,1.556900134899017,10.071503639221191,2,1,profile_rmse_above_threshold|mask_dice_below_threshold|component_merge_proxy
surf_shape_003_rbc_like_smooth_pit,train,rbc_like_smooth_pit,single_component,six_param_rbc,True,False,0.0008949928835173742,0.465564738292011,5.4190273311950445,1.1091150045394897,1,1,profile_rmse_above_threshold|mask_dice_below_threshold
surf_shape_005_rbc_like_smooth_pit,train,rbc_like_smooth_pit,single_component,six_param_rbc,True,False,0.0008838572882831529,0.2622187742435997,5.139231415915717,10.512649536132812,1,1,profile_rmse_above_threshold|mask_dice_below_threshold
surf_shape_010_rbc_like_smooth_pit,train,rbc_like_smooth_pit,single_component,six_param_rbc,True,False,0.0008401006827869696,0.33170048985304407,9.129033419666685,1.3398441076278687,1,1,profile_rmse_above_threshold|mask_dice_below_threshold
surf_shape_104_multi_pit_two_component_surface_defect,test,multi_pit_two_component_surface_defect,multi_component,component_set,False,False,0.0008306799499026201,0.2729124236252546,1.4430941361718124,1.7721529006958008,2,1,profile_rmse_above_threshold|mask_dice_below_threshold|component_merge_proxy
surf_shape_065_asymmetric_corrosion,train,asymmetric_corrosion,single_component,profile_basis,True,False,0.0008301252821214449,0.2714285714285714,9.132037541184644,10.652649879455566,1,1,profile_rmse_above_threshold|mask_dice_below_threshold
surf_shape_026_flat_bottom_pit,train,flat_bottom_pit,single_component,polygon_or_contour,True,False,0.0008188261272693149,0.3984615384615385,4.605075564530254,10.3279447555542,1,1,profile_rmse_above_threshold|mask_dice_below_threshold
surf_shape_101_multi_pit_two_component_surface_defect,test,multi_pit_two_component_surface_defect,multi_component,component_set,False,False,0.0008158570744414307,0.2590068159688413,3.0407401560025478,2.176095962524414,2,1,profile_rmse_above_threshold|mask_dice_below_threshold|component_merge_proxy
surf_shape_002_rbc_like_smooth_pit,train,rbc_like_smooth_pit,single_component,six_param_rbc,True,False,0.00081577582576044,0.34008683068017365,8.876708726382319,1.35919988155365,1,1,profile_rmse_above_threshold|mask_dice_below_threshold
surf_shape_066_asymmetric_corrosion,train,asymmetric_corrosion,single_component,profile_basis,True,False,0.0007943569189379473,0.43413421706710853,7.458554127691729,10.298331260681152,1,1,profile_rmse_above_threshold|mask_dice_below_threshold
surf_shape_058_asymmetric_corrosion,train,asymmetric_corrosion,single_component,profile_basis,True,False,0.0007723305218956341,0.39555555555555555,7.315555623895904,10.475823402404785,1,1,profile_rmse_above_threshold|mask_dice_below_threshold
