model,observation_config,selected_model,split,sample_count,selection_score,total_normalized_mae,L_mae_mm,W_mae_mm,D_mae_mm,burial_depth_mae_mm,center_xyz_component_mae_mm,center_xyz_euclidean_mean_mm,shape_accuracy,shape_macro_f1,center_xyz_error_p90_mm,center_xyz_error_p95_mm,center_xyz_error_max_mm,burial_depth_error_p90_mm,burial_depth_error_p95_mm,burial_depth_error_max_mm,catastrophic_failure_count,catastrophic_failure_rate,geometry_branch_failure_count,geometry_branch_failure_rate,shape_misclassified_count,full_shift_failure_count,cuboid_ellipsoid_confusion_count,cuboid_ellipsoid_confusion_rate,aspect_accuracy,elongated_aspect_confusion_count,elongated_aspect_confusion_rate,diagnostic_probe_only,input_boundary
mean_baseline,mag_x_5line_only,False,train,20,1.8817286328354268,0.8636579513549805,1.1959998607635498,1.5284998416900635,0.119999960064888,1.2509998083114624,4.784666538238525,11.188350677490234,0.65,0.26262626262626265,18.077360153198242,19.204975128173828,19.360200881958008,2.1299996376037598,2.1299996376037598,2.1299996376037598,19,0.95,6,0.3,7,14,4,0.23529411764705882,0.6,0,0.0,True,delta_b_derived_features_only
mean_baseline,mag_x_5line_only,False,val,5,2.1458232688903807,0.8881565928459167,1.3559998273849487,2.5107502937316895,0.09599989652633667,1.2419999837875366,5.069333553314209,13.121519088745117,0.0,0.0,17.2152156829834,17.232301712036133,17.249387741088867,1.7859997749328613,1.9579997062683105,2.1299996376037598,5,1.0,4,0.8,5,4,3,1.0,0.6,0,0.0,True,delta_b_derived_features_only
ridge_logreg,mag_x_5line_only,True,train,20,0.4216315217522293,0.25785985589027405,0.4125266373157501,0.6261888146400452,0.03756921365857124,0.31530144810676575,0.8760557174682617,1.853777527809143,0.85,0.8656126482213439,3.3503003120422363,3.9615697860717773,4.498317241668701,0.5406635403633118,0.5600512623786926,0.6625342965126038,3,0.15,0,0.0,3,0,3,0.17647058823529413,0.95,0,0.0,True,delta_b_derived_features_only
ridge_logreg,mag_x_5line_only,True,val,5,1.1407321015993754,0.5891220569610596,0.6072828769683838,1.494705319404602,0.11432454735040665,0.8813257813453674,1.9362159967422485,4.0998005867004395,0.4,0.3333333333333333,6.32383918762207,7.06931209564209,7.814785480499268,1.500355839729309,1.5363788604736328,1.572401762008667,3,0.6,0,0.0,3,2,3,1.0,0.6,1,0.5,True,delta_b_derived_features_only
svr_rbf_C10,mag_x_5line_only,False,train,20,0.14434922486543655,0.10240081697702408,0.15575534105300903,0.1631578505039215,0.012904928997159004,0.13348200917243958,0.5720041394233704,1.2787407636642456,1.0,1.0,1.2316659688949585,1.301856279373169,2.6201040744781494,0.14041303098201752,0.14050227403640747,0.1405496746301651,0,0.0,0,0.0,0,0,0,0.0,1.0,0,0.0,True,delta_b_derived_features_only
svr_rbf_C10,mag_x_5line_only,False,val,5,1.408279914855957,0.7195192575454712,0.5012579560279846,1.5308152437210083,0.11366124451160431,1.3556197881698608,2.663973569869995,5.635979652404785,0.6,0.5,10.803997039794922,12.920769691467285,15.037543296813965,1.8273344039916992,1.9012081623077393,1.9750819206237793,3,0.6,1,0.2,2,2,2,0.6666666666666666,0.6,1,0.5,True,delta_b_derived_features_only
random_forest_small,mag_x_5line_only,False,train,20,0.8000695884227753,0.46247053146362305,0.6313373446464539,0.8444707989692688,0.06999342143535614,0.5968310236930847,2.558319091796875,6.009159564971924,1.0,1.0,9.938377380371094,10.837433815002441,11.864931106567383,1.0446252822875977,1.1561954021453857,1.8730237483978271,6,0.3,0,0.0,0,3,0,0.0,1.0,0,0.0,True,delta_b_derived_features_only
random_forest_small,mag_x_5line_only,False,val,5,1.9499189273516337,0.8227159976959229,0.8988872766494751,2.1231324672698975,0.10911780595779419,1.288390040397644,4.433945178985596,10.9287748336792,0.4,0.3333333333333333,17.0687313079834,19.218284606933594,21.36783790588379,1.7384196519851685,1.789435863494873,1.8404521942138672,5,1.0,3,0.6,3,4,3,1.0,0.6,1,0.5,True,delta_b_derived_features_only
ridge_logreg,mag_x_5line_only,True,train,20,0.4216315217522293,0.25785985589027405,0.4125266373157501,0.6261888146400452,0.03756921365857124,0.31530144810676575,0.8760557174682617,1.853777527809143,0.85,0.8656126482213439,3.3503003120422363,3.9615697860717773,4.498317241668701,0.5406635403633118,0.5600512623786926,0.6625342965126038,3,0.15,0,0.0,3,0,3,0.17647058823529413,0.95,0,0.0,True,delta_b_derived_features_only
ridge_logreg,mag_x_5line_only,True,val,5,1.1407321015993754,0.5891220569610596,0.6072828769683838,1.494705319404602,0.11432454735040665,0.8813257813453674,1.9362159967422485,4.0998005867004395,0.4,0.3333333333333333,6.32383918762207,7.06931209564209,7.814785480499268,1.500355839729309,1.5363788604736328,1.572401762008667,3,0.6,0,0.0,3,2,3,1.0,0.6,1,0.5,True,delta_b_derived_features_only
ridge_logreg,mag_x_5line_only,True,test,5,1.0030704081058504,0.5043944716453552,0.7582275867462158,1.1993730068206787,0.11397469788789749,0.5481817126274109,1.8771553039550781,4.129768371582031,0.6,0.5,7.171734809875488,7.807857036590576,8.443979263305664,0.8580281734466553,0.8796135783195496,0.9011989235877991,3,0.6,0,0.0,2,0,2,0.6666666666666666,0.8,0,0.0,True,delta_b_derived_features_only
mean_baseline,dual_mag_xy_5line,False,train,20,1.8817286328354268,0.8636579513549805,1.1959998607635498,1.5284998416900635,0.119999960064888,1.2509998083114624,4.784666538238525,11.188350677490234,0.65,0.26262626262626265,18.077360153198242,19.204975128173828,19.360200881958008,2.1299996376037598,2.1299996376037598,2.1299996376037598,19,0.95,6,0.3,7,14,4,0.23529411764705882,0.6,0,0.0,True,delta_b_derived_features_only
mean_baseline,dual_mag_xy_5line,False,val,5,2.1458232688903807,0.8881565928459167,1.3559998273849487,2.5107502937316895,0.09599989652633667,1.2419999837875366,5.069333553314209,13.121519088745117,0.0,0.0,17.2152156829834,17.232301712036133,17.249387741088867,1.7859997749328613,1.9579997062683105,2.1299996376037598,5,1.0,4,0.8,5,4,3,1.0,0.6,0,0.0,True,delta_b_derived_features_only
ridge_logreg,dual_mag_xy_5line,True,train,20,0.14114104211330414,0.11186535656452179,0.2115977704524994,0.20023280382156372,0.023752927780151367,0.13401322066783905,0.31748726963996887,0.6736922860145569,1.0,1.0,1.2965096235275269,1.4172574281692505,1.9733983278274536,0.2862144708633423,0.3428018391132355,0.3803013265132904,0,0.0,0,0.0,0,0,0,0.0,1.0,0,0.0,True,delta_b_derived_features_only
ridge_logreg,dual_mag_xy_5line,True,val,5,1.5108992675940198,0.8664898872375488,1.9109928607940674,2.693953275680542,0.19327373802661896,0.6917019486427307,2.17145037651062,5.392091751098633,0.4,0.3333333333333333,8.249674797058105,8.671438217163086,9.093201637268066,0.9989981651306152,1.0522195100784302,1.1054409742355347,4,0.8,0,0.0,3,0,3,1.0,0.6,1,0.5,True,delta_b_derived_features_only
svr_rbf_C10,dual_mag_xy_5line,False,train,20,0.13739442378282546,0.09725099802017212,0.13606548309326172,0.17943799495697021,0.012668519280850887,0.13827838003635406,0.5263117551803589,1.1743284463882446,1.0,1.0,1.230981707572937,1.2314233779907227,1.2318035364151,0.14035624265670776,0.1403818279504776,0.14076842367649078,0,0.0,0,0.0,0,0,0,0.0,1.0,0,0.0,True,delta_b_derived_features_only
svr_rbf_C10,dual_mag_xy_5line,False,val,5,1.7723989860216778,0.8154372572898865,0.7595495581626892,2.026620626449585,0.15296627581119537,1.2047408819198608,3.1964194774627686,7.103654384613037,0.4,0.3333333333333333,12.23833179473877,14.08160400390625,15.92487621307373,1.3996185064315796,1.4467555284500122,1.4938926696777344,4,0.8,3,0.6,3,4,3,1.0,0.6,1,0.5,True,delta_b_derived_features_only
random_forest_small,dual_mag_xy_5line,False,train,20,0.808406949043274,0.4662606418132782,0.610256016254425,0.8404042720794678,0.07240919023752213,0.591968834400177,2.6589884757995605,6.277500152587891,1.0,1.0,10.122627258300781,11.675724029541016,12.243849754333496,1.0294431447982788,1.1627166271209717,1.8134483098983765,6,0.3,0,0.0,0,3,0,0.0,1.0,0,0.0,True,delta_b_derived_features_only
