target,feature,pearson_correlation,abs_correlation,sample_count,target_positive_count
bad_tail_target,h2_f2_center_disagreement_mm,0.6190697513049029,0.6190697513049029,360,103
bad_tail_target,center_pairwise_mean_mm,0.5122284696117616,0.5122284696117616,360,103
bad_tail_target,center_pairwise_max_mm,0.48349597136698597,0.48349597136698597,360,103
bad_tail_target,burial_pairwise_mean_mm,0.46456571344326364,0.46456571344326364,360,103
bad_tail_target,burial_pairwise_max_mm,0.4645657134432636,0.4645657134432636,360,103
bad_tail_target,h2_f2_burial_disagreement_mm,0.4582537658551529,0.4582537658551529,360,103
bad_tail_target,b2_h2_shape_diff,0.3921322413579508,0.3921322413579508,360,103
bad_tail_target,h2_f2_shape_diff,0.3605475882896294,0.3605475882896294,360,103
bad_tail_target,shape_disagreement_count,0.3364193591658658,0.3364193591658658,360,103
bad_tail_target,f2_pred_center_norm_mm,-0.2776685937028956,0.2776685937028956,360,103
bad_tail_target,b2_f2_center_disagreement_mm,0.27670566259793966,0.27670566259793966,360,103
bad_tail_target,b2_f2_burial_disagreement_mm,0.27489075502361987,0.27489075502361987,360,103
bad_tail_target,feature_abs_z_mean,-0.24055584928729742,0.24055584928729742,360,103
bad_tail_target,lwd_pairwise_mean_mm,0.23430742149013903,0.23430742149013903,360,103
bad_tail_target,lwd_pairwise_max_mm,0.21738976728942577,0.21738976728942577,360,103
bad_tail_target,f2_pred_train_range_violation_count,-0.2061964738148711,0.2061964738148711,360,103
bad_tail_target,feature_abs_z_p95,-0.1818744509609274,0.1818744509609274,360,103
bad_tail_target,delta_energy,0.16029016641866914,0.16029016641866914,360,103
bad_tail_target,delta_abs_peak,0.15196765862723594,0.15196765862723594,360,103
bad_tail_target,delta_axis_energy_ratio_min,0.14132130961473877,0.14132130961473877,360,103
bad_tail_target,delta_axis_energy_ratio_max,-0.13417838899196696,0.13417838899196696,360,103
bad_tail_target,delta_line_energy_range,0.12435744246329519,0.12435744246329519,360,103
bad_tail_target,f2_pred_W_mm,0.10760028671040965,0.10760028671040965,360,103
bad_tail_target,f2_pred_L_mm,0.07084265930053393,0.07084265930053393,360,103
bad_tail_target,feature_outlier_count_z3,-0.06609422977167255,0.06609422977167255,360,103
bad_tail_target,f2_pred_burial_depth_mm,0.03761084649655294,0.03761084649655294,360,103
bad_tail_target,b2_f2_shape_diff,-0.02263655630925677,0.02263655630925677,360,103
bad_tail_target,f2_pred_D_mm,0.007976924040039218,0.007976924040039218,360,103
bad_tail_target,feature_abs_z_max,-0.0007980125216173153,0.0007980125216173153,360,103
burial_outlier,h2_f2_burial_disagreement_mm,0.49712676408541495,0.49712676408541495,360,33
burial_outlier,burial_pairwise_mean_mm,0.45426173041628604,0.45426173041628604,360,33
burial_outlier,burial_pairwise_max_mm,0.45426173041628604,0.45426173041628604,360,33
burial_outlier,h2_f2_center_disagreement_mm,0.29788408656349363,0.29788408656349363,360,33
burial_outlier,center_pairwise_mean_mm,0.21802113902640324,0.21802113902640324,360,33
burial_outlier,center_pairwise_max_mm,0.20331259083363296,0.20331259083363296,360,33
burial_outlier,f2_pred_center_norm_mm,-0.2014271637171454,0.2014271637171454,360,33
burial_outlier,lwd_pairwise_mean_mm,0.1856838941064809,0.1856838941064809,360,33
burial_outlier,lwd_pairwise_max_mm,0.17864496240293193,0.17864496240293193,360,33
burial_outlier,b2_f2_burial_disagreement_mm,0.1645385274767237,0.1645385274767237,360,33
burial_outlier,f2_pred_train_range_violation_count,-0.14674030860058382,0.14674030860058382,360,33
burial_outlier,b2_h2_shape_diff,0.14490204741500676,0.14490204741500676,360,33
burial_outlier,feature_abs_z_mean,-0.13636085539288212,0.13636085539288212,360,33
burial_outlier,shape_disagreement_count,0.12100978017451021,0.12100978017451021,360,33
burial_outlier,h2_f2_shape_diff,0.12016770077233135,0.12016770077233135,360,33
burial_outlier,feature_abs_z_p95,-0.0879510841604195,0.0879510841604195,360,33
burial_outlier,delta_line_energy_range,0.0686651001204531,0.0686651001204531,360,33
burial_outlier,delta_axis_energy_ratio_max,-0.06822017673673127,0.06822017673673127,360,33
burial_outlier,f2_pred_L_mm,0.052219319991761305,0.052219319991761305,360,33
burial_outlier,delta_abs_peak,0.05181418029830325,0.05181418029830325,360,33
burial_outlier,delta_energy,0.039460668086929246,0.039460668086929246,360,33
