candidate,sample_id,source_index,split,defect_type,state,mask_iou,mask_dice,area_error,residual_mse,residual_nrmse,residual_correlation,peak_index_error,amplitude_error
S1_geom_mlp_waveform,rect_p2_0003,2,train,rectangular_notch,true,1.0,1.0,0.0,0.2884152829647064,0.40739931029799215,0.9498780957442817,1.6666666666666667,2.5820627212524414
S1_geom_mlp_waveform,rect_p2_0003,2,train,rectangular_notch,proposal,0.7612456747404844,0.8644400785854617,0.06095238095238095,0.31339359283447266,0.4246745265102339,0.946317230225729,1.6666666666666667,2.787991523742676
S1_geom_mlp_waveform,rect_p2_0003,2,train,rectangular_notch,refined_20_54,0.7504078303425775,0.8574091332712023,0.04380952380952381,0.2789844572544098,0.40068322337777307,0.9463060209446235,1.6666666666666667,2.577723979949951
S1_geom_mlp_waveform,rect_p2_0003,2,train,rectangular_notch,jittered_bad,0.6778309409888357,0.8079847908745247,0.0038095238095238095,0.15184980630874634,0.2956094243592567,0.9591423522960173,2.6666666666666665,1.1149349212646484
S1_geom_mlp_waveform,rect_p2_0004,3,train,rectangular_notch,true,1.0,1.0,0.0,0.2603302597999573,0.3275270860060131,0.9555160378318408,43.666666666666664,1.633310317993164
S1_geom_mlp_waveform,rect_p2_0004,3,train,rectangular_notch,proposal,0.8389830508474576,0.9124423963133641,0.07655502392344497,0.4286266267299652,0.4202662052587789,0.9539750193048763,43.666666666666664,2.974331855773926
S1_geom_mlp_waveform,rect_p2_0004,3,train,rectangular_notch,refined_20_54,0.8548057259713702,0.9217199558985667,0.16985645933014354,0.3547944724559784,0.3823607616003422,0.9562097186097162,43.666666666666664,2.5583910942077637
S1_geom_mlp_waveform,rect_p2_0004,3,train,rectangular_notch,jittered_bad,0.6666666666666666,0.8,0.045454545454545456,0.2058844417333603,0.2912706064117133,0.962557958773941,29.666666666666668,0.19600391387939453
S1_geom_mlp_waveform,rect_p2_0007,6,train,rectangular_notch,true,1.0,1.0,0.0,0.3423524796962738,0.3904537475453553,0.9558472734389586,32.333333333333336,3.154353618621826
S1_geom_mlp_waveform,rect_p2_0007,6,train,rectangular_notch,proposal,0.7017045454545454,0.8247078464106845,0.29829545454545453,0.43612027168273926,0.4406928390250176,0.9456132615080491,32.333333333333336,4.078775405883789
S1_geom_mlp_waveform,rect_p2_0007,6,train,rectangular_notch,refined_20_54,0.7123287671232876,0.832,0.22443181818181818,0.3889278769493103,0.41616676352537113,0.9475508114188433,32.333333333333336,3.89688777923584
S1_geom_mlp_waveform,rect_p2_0007,6,train,rectangular_notch,jittered_bad,0.6858513189448441,0.813655761024182,0.002840909090909091,0.46885690093040466,0.4569335141402003,0.9365196441131072,31.333333333333332,4.501418113708496
S1_geom_mlp_waveform,rect_p2_0008,7,train,rectangular_notch,true,1.0,1.0,0.0,0.3593602776527405,0.3847957999212487,0.9577427959385855,35.333333333333336,2.3812570571899414
S1_geom_mlp_waveform,rect_p2_0008,7,train,rectangular_notch,proposal,0.8523364485981308,0.9202825428859738,0.12310606060606061,0.5930197834968567,0.49431054918686373,0.9652967280119846,34.0,3.675872802734375
S1_geom_mlp_waveform,rect_p2_0008,7,train,rectangular_notch,refined_20_54,0.7288428324697754,0.8431568431568431,0.10416666666666667,0.535118579864502,0.4695591449964044,0.9624654166627644,33.666666666666664,3.5742063522338867
S1_geom_mlp_waveform,rect_p2_0008,7,train,rectangular_notch,jittered_bad,0.7236842105263158,0.8396946564885496,0.015151515151515152,0.16184988617897034,0.2582387953533143,0.9707452269952244,18.666666666666668,0.6912755966186523
S1_geom_mlp_waveform,rect_p2_0009,8,train,rectangular_notch,true,1.0,1.0,0.0,0.15331222116947174,0.2928576870508437,0.9595896593360987,1.3333333333333333,2.2975263595581055
S1_geom_mlp_waveform,rect_p2_0009,8,train,rectangular_notch,proposal,0.7380073800738007,0.8492569002123143,0.03896103896103896,0.15548524260520935,0.29492584202463473,0.9576785770372521,1.3333333333333333,2.250777244567871
S1_geom_mlp_waveform,rect_p2_0009,8,train,rectangular_notch,refined_20_54,0.7565055762081785,0.8613756613756614,0.045454545454545456,0.15011005103588104,0.28978314835544133,0.9580906652408071,1.3333333333333333,2.1111040115356445
S1_geom_mlp_waveform,rect_p2_0009,8,train,rectangular_notch,jittered_bad,0.7078651685393258,0.8289473684210527,0.025974025974025976,0.20620334148406982,0.3396378551017587,0.9558474930165465,18.0,0.33735179901123047
S1_geom_mlp_waveform,rect_p2_0010,9,train,rectangular_notch,true,1.0,1.0,0.0,0.0953589379787445,0.30291904315088014,0.9588770748490306,2.6666666666666665,1.258359432220459
S1_geom_mlp_waveform,rect_p2_0010,9,train,rectangular_notch,proposal,0.7019704433497537,0.8248914616497829,0.08587257617728532,0.19016051292419434,0.4277657841643299,0.9208713812164784,2.0,2.6740901470184326
S1_geom_mlp_waveform,rect_p2_0010,9,train,rectangular_notch,refined_20_54,0.6964705882352941,0.8210818307905686,0.002770083102493075,0.15899892151355743,0.3911496651154655,0.9276529239802408,2.0,2.1860480308532715
S1_geom_mlp_waveform,rect_p2_0010,9,train,rectangular_notch,jittered_bad,0.6418918918918919,0.7818930041152263,0.019390581717451522,0.1700722724199295,0.40454108114060033,0.9290517589588129,2.3333333333333335,2.472836494445801
S1_geom_mlp_waveform,rect_p2_0011,10,train,rectangular_notch,true,1.0,1.0,0.0,0.10610613971948624,0.3542245335012602,0.9362075952556748,18.0,0.8095321655273438
S1_geom_mlp_waveform,rect_p2_0011,10,train,rectangular_notch,proposal,0.7569721115537849,0.8616780045351474,0.09090909090909091,0.17855358123779297,0.4595075614419678,0.8907178264321804,17.0,1.68855619430542
S1_geom_mlp_waveform,rect_p2_0011,10,train,rectangular_notch,refined_20_54,0.6955684007707129,0.8204545454545454,0.09523809523809523,0.17384149134159088,0.4534037410942708,0.8942009062220522,17.0,1.8114848136901855
S1_geom_mlp_waveform,rect_p2_0011,10,train,rectangular_notch,jittered_bad,0.6762075134168157,0.8068303094983992,0.02813852813852814,0.1788710653781891,0.45991590265248483,0.8912569189909124,16.666666666666668,1.9304618835449219
S1_geom_mlp_waveform,rect_p2_0012,11,train,rectangular_notch,true,1.0,1.0,0.0,0.2762807607650757,0.3287734513622677,0.9570597616010907,18.333333333333332,1.5140576362609863
S1_geom_mlp_waveform,rect_p2_0012,11,train,rectangular_notch,proposal,0.6913385826771653,0.8175046554934823,0.06538461538461539,0.36259937286376953,0.37664737366323536,0.9525448476978825,1.6666666666666667,2.372192859649658
S1_geom_mlp_waveform,rect_p2_0012,11,train,rectangular_notch,refined_20_54,0.7547169811320755,0.8602150537634409,0.14615384615384616,0.3461111783981323,0.36798425102583515,0.9531921940684452,1.6666666666666667,2.3313512802124023
S1_geom_mlp_waveform,rect_p2_0012,11,train,rectangular_notch,jittered_bad,0.6949685534591195,0.8200371057513914,0.07307692307692308,0.234952911734581,0.30318787904816763,0.9544556517069351,18.333333333333332,0.2931632995605469
S1_geom_mlp_waveform,rect_p2_0013,12,train,rectangular_notch,true,1.0,1.0,0.0,0.39551234245300293,0.4679408980024019,0.9494184657671507,46.333333333333336,3.9962706565856934
S1_geom_mlp_waveform,rect_p2_0013,12,train,rectangular_notch,proposal,0.5837173579109063,0.7371483996120272,0.20695652173913043,0.3349705636501312,0.43063993951010643,0.9510733074286714,45.0,3.8652334213256836
S1_geom_mlp_waveform,rect_p2_0013,12,train,rectangular_notch,refined_20_54,0.5671641791044776,0.7238095238095238,0.17391304347826086,0.31476449966430664,0.4174494145553787,0.9472116027094107,44.0,3.745478868484497
S1_geom_mlp_waveform,rect_p2_0013,12,train,rectangular_notch,jittered_bad,0.7329286798179059,0.8458844133099825,0.01391304347826087,0.3697109520435333,0.4524203608262723,0.9339257124713105,46.333333333333336,3.895751476287842
S1_geom_mlp_waveform,rect_p2_0015,14,train,rectangular_notch,true,1.0,1.0,0.0,0.1944677233695984,0.2733246275254468,0.9783185372755797,18.333333333333332,1.7862558364868164
S1_geom_mlp_waveform,rect_p2_0015,14,train,rectangular_notch,proposal,0.7873684210526316,0.8810365135453475,0.21263157894736842,0.38806042075157166,0.3861043326602059,0.979000790293269,29.333333333333332,2.923978805541992
S1_geom_mlp_waveform,rect_p2_0015,14,train,rectangular_notch,refined_20_54,0.8032454361054767,0.890888638920135,0.12842105263157894,0.25512194633483887,0.31306095786780636,0.9797150416521134,29.333333333333332,2.1620445251464844
S1_geom_mlp_waveform,rect_p2_0015,14,train,rectangular_notch,jittered_bad,0.7137745974955277,0.8329853862212944,0.016842105263157894,0.1973649263381958,0.2753531115003573,0.9747126699228991,29.333333333333332,1.537440299987793
S1_geom_mlp_waveform,rect_p2_0016,15,train,rectangular_notch,true,1.0,1.0,0.0,0.1814928948879242,0.30469122707451546,0.9626250335697828,48.333333333333336,0.21396541595458984
S1_geom_mlp_waveform,rect_p2_0016,15,train,rectangular_notch,proposal,0.7031539888682746,0.8257080610021786,0.049107142857142856,0.18610014021396637,0.30853432426332517,0.9644624259663279,47.0,0.8800520896911621
S1_geom_mlp_waveform,rect_p2_0016,15,train,rectangular_notch,refined_20_54,0.6637630662020906,0.7979057591623037,0.13169642857142858,0.18408216536045074,0.3068569704768746,0.9632865141210846,47.0,0.9092330932617188
S1_geom_mlp_waveform,rect_p2_0016,15,train,rectangular_notch,jittered_bad,0.7145557655954632,0.8335170893054025,0.024553571428571428,0.3304809331893921,0.41115288316012333,0.9617219186903339,46.666666666666664,2.4588782787323
S1_geom_mlp_waveform,rect_p2_0017,16,train,rectangular_notch,true,1.0,1.0,0.0,0.13132146000862122,0.2964626213929159,0.956525572203531,44.666666666666664,0.02408123016357422
S1_geom_mlp_waveform,rect_p2_0017,16,train,rectangular_notch,proposal,0.7058823529411765,0.8275862068965517,0.29411764705882354,0.24449723958969116,0.4045191381647839,0.9406215375216888,43.333333333333336,2.3244433403015137
S1_geom_mlp_waveform,rect_p2_0017,16,train,rectangular_notch,refined_20_54,0.70298769771529,0.8255933952528379,0.21875,0.2427482306957245,0.4030696792570041,0.9324329911119723,43.0,2.298839569091797
S1_geom_mlp_waveform,rect_p2_0017,16,train,rectangular_notch,jittered_bad,0.6820987654320988,0.8110091743119267,0.003676470588235294,0.2736852765083313,0.42798427286691465,0.9217640347940891,41.333333333333336,2.591994285583496
S1_geom_mlp_waveform,rect_p2_0019,18,train,rectangular_notch,true,1.0,1.0,0.0,0.11633424460887909,0.28937432943797037,0.960343228977885,26.333333333333332,0.5886878967285156
S1_geom_mlp_waveform,rect_p2_0019,18,train,rectangular_notch,proposal,0.717948717948718,0.835820895522388,0.08571428571428572,0.12421867996454239,0.29901960936252825,0.9588698032693813,26.333333333333332,0.03946256637573242
S1_geom_mlp_waveform,rect_p2_0019,18,train,rectangular_notch,refined_20_54,0.6942148760330579,0.8195121951219512,0.047619047619047616,0.1300731599330902,0.30598494597751413,0.9588788851400964,26.333333333333332,0.1420459747314453
S1_geom_mlp_waveform,rect_p2_0019,18,train,rectangular_notch,jittered_bad,0.6967213114754098,0.821256038647343,0.02857142857142857,0.13233163952827454,0.308629945041683,0.9587741193230174,13.0,0.37398529052734375
S1_geom_mlp_waveform,rect_p2_0020,19,train,rectangular_notch,true,1.0,1.0,0.0,0.17267881333827972,0.3743800760910885,0.95477740692325,18.333333333333332,2.464796543121338
S1_geom_mlp_waveform,rect_p2_0020,19,train,rectangular_notch,proposal,0.7579617834394905,0.8623188405797102,0.10526315789473684,0.18063099682331085,0.38290350323635525,0.9398720813330163,16.666666666666668,2.5923705101013184
S1_geom_mlp_waveform,rect_p2_0020,19,train,rectangular_notch,refined_20_54,0.7339805825242719,0.8465845464725644,0.043478260869565216,0.17138703167438507,0.3729771095877288,0.9372006779800501,16.666666666666668,2.473520517349243
S1_geom_mlp_waveform,rect_p2_0020,19,train,rectangular_notch,jittered_bad,0.6735074626865671,0.8049052396878483,0.05263157894736842,0.2134586125612259,0.4162459698280691,0.9302484006414034,17.666666666666668,2.9706344604492188
S1_geom_mlp_waveform,rect_p2_0021,20,train,rectangular_notch,true,1.0,1.0,0.0,0.14150512218475342,0.27225918483865624,0.9654295631777283,16.333333333333332,0.5092568397521973
S1_geom_mlp_waveform,rect_p2_0021,20,train,rectangular_notch,proposal,0.6551724137931034,0.7916666666666666,0.0,0.1619149148464203,0.2912325329414881,0.9592346326091848,42.0,0.2725830078125
S1_geom_mlp_waveform,rect_p2_0021,20,train,rectangular_notch,refined_20_54,0.6584158415841584,0.7940298507462686,0.09375,0.15464995801448822,0.28462389840553953,0.9607638122990305,42.0,0.2730412483215332
S1_geom_mlp_waveform,rect_p2_0021,20,train,rectangular_notch,jittered_bad,0.6713286713286714,0.803347280334728,0.008333333333333333,0.1806572675704956,0.30762680728907543,0.9636380253592018,28.666666666666668,0.9615654945373535
