diagnostic,feature_set,model,value,secondary_value,notes
best_validation_by_feature_set,F0_F1_F2_F3_F4_F5_curvature_focused,kernelridge_rbf_alpha0.1_gamma0.001558,0.1926910069126349,0.7150000765537604,val_selection_score=1.2010450294311066
best_validation_by_feature_set,F0_F1_F2_F3_F4_nls,kernelridge_rbf_alpha0.1_gamma0.001667,0.1927039392101459,0.7141116158320353,val_selection_score=1.1992909916600374
best_validation_by_feature_set,F0_F1_F2_F3_cross_axis,svr_rbf_C10_eps0.03,0.19259029254317284,0.7107222867317688,val_selection_score=1.1988090734565098
best_validation_by_feature_set,F0_F1_F2_basic_physical,svr_rbf_C10_eps0.03,0.19038622539777023,0.7038563031416672,val_selection_score=1.185900707896648
best_validation_by_feature_set,F0_existing_only,svr_rbf_C30_eps0.05,0.1979107488042269,0.7096858421961466,val_selection_score=1.20998042430775
best_validation_by_feature_set,curvature_focused_without_F0,kernelridge_rbf_alpha0.1_gamma0.001972,0.19346270624261636,0.7223148972560198,val_selection_score=1.2110722505222524
selected_test,F0_F1_F2_basic_physical,svr_rbf_C10_eps0.03,0.1903038014872716,0.6957241464883853,test final only
reference_20_77_neural,reference,20.77_neural,0.20107580721378326,0.6780143536818333,fixed reference
reference_20_77_feature,reference,20.77_feature_baseline,0.19504618346213531,0.7153952435041085,fixed reference
reference_20_79_refined,reference,20.79_refined,0.21158406477517042,0.7533873075093979,fixed reference
