model,observation_config,split,group_field,group_value,sample_count,total_normalized_mae,burial_depth_mae_mm,center_xyz_component_mae_mm,shape_macro_f1,catastrophic_failure_count,geometry_branch_failure_count
ridge_logreg,mag_x_5line_only,test,shape_type,internal_ellipsoid,3,0.6457201838493347,0.6349689364433289,2.1761362552642822,0.16666666666666666,2,0
ridge_logreg,mag_x_5line_only,test,shape_type,internal_sphere,2,0.2924058735370636,0.41800081729888916,1.428683876991272,0.3333333333333333,1,0
ridge_logreg,mag_x_5line_only,test,burial_depth_level,deep_plus,4,0.5898579359054565,0.6034652590751648,2.249054431915283,0.5,3,0
ridge_logreg,mag_x_5line_only,test,burial_depth_level,shallow,1,0.1625405251979828,0.3270473778247833,0.38955920934677124,0.3333333333333333,0,0
ridge_logreg,mag_x_5line_only,test,size_level,large,3,0.4375406503677368,0.443585067987442,1.8458279371261597,0.3333333333333333,2,0
ridge_logreg,mag_x_5line_only,test,size_level,medium,1,0.422271192073822,0.5089542865753174,2.467808723449707,0.3333333333333333,1,0
ridge_logreg,mag_x_5line_only,test,size_level,small,1,0.7870793342590332,0.9011989235877991,1.3804842233657837,0.3333333333333333,0,0
ridge_logreg,mag_x_5line_only,test,aspect_bin,compact,3,0.34480389952659607,0.5430912971496582,1.4570504426956177,0.3333333333333333,2,0
ridge_logreg,mag_x_5line_only,test,aspect_bin,elongated_y,2,0.743780255317688,0.5558172464370728,2.507312536239624,0.2222222222222222,1,0
ridge_logreg,dual_mag_xy_5line,test,shape_type,internal_ellipsoid,3,0.7962091565132141,0.6769886016845703,2.5418331623077393,0.16666666666666666,2,0
ridge_logreg,dual_mag_xy_5line,test,shape_type,internal_sphere,2,0.3656841814517975,0.27272236347198486,1.8667176961898804,0.3333333333333333,1,0
ridge_logreg,dual_mag_xy_5line,test,burial_depth_level,deep_plus,4,0.7606661915779114,0.604001522064209,2.8203327655792236,0.5,3,0
ridge_logreg,dual_mag_xy_5line,test,burial_depth_level,shallow,1,0.07733102887868881,0.1604045331478119,0.07760365307331085,0.3333333333333333,0,0
ridge_logreg,dual_mag_xy_5line,test,size_level,large,3,0.5682711601257324,0.6511883735656738,1.6732172966003418,0.5555555555555555,1,0
ridge_logreg,dual_mag_xy_5line,test,size_level,medium,1,0.654037356376648,0.38504019379615784,3.6558315753936768,0.3333333333333333,1,0
