model,group,count,mse,mae,iou,dice,area_error,center_error,pred_area_zero,pred_area_lt_true,pred_area_gt_true
current_baseline,overall,200,20737.717431030273,44.46552618980408,0.2952720465605976,0.4218854070236965,0.3945174424962078,1.325941887571589,18,158,42
current_baseline,small,67,13855.741179964436,32.28812639037175,0.20224132005907075,0.29297590959780095,0.45479017756706586,1.1933176609186025,15,42,25
current_baseline,medium,66,19301.123505563446,42.05302024610115,0.31063143549892647,0.44731656587103014,0.36743960270842135,1.3157536233701403,3,54,12
current_baseline,large,67,29034.845907182837,59.01942438154078,0.3731726287348154,0.5257433151372934,0.36091840035063205,1.4384541328051197,0,62,5
current_baseline,low_signal,67,16737.27264859783,36.73438974636704,0.15730435674011087,0.24018565804461486,0.5979940583612963,1.599583013477374,18,57,10
oracle_area_x,overall,200,20588.783540649412,47.586249489784244,0.2633483673731078,0.38120028586472593,0.47376640147737126,1.3494485456230385,25,188,11
oracle_area_x,small,67,13222.255219872319,34.60010700795188,0.1571681700449403,0.23173043799937,0.5873164459402471,1.255490495590493,19,63,4
oracle_area_x,medium,66,19401.317086884468,45.03814639467181,0.26009551761249394,0.38316392536481086,0.4742701634213893,1.3862804321727404,6,62,3
oracle_area_x,large,67,29125.054935284516,63.082463677249734,0.3727328644654621,0.5287358022822372,0.35972011390546277,1.3837779964973678,0,63,4
oracle_area_x,low_signal,67,16449.97293500758,39.528666154662176,0.11584275026503245,0.18287084221687203,0.7423905785393425,1.7659498751163483,24,63,4
